2015-08-05 21:06:36,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002053,0.0,20.2,20.2,21.16,19.85,20.2,6142444,3.30503
000534,-0.211,9.45,9.4,9.64,9.06,9.47,11343533,2.3101000000000003
300156,-0.226,39.8,39.66,40.58,38.88,39.89,5213831,2.06277
600582,-0.259,15.4,15.3,15.69,14.91,15.44,15456270,1.27325
300092,-0.277,10.79,10.81,11.16,10.6,10.82,8316836,5.47152
300136,-0.284,28.06,27.5,30.0,27.5,28.14,16709226,4.13293
002594,-0.352,59.45,58.68,62.99,58.41,59.66,20054380,2.80808
300257,-0.355,28.09,28.4,29.18,27.7,28.19,12872816,1.58072
002658,-0.388,28.23,27.81,29.5,27.61,28.34,26735984,9.37199
002633,-0.41,21.88,21.87,22.39,21.59,21.97,3115053,3.8835
600281,-0.442,6.76,6.72,6.9,6.62,6.79,17362015,3.37518
002223,-0.522,39.99,39.96,41.6,39.01,40.2,12120804,4.87341
002428,-0.551,16.25,16.34,16.6,15.82,16.34,38061276,6.04352
002390,-0.555,14.33,14.44,14.87,14.01,14.41,23433519,3.19319
600079,-0.69,18.71,18.8,19.77,18.39,18.84,40834663,4.03568
300408,-0.7,35.45,35.9,36.77,34.81,35.7,3523867,3.83029
002317,-0.703,28.24,28.0,28.98,27.68,28.44,13768233,5.80882
002656,-0.74,22.79,22.98,23.58,22.31,22.96,3846900,2.40337
300313,-0.74,14.75,14.65,15.15,14.22,14.86,4481369,3.10927
000908,-0.767,15.53,15.62,15.85,15.25,15.65,3689270,1.49495
000910,-0.778,12.75,12.8,13.5,12.59,12.85,10056626,1.90647
002157,-0.801,22.3,22.3,23.31,21.82,22.48,21737588,5.62817
002089,-0.818,15.77,15.7,16.55,15.54,15.9,27337305,5.73795
300423,-0.821,38.68,38.0,39.9,37.02,39.0,3692931,16.78605
000669,-0.83,28.66,28.9,29.94,28.48,28.9,7097754,3.10543
300194,-0.83,19.12,19.02,19.86,18.76,19.28,5354372,3.57428
300267,-0.909,32.71,33.02,33.62,32.07,33.01,4349029,0.77019
000025,-0.923,35.41,35.6,36.7,34.3,35.74,6250162,3.48597
600248,-0.937,9.52,9.5,9.97,9.31,9.61,7990431,1.70959
000525,-0.973,17.3,17.4,17.83,16.94,17.47,6088355,1.2009
300199,-1.007,24.57,24.6,25.81,24.4,24.82,12508364,3.09466
300355,-1.022,15.49,15.6,15.97,15.18,15.65,11687070,5.12283
600768,-1.05,18.85,18.57,19.07,17.9,19.05,4446324,3.32442
002033,-1.086,14.57,14.65,15.25,14.33,14.73,22158963,5.24243
002180,-1.093,47.95,47.65,50.01,46.0,48.48,2812347,2.75188
300268,-1.107,19.66,19.38,20.37,18.58,19.88,4417030,4.4656
000826,-1.131,41.1,40.99,42.15,40.66,41.57,9389440,1.1151900000000001
002321,-1.155,11.13,11.1,11.89,10.8,11.26,22632530,5.34469
601788,-1.166,22.88,22.99,23.38,22.73,23.15,48010568,1.40464
300357,-1.166,46.6,46.88,48.25,46.0,47.15,1704250,2.4596
600195,-1.171,24.47,24.5,25.33,24.05,24.76,10381655,2.41546
002723,-1.238,19.15,19.3,19.37,18.61,19.39,8541564,13.93404
601800,-1.242,15.11,15.16,15.9,15.0,15.3,52289314,0.44512
000836,-1.266,16.38,16.35,16.56,15.77,16.59,8851487,3.02625
600016,-1.27,9.33,9.36,9.49,9.32,9.45,121166743,0.41002000000000005
002034,-1.282,28.48,28.53,30.01,27.28,28.85,2843965,4.67614
000985,-1.313,23.3,23.61,24.65,22.5,23.61,7353458,5.67224
300366,-1.345,35.2,35.69,37.37,34.65,35.68,1782722,5.0885
600845,-1.358,57.4,57.55,58.59,56.77,58.19,957904,0.40444
601007,-1.367,18.04,18.08,18.38,17.52,18.29,8976151,2.99205
600976,-1.402,28.84,29.1,30.0,28.32,29.25,2755472,1.79827
600378,-1.405,21.75,22.0,22.85,21.38,22.06,2467719,0.8303400000000001
300237,-1.413,25.82,26.2,27.18,25.1,26.19,4343408,3.7809
603566,-1.425,50.49,50.0,52.38,49.21,51.22,7045442,17.61361
600166,-1.532,7.07,7.12,7.3,7.0,7.18,73444955,2.614
000011,-1.566,16.97,17.01,17.09,16.01,17.24,23769698,13.51606
002215,-1.569,15.06,15.19,15.8,14.8,15.3,11021980,1.6145800000000001
601908,-1.574,20.01,20.0,20.48,19.39,20.33,15514501,5.42924
002230,-1.617,37.73,38.0,39.51,37.35,38.35,34976829,3.91364
600992,-1.63,13.28,13.27,13.55,12.9,13.5,10732048,4.37882
300148,-1.663,20.69,20.76,21.35,20.25,21.04,13243536,3.9237900000000003
600603,-1.745,11.26,11.4,11.87,11.02,11.46,8495265,4.36456
600201,-1.789,69.16,70.0,72.48,68.55,70.42,3010042,1.06539
600207,-1.796,7.11,7.15,7.3,6.91,7.24,17335293,3.9398400000000002
600724,-1.807,6.52,6.6,6.76,6.41,6.64,15719450,1.08789
000422,-1.834,8.03,8.1,8.35,7.95,8.18,23875497,2.73166
600547,-1.924,18.35,18.42,18.73,18.1,18.71,19101424,1.34227
600507,-2.0,9.31,9.28,9.88,9.1,9.5,56665409,4.27311
600113,-2.039,10.57,10.62,10.97,10.32,10.79,15571116,4.88736
000962,-2.078,11.78,11.88,12.17,11.6,12.03,7285904,1.65277
601898,-2.083,8.46,8.55,8.98,8.33,8.64,85764869,0.9371200000000001
300436,-2.129,137.01,138.55,142.08,134.4,139.99,1106543,7.90388
603167,-2.136,11.91,12.0,12.57,11.83,12.17,14444264,4.74335
002392,-2.168,7.67,7.7,7.91,7.48,7.84,40346594,7.18874
600066,-2.197,20.92,21.13,21.85,20.8,21.39,31064956,1.6320000000000001
