code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
601166,-0.566,17.58,17.47,18.15,17.11,17.68,538519322,3.32838
600871,-0.591,10.1,10.0,10.95,9.61,10.16,163936521,36.43034
601169,-0.762,13.03,12.9,13.35,12.63,13.13,330257333,3.12738
600999,-0.787,26.49,26.0,27.8,25.61,26.7,139017878,2.89434
600030,-1.118,27.41,27.1,28.56,26.51,27.72,613186622,6.24766
600986,-1.231,29.69,29.8,31.99,28.53,30.06,50922414,15.18849
600000,-1.389,17.04,16.99,17.48,16.81,17.28,372594650,2.49682
600837,-1.48,21.96,21.8,23.0,21.22,22.29,496913512,6.1407
601088,-1.596,21.58,21.5,22.44,21.0,21.93,165571114,1.00401
002304,-1.86,75.45,73.9,80.6,71.38,76.88,19519387,1.58921
601318,-1.898,80.63,80.94,82.75,79.4,82.19,205099182,3.78951
601601,-2.185,30.44,30.51,31.37,29.9,31.12,109377573,1.73982
600028,-2.313,7.18,7.21,7.37,7.03,7.35,878001198,0.9188200000000001
000001,-2.826,14.44,14.4,14.89,14.12,14.86,326819605,2.76871
601336,-2.831,54.24,54.0,56.5,52.88,55.82,61511263,2.94956
600519,-2.952,257.75,258.0,265.58,251.0,265.59,14892616,1.30408
600015,-3.12,13.04,13.01,13.5,12.7,13.46,208417172,2.67709
600036,-3.581,18.31,18.51,18.88,18.04,18.99,389268451,1.887
600113,-3.742,17.75,17.35,19.43,16.6,18.44,78531156,24.64882
601328,-3.882,8.17,8.25,8.48,8.01,8.5,974826856,2.9803
601857,-4.278,12.53,12.68,12.96,12.31,13.09,331969937,0.20502
600419,-4.836,40.73,40.88,43.69,39.5,42.8,16416372,20.46653
600676,-5.585,16.23,16.05,17.98,15.47,17.19,140435484,16.28476
