2015-07-25 22:35:54,changepercent,trade,open,high,low,settlement,volume,turnoverratio
300098,-0.21,33.3,33.3,35.48,32.68,33.37,24689536,12.5352
600559,-0.383,75.5,75.99,79.79,73.88,75.79,2335379,1.6681300000000001
600603,-0.407,14.68,14.66,15.26,14.34,14.74,14890010,7.6499500000000005
603611,-0.414,36.05,35.52,37.97,34.5,36.2,5225976,13.06494
601016,-0.667,23.82,23.75,25.0,23.48,23.98,14690923,8.26354
300286,-0.712,27.89,28.0,29.9,27.58,28.09,8877248,10.60882
600337,-0.76,16.98,16.95,17.92,16.8,17.11,13354512,2.07886
600892,-0.792,47.61,47.2,49.58,46.0,47.99,2859291,4.55133
600764,-1.031,21.12,21.53,22.99,20.45,21.34,21667723,6.57141
002374,-1.358,30.5,30.7,30.92,29.77,30.92,11717822,6.34345
300415,-1.386,43.39,43.3,45.75,43.13,44.0,5685183,18.95061
300281,-1.604,22.09,22.15,22.4,21.0,22.45,5810048,5.47358
300392,-1.802,143.31,144.0,150.0,143.0,145.94,2760288,8.6259
000612,-1.816,9.19,9.3,9.97,8.88,9.36,60993979,6.36836
002750,-1.929,114.89,116.14,121.78,113.88,117.15,3329680,19.87869
600992,-1.933,14.71,14.8,15.85,14.33,15.0,23260700,9.49068
002070,-1.957,11.52,11.71,12.28,11.45,11.75,55209658,9.75318
600687,-1.981,39.08,39.2,40.75,38.51,39.87,13075658,5.3098600000000005
002746,-2.085,32.4,33.0,35.5,32.0,33.09,6579965,16.51183
002428,-2.406,18.25,18.41,19.5,18.1,18.7,83155640,13.20378
002567,-2.564,13.3,13.49,13.98,13.06,13.65,29598313,7.05165
002243,-2.636,11.82,12.14,12.88,11.5,12.14,12414018,4.0057
300342,-2.702,36.73,37.0,40.0,36.57,37.75,7694515,11.5707
600125,-2.74,12.78,13.0,13.5,12.58,13.14,88932943,6.81206
000511,-2.863,9.84,9.95,10.35,9.7,10.13,88312446,7.64728
600558,-2.945,13.84,14.1,14.93,13.56,14.26,38401926,10.42618
002722,-3.118,25.17,25.59,26.37,24.6,25.98,5409509,11.82622
600207,-3.214,7.83,7.9,8.36,7.6,8.09,33814965,7.68522
600176,-3.22,28.25,28.8,30.1,27.44,29.19,35734334,4.09502
600543,-3.226,12.9,13.11,13.89,12.68,13.33,29470197,9.17732
000948,-3.347,28.3,28.71,30.29,27.68,29.28,27194223,11.76381
000779,-3.433,15.75,16.04,16.62,15.33,16.31,8992562,4.82327
600588,-3.479,46.33,47.41,49.94,45.21,48.0,92293652,6.60606
600545,-3.634,12.73,13.08,13.69,12.13,13.21,60105732,8.8942
600512,-3.647,6.34,6.46,6.7,6.13,6.58,77957966,10.57859
002492,-3.73,13.68,13.84,14.5,13.5,14.21,29508999,12.53072
600706,-3.865,19.65,19.9,20.85,19.33,20.44,5666639,3.18514
601216,-3.955,13.6,13.81,14.4,13.31,14.16,144713549,3.92561
601038,-3.969,13.79,14.0,14.45,13.5,14.36,49013049,32.67537
002633,-3.971,23.7,23.85,24.77,23.45,24.68,9654280,12.03587
002172,-4.641,11.3,11.5,11.89,11.0,11.85,30628487,5.6978
