2015-08-03 22:36:50,changepercent,trade,open,high,low,settlement,volume,turnoverratio
000989,0.0,29.01,28.53,29.6,27.51,29.01,8858929,2.97674
600835,-0.031,32.42,32.02,32.49,29.65,32.43,13146771,1.63009
000999,-0.893,29.96,29.8,30.53,28.6,30.23,10122496,1.03529
300072,-1.191,38.99,38.59,40.47,37.33,39.46,14242037,2.3860900000000003
600415,-1.393,11.33,11.18,11.42,10.53,11.49,128602871,2.3626300000000002
603025,-1.662,36.68,36.48,38.6,35.48,37.3,5579024,10.93926
600060,-1.949,19.12,18.89,19.18,18.08,19.5,53416413,4.08232
600400,-1.986,12.34,12.34,12.61,11.38,12.59,12842948,2.29175
002735,-2.254,37.73,38.32,40.38,36.95,38.6,2456100,12.2805
603158,-2.394,53.01,52.99,53.99,49.51,54.31,1466964,5.50043
000006,-2.474,11.43,11.5,11.73,10.79,11.72,41671042,3.11234
002432,-2.778,21.0,21.0,21.0,19.6,21.6,9535350,2.56327
300345,-2.914,33.65,33.8,36.2,33.0,34.66,3649936,4.66765
002566,-2.983,16.26,16.55,16.69,15.49,16.76,3501315,1.71081
300483,-3.245,53.08,53.6,56.21,50.02,54.86,3979071,25.67143
000555,-3.441,56.97,56.08,56.97,53.1,59.0,4210349,3.59533
600959,-3.584,24.75,25.0,26.15,23.87,25.67,58976031,9.878730000000001
002366,-3.778,67.49,68.0,69.98,63.13,70.14,4806769,4.46319
300033,-4.004,67.61,67.0,69.2,66.0,70.43,10282611,3.92469
002074,-4.139,27.56,28.0,29.27,27.0,28.75,12070277,5.40864
300453,-4.238,54.01,54.1,58.4,51.4,56.4,3333419,16.78459
002324,-4.44,26.69,27.0,27.91,26.32,27.93,2826923,1.8141500000000002
603600,-4.846,124.68,125.0,131.0,123.0,131.03,4593933,18.37573
603618,-5.712,26.74,27.5,28.98,25.8,28.36,7749109,14.52504
002749,-5.728,72.58,73.5,75.99,71.28,76.99,682464,4.54976
002734,-6.094,41.3,41.78,43.0,39.58,43.98,3978007,12.24002
002322,-10.0,17.01,17.02,18.19,17.01,18.9,26568620,10.13485
