2015-09-07 22:03:12,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,002204,10.067,8.2,7.77,8.2,7.77,7.45,6788347,0.70296
1,300205,10.046,12.05,11.28,12.05,11.25,10.95,32904968,7.74433
2,002609,10.041,13.48,12.7,13.48,12.7,12.25,21704054,7.86631
3,300074,10.039,8.44,7.95,8.44,7.8,7.67,43356331,12.6509
4,603126,10.037,11.95,11.49,11.95,11.11,10.86,36718313,16.84017
5,600410,10.036,15.35,14.6,15.35,14.5,13.95,48782869,7.65287
6,002027,10.033,16.56,16.56,16.56,16.56,15.05,912716,0.44546
7,300175,10.031,7.13,6.71,7.13,6.68,6.48,12358192,2.65886
8,300152,10.03,18.32,17.5,18.32,17.3,16.65,28616805,12.04411
9,600831,10.027,12.07,12.0,12.07,11.7,10.97,7688849,1.36463
10,000503,10.025,22.06,20.82,22.06,20.61,20.05,82818069,9.22284
11,000056,10.024,22.94,20.59,22.94,20.59,20.85,6884800,4.81267
12,600774,10.023,14.27,13.56,14.27,13.56,12.97,1349625,0.7737400000000001
13,002280,10.023,24.37,22.66,24.37,22.6,22.15,11317607,10.26604
14,300151,10.023,9.66,9.0,9.66,9.0,8.78,19739180,7.41964
15,300264,10.022,9.99,9.4,9.99,9.4,9.08,14059778,8.23858
16,002279,10.018,30.2,28.6,30.2,28.6,27.45,10600376,11.81853
17,600728,10.012,18.02,17.09,18.02,16.88,16.38,31892788,8.03513
18,002618,10.012,18.9,17.75,18.9,17.75,17.18,9135568,5.00195
19,300053,10.01,21.98,20.9,21.98,20.61,19.98,20149298,12.16857
20,300143,10.009,12.64,11.76,12.64,11.76,11.49,9393002,8.86598
21,002740,10.008,39.35,37.66,39.35,37.58,35.77,2943466,11.77386
22,300290,10.005,22.21,21.0,22.21,20.99,20.19,5344895,6.9737100000000005
23,300384,10.005,40.46,38.0,40.46,36.78,36.78,7281376,17.38761
24,600262,10.004,30.79,28.4,30.79,28.4,27.99,3345679,1.96805
25,600836,10.004,24.85,23.15,24.85,22.59,22.59,43434551,13.85192
26,300489,10.004,51.46,48.0,51.46,48.0,46.78,2242761,19.76001
27,603600,10.003,148.9,134.0,148.9,129.98,135.36,3620870,14.48348
