code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002068,0.16,12.54,12.51,12.8,12.26,12.52,36533858,6.01813
600067,0.0,13.98,13.98,14.08,13.71,13.98,54621057,3.68338
600203,0.0,23.22,23.23,23.68,22.67,23.22,11846885,4.17469
000828,0.0,21.67,21.46,22.4,21.12,21.67,17093024,1.64432
002189,0.0,49.48,49.6,49.8,47.98,49.48,5995930,3.02023
300306,0.0,34.67,34.91,35.26,34.15,34.67,2597880,2.70395
300100,-0.035,28.44,28.44,28.8,28.11,28.45,3452056,1.2929
600132,-0.064,31.43,31.29,31.79,30.93,31.45,13773529,2.84594
002122,-0.068,14.59,14.68,14.77,14.23,14.6,37843222,3.56572
000065,-0.087,57.69,57.25,58.5,56.34,57.74,5904485,2.33009
300267,-0.098,40.66,41.05,42.0,40.0,40.7,5406129,0.9574
600737,-0.114,17.56,17.51,17.88,17.32,17.58,76674892,5.79701
601218,-0.132,15.15,15.12,15.4,14.91,15.17,52823440,5.32623
300021,-0.165,24.16,24.24,24.34,23.66,24.2,10664677,6.35899
002454,-0.181,27.5,27.58,27.79,26.98,27.55,9662549,4.01243
002046,-0.206,19.36,19.39,19.49,19.1,19.4,10388546,3.05038
600854,-0.243,12.34,12.38,12.39,12.06,12.37,20905835,4.02454
600506,-0.244,28.66,28.45,29.2,28.08,28.73,8004640,5.41927
002090,-0.247,44.4,44.52,44.9,43.72,44.51,5533162,2.89124
002374,-0.25,31.92,32.05,33.09,31.06,32.0,6259846,4.04605
300426,-0.253,161.79,161.86,163.98,159.51,162.2,1242347,6.21174
603636,-0.254,86.51,86.56,87.32,85.09,86.73,1720202,6.88081
000019,-0.259,23.11,22.9,24.55,22.4,23.17,11569506,4.58648
300403,-0.277,72.0,72.07,72.59,71.17,72.2,2325575,6.83993
002361,-0.278,28.67,28.79,29.07,27.87,28.75,9670349,5.00323
600820,-0.297,20.11,20.18,20.44,19.71,20.17,112907354,4.87037
601003,-0.307,6.5,6.52,6.64,6.4,6.52,43393783,1.6932200000000002
300286,-0.313,47.75,47.69,48.18,46.52,47.9,3270302,3.9082
000792,-0.336,32.66,32.68,32.96,32.11,32.77,24291668,2.26277
002448,-0.352,19.82,19.89,20.12,19.57,19.89,26972513,5.88367
