2015-07-15 21:57:23,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600529,-0.33,15.11,15.0,15.47,13.64,15.16,23141675,8.99124
002658,-2.273,25.8,25.9,25.9,23.76,26.4,17833421,6.27143
000409,-2.466,10.68,10.63,11.8,10.47,10.95,39871496,13.37301
603018,-2.899,67.99,67.5,71.6,64.88,70.02,4831925,18.58433
600513,-3.806,21.99,21.6,22.88,20.57,22.86,11443416,7.52361
300224,-3.93,22.0,22.06,23.2,21.25,22.9,11619580,2.54092
000815,-5.002,19.37,19.5,20.19,19.37,20.39,9512917,3.00301
002565,-5.432,8.53,8.6,8.89,8.12,9.02,42021912,6.11256
000026,-6.273,13.0,13.11,13.83,12.48,13.87,25397043,8.16441
000713,-6.412,10.8,11.02,11.47,10.51,11.54,32414019,10.84539
002749,-10.002,83.59,84.88,89.99,83.59,92.88,1995376,13.30251
