code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
000868,0.0,14.4,14.38,14.81,14.06,14.4,33000418,4.74443
600960,-0.052,19.14,19.15,19.56,18.51,19.15,34763698,6.7790300000000006
000985,-0.101,29.79,29.5,30.28,28.88,29.82,3641462,2.80891
600985,-0.102,29.29,29.0,29.86,28.21,29.32,4937566,3.80985
000607,-0.152,19.65,19.36,20.2,19.0,19.68,30264949,6.20526
600532,-0.232,25.76,25.98,26.13,25.0,25.82,6206192,3.75899
600987,-0.374,18.63,18.5,18.88,18.03,18.7,17341920,2.72968
600543,-0.399,22.49,22.49,22.74,21.87,22.58,27737600,8.63777
000703,-0.44,18.1,17.9,18.49,17.55,18.18,14936813,1.29481
600179,-0.463,25.8,25.4,26.68,24.7,25.92,19878063,5.09694
000936,-0.463,19.36,19.37,19.68,18.62,19.45,21179323,2.83265
002611,-0.463,21.49,21.5,21.96,21.05,21.59,12103641,3.8491
002455,-0.524,13.29,13.16,13.58,12.81,13.36,30461004,10.46847
300257,-0.652,35.07,35.07,36.53,33.8,35.3,16701059,2.05081
600890,-0.669,13.37,13.49,13.83,13.1,13.46,31114737,5.37207
600819,-0.708,14.02,13.9,14.49,13.64,14.12,25451795,3.7848100000000002
002333,-0.708,23.83,23.58,24.25,23.0,24.0,5567130,2.29587
600157,-0.751,9.25,9.2,9.48,9.0,9.32,254172140,5.53071
601258,-0.802,13.61,13.48,13.95,13.34,13.72,110920184,4.23117
600153,-0.809,22.07,21.87,23.54,20.7,22.25,209514123,7.38975
600751,-0.875,17.0,16.85,17.89,16.4,17.15,40453323,11.77655
002534,-0.894,28.82,28.58,29.35,27.8,29.08,10995428,2.80723
603555,-0.909,59.97,59.63,62.88,59.0,60.52,9980357,8.76354
600636,-0.918,25.91,26.16,27.49,25.2,26.15,32477423,8.50304
000806,-0.98,28.28,28.56,29.2,27.56,28.56,26328719,3.7696
000961,-1.0,27.72,28.04,28.56,27.0,28.0,24853739,2.20511
002378,-1.061,22.39,22.41,22.85,21.86,22.63,9903709,1.1564
300004,-1.091,90.7,91.0,92.7,88.0,91.7,3248540,2.34879
603993,-1.093,18.09,17.9,18.8,17.6,18.29,29112129,1.47896
600759,-1.143,20.76,21.03,21.8,20.25,21.0,51326138,4.22082
002453,-1.162,16.16,16.15,16.9,15.23,16.35,33685374,6.19537
601233,-1.171,24.48,24.71,25.24,23.95,24.77,22140856,2.29772
600864,-1.199,23.89,23.68,24.28,23.4,24.18,18050534,3.30367
600740,-1.218,11.35,11.29,11.64,11.15,11.49,32071552,4.88276
600618,-1.239,17.54,17.5,18.18,16.8,17.76,21674949,2.89061
002180,-1.247,60.96,60.52,62.58,60.01,61.73,3017898,2.95301
000955,-1.28,13.11,13.01,13.68,12.57,13.28,36405983,6.76195
002187,-1.288,27.58,27.31,28.8,26.71,27.94,15760441,4.69445
601168,-1.296,13.71,13.57,14.12,13.46,13.89,135513162,5.68666
002208,-1.346,27.85,28.01,28.95,27.18,28.23,14499424,4.57793
000751,-1.387,12.09,12.01,12.89,11.75,12.26,165765685,11.75776
000009,-1.411,22.36,22.49,22.67,22.03,22.68,77005674,5.16931
002293,-1.438,28.78,28.9,29.5,28.05,29.2,20153962,2.87169
000613,-1.449,15.64,15.82,16.3,15.27,15.87,19171123,7.35753
002478,-1.463,20.2,20.4,20.59,19.75,20.5,17510099,6.25086
600095,-1.488,17.88,17.55,18.88,16.8,18.15,54354091,15.04555
002162,-1.508,15.68,15.5,16.22,15.3,15.92,26633099,4.2477
000888,-1.525,18.08,18.28,18.77,17.6,18.36,32974622,6.2592
000968,-1.61,14.06,14.08,14.56,13.79,14.29,24595201,4.78742
300191,-1.73,36.36,36.42,37.8,35.6,37.0,12197317,7.20924
600887,-1.798,21.3,21.35,21.6,20.91,21.69,208104268,3.45938
600694,-1.844,69.72,70.48,71.2,68.13,71.03,8500746,2.89418
000897,-1.879,9.92,9.9,10.37,9.8,10.11,145375151,8.98975
000338,-1.926,35.64,35.8,36.3,35.26,36.34,66179091,6.32636
600971,-1.967,11.46,11.48,11.92,11.3,11.69,44923672,4.49235
002182,-1.986,22.7,22.62,23.06,22.3,23.16,12420776,5.62922
002364,-2.001,38.2,38.08,39.08,37.0,38.98,8899350,2.09886
600784,-2.027,17.4,17.35,17.77,17.03,17.76,32953444,6.63563
600583,-2.077,15.56,15.51,15.88,15.4,15.89,155743659,3.84646
600156,-2.102,16.77,16.8,17.88,16.63,17.13,21965681,5.4626
600006,-2.158,12.24,12.2,12.48,11.83,12.51,110918779,5.54594
600835,-2.188,43.8,43.9,45.96,43.12,44.78,20782291,2.57684
601225,-2.294,11.5,11.48,11.92,11.26,11.77,81812743,3.01892
601666,-2.318,8.85,8.8,9.14,8.69,9.06,96872730,4.10275
601699,-2.351,15.78,15.79,16.28,15.59,16.16,77834665,3.38252
600121,-2.353,10.79,10.78,11.09,10.6,11.05,26546534,3.8013500000000002
600348,-2.37,12.77,12.67,13.17,12.51,13.08,87618822,3.64319
601001,-2.465,11.87,11.88,12.17,11.67,12.17,58066938,3.46938
001896,-2.468,19.76,19.54,20.58,19.52,20.26,7874640,1.83134
002120,-2.527,38.57,39.12,39.77,36.0,39.57,6906795,7.06894
600516,-2.528,16.58,16.7,17.19,16.4,17.01,112619145,6.55082
000933,-2.547,9.95,9.88,10.21,9.8,10.21,72213550,3.79988
000552,-2.569,15.55,15.45,15.9,15.25,15.96,18077658,5.10488
000780,-2.584,10.18,10.28,10.56,10.01,10.45,25525015,2.5165
600997,-2.591,10.15,10.1,10.48,9.98,10.42,40507065,3.28088
002096,-2.693,32.88,33.01,35.0,32.0,33.79,14056702,5.32733
002592,-2.738,60.4,60.15,62.29,59.0,62.1,2818744,2.6024000000000003
600123,-2.782,14.33,14.43,14.72,14.2,14.74,57109315,4.99906
600714,-2.835,18.51,18.56,18.99,18.16,19.05,8210194,3.00295
600792,-2.852,10.56,10.5,10.94,10.3,10.87,39973280,4.19875
601369,-2.861,15.28,15.4,15.56,15.01,15.73,33283082,2.03098
600961,-2.954,20.37,20.35,21.3,20.01,20.99,25325295,4.80139
300397,-2.97,163.98,165.2,166.88,160.0,169.0,1360432,4.53477
601179,-2.988,13.31,13.45,13.61,13.02,13.72,143362216,3.29039
000693,-2.996,33.02,32.6,34.25,32.52,34.04,40858264,16.63312
600111,-3.009,25.14,25.01,25.69,25.0,25.92,170657207,7.6900200000000005
600287,-3.053,20.96,20.83,21.74,20.57,21.62,23777485,5.44361
