2015-08-18 22:17:53,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600653,10.053,8.32,8.32,8.32,8.01,7.56,291650470,16.70028
1,600510,10.039,14.14,14.14,14.14,14.14,12.85,16016242,2.0133
2,600433,10.032,10.2,10.2,10.2,10.2,9.27,343810,0.028880000000000003
3,000993,10.032,13.71,13.71,13.71,13.08,12.46,73833798,19.79458
4,000504,10.028,19.86,19.86,19.86,19.86,18.05,347906,0.11224
5,600261,10.022,10.1,10.1,10.1,10.03,9.18,93253713,6.42198
6,000009,10.019,11.75,11.75,11.75,11.75,10.68,4317991,0.28986
7,002645,10.016,27.24,24.98,27.24,23.91,24.76,10931137,7.60571
8,000693,10.015,22.63,22.63,22.63,21.55,20.57,44869697,17.57675
9,300162,10.014,23.18,23.18,23.18,22.0,21.07,46455255,21.85874
10,600743,10.012,8.9,8.9,8.9,8.71,8.09,165781608,9.1206
11,000010,10.01,10.66,10.66,10.66,10.3,9.69,109070991,30.45336
12,601216,10.008,14.62,13.6,14.62,13.42,13.29,281283379,7.6303
13,600337,10.006,19.79,19.79,19.79,19.35,17.99,63068604,9.81769
14,600771,10.006,36.17,36.17,36.17,36.17,32.88,593390,0.24338
15,002256,10.006,19.02,19.02,19.02,19.02,17.29,2108046,0.6709400000000001
16,000038,10.005,43.54,43.54,43.54,41.01,39.58,11305161,40.32949
17,000558,10.005,24.41,24.03,24.41,22.01,22.19,83471401,13.25374
18,601137,10.0,19.91,19.91,19.91,19.91,18.1,2038685,0.9482300000000001
19,603117,9.997,31.8,28.5,31.8,27.68,28.91,30836358,51.39393
20,000526,9.997,43.46,43.46,43.46,43.46,39.51,37394,0.03887
21,300182,9.993,45.68,45.68,45.68,45.68,41.53,6173830,2.62731
22,002335,9.99,32.81,30.0,32.81,29.99,29.83,23820523,13.02171
23,002387,9.977,14.22,14.22,14.22,14.22,12.93,4802038,1.75114
24,002093,9.954,16.9,15.78,16.91,15.6,15.37,131637310,15.43386
25,600724,9.865,10.58,10.59,10.59,9.63,9.63,64713114,4.47859
26,000564,9.821,15.32,15.35,15.35,13.59,13.95,172586665,51.39436
27,300268,9.312,28.29,25.42,28.29,23.29,25.88,8658129,8.75334
28,300173,8.998,20.23,20.42,20.42,19.45,18.56,17964601,7.34786
29,002314,8.549,13.84,13.3,14.03,11.79,12.75,69505118,11.98692
30,300303,8.188,12.42,11.55,12.63,11.42,11.48,66053257,17.75188
31,600133,7.909,11.87,12.1,12.1,11.58,11.0,122907779,22.84748
32,600621,7.575,15.48,15.83,15.83,15.08,14.39,89823300,17.13916
33,002395,6.913,22.89,22.48,23.55,22.48,21.41,24829701,13.88639
34,000910,6.835,16.1,15.06,16.58,14.99,15.07,27779664,5.26629
35,600007,6.225,16.04,15.03,16.61,14.95,15.1,33133345,3.28938
36,000810,6.042,22.99,21.45,22.99,20.22,21.68,17739794,6.84059
37,300124,5.408,47.75,46.28,49.83,45.79,45.3,37458219,6.03205
38,600012,5.013,12.36,11.72,12.93,11.72,11.77,52066242,4.4669
39,002252,5.0,86.1,82.51,88.0,82.5,82.0,11073361,1.12014
40,000995,4.996,13.66,13.66,13.66,13.66,13.01,372704,0.21009000000000003
