2015-07-23 22:52:05,changepercent,trade,open,high,low,settlement,volume,turnoverratio
000543,-0.057,17.42,17.34,17.55,16.93,17.43,49979062,4.87526
300156,-0.386,41.27,41.2,42.2,40.23,41.43,7321903,2.8968
600526,-0.416,21.52,21.31,21.98,20.71,21.61,48687933,11.96589
002587,-0.562,14.15,14.0,14.66,13.85,14.23,18421378,7.75208
300384,-0.666,85.0,84.5,90.77,80.8,85.57,5903385,15.80474
002338,-0.769,64.55,64.0,66.5,62.0,65.05,2314946,1.95124
300276,-0.833,35.7,35.2,37.39,34.93,36.0,27586952,14.20899
002542,-1.356,16.0,15.92,16.39,15.59,16.22,24398331,7.18957
600785,-1.899,28.93,28.78,29.3,28.56,29.49,7561179,3.64515
000631,-1.919,10.22,10.18,10.5,9.97,10.42,49474477,3.38007
600127,-1.944,10.09,10.0,10.3,9.88,10.29,94141729,17.29086
