2015-09-21 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
002323,-0.847,29.25,29.31,29.79,28.63,29.5,0.98,-2.95,1028975.0,1.23228
002512,-1.519,35.01,34.99,35.33,34.0,35.55,-0.62,-4.36,3832088.0,2.24943
600160,-1.857,13.74,13.68,13.95,13.13,14.0,-0.36,-6.21,51755129.0,2.85795
603568,-2.135,58.22,58.2,59.84,56.7,59.49,0.59,-4.69,3262447.0,7.12325
002596,-2.833,20.58,20.59,21.12,20.48,21.18,-0.28,-3.31,6746323.0,4.25656
002027,-5.627,27.0,27.2,27.94,25.75,28.61,-2.34,-10.0,45007126.0,21.9661
