2015-09-23 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
601908,-0.144,13.84,13.68,14.2,13.41,13.86,2.45,-3.25,20108634.0,7.03694
002621,-0.203,19.69,19.7,19.99,19.3,19.73,1.32,-2.18,1680049.0,2.9867500000000002
300125,-0.337,20.68,20.6,21.0,20.08,20.75,1.2,-3.23,2924094.0,3.77417
600617,-0.56,15.99,15.88,16.47,15.82,16.08,2.43,-1.62,2795419.0,1.23975
002127,-0.666,8.95,8.75,9.33,8.51,9.01,3.55,-5.55,21685178.0,4.85715
002745,-0.827,29.99,29.86,30.5,29.41,30.24,0.86,-2.74,3544402.0,7.96495
600750,-0.841,44.8,44.95,45.5,43.18,45.18,0.71,-4.43,7093824.0,2.36461
300179,-0.919,6.47,6.43,6.6,6.36,6.53,1.07,-2.6,7179763.0,2.22634
002100,-0.92,8.62,8.59,8.98,8.5,8.7,3.22,-2.3,15831228.0,3.34572
002182,-0.943,9.45,9.42,9.7,9.24,9.54,1.68,-3.14,15634884.0,7.08589
002475,-0.983,29.2,29.0,29.63,28.66,29.49,0.47,-2.81,11779630.0,1.02459
603766,-1.001,16.81,16.72,17.17,16.46,16.98,1.12,-3.06,18214375.0,2.28037
300324,-1.12,25.61,25.3,26.5,25.05,25.9,2.32,-3.28,5935344.0,2.14608
300215,-1.133,8.73,8.7,8.99,8.51,8.83,1.81,-3.62,14372190.0,2.9942200000000003
300350,-1.16,28.11,28.16,28.95,27.01,28.44,1.79,-5.03,12252482.0,10.82434
600036,-1.281,17.73,17.8,18.13,17.58,17.96,0.95,-2.12,47881418.0,0.23211
600491,-1.303,9.85,9.7,10.18,9.46,9.98,2.0,-5.21,27980665.0,2.9527900000000002
002749,-1.311,51.95,52.0,52.69,50.97,52.64,0.09,-3.17,976998.0,6.51332
300210,-1.369,14.41,14.3,15.2,13.88,14.61,4.04,-5.0,3914424.0,3.39744
002698,-1.388,31.25,30.98,31.98,30.8,31.69,0.92,-2.81,4096307.0,1.3391
002080,-1.427,15.89,15.8,16.23,15.61,16.12,0.68,-3.16,8316911.0,2.07923
002518,-1.469,22.13,21.93,23.45,21.62,22.46,4.41,-3.74,13106331.0,4.68188
002712,-1.493,59.38,58.63,62.4,58.5,60.28,3.52,-2.95,509459.0,1.75359
601579,-1.518,10.38,10.3,10.6,10.1,10.54,0.57,-4.17,2605300.0,1.05052
002250,-1.543,18.5,18.45,18.75,18.03,18.79,-0.21,-4.04,6527062.0,1.18556
603618,-1.557,20.23,20.12,20.46,19.88,20.55,-0.44,-3.26,3495253.0,6.55155
600218,-1.581,9.96,9.9,10.15,9.45,10.12,0.3,-6.62,15188487.0,5.35938
002035,-1.6,11.07,11.01,11.21,10.95,11.25,-0.36,-2.67,3528484.0,1.24067
300140,-1.6,19.68,19.5,20.5,19.0,20.0,2.5,-5.0,10098590.0,4.18021
603669,-1.635,26.47,26.4,26.95,26.18,26.91,0.15,-2.71,4790628.0,7.3702
603828,-1.642,26.95,26.9,27.29,26.5,27.4,-0.4,-3.28,1025925.0,3.41975
601368,-1.648,16.11,15.9,16.77,15.8,16.38,2.38,-3.54,20754948.0,14.11901
300398,-1.71,51.72,51.41,52.66,50.9,52.62,0.08,-3.27,713735.0,2.74513
000055,-1.717,6.87,6.87,7.08,6.81,6.99,1.29,-2.58,9485257.0,2.2574300000000003
002444,-1.721,12.56,12.48,12.77,12.38,12.78,-0.08,-3.13,9725399.0,1.07527
300257,-1.722,15.98,15.92,16.5,15.5,16.26,1.48,-4.67,7805576.0,0.9662400000000001
300023,-1.724,22.8,22.72,23.37,22.46,23.2,0.73,-3.19,1865224.0,3.72709
600766,-1.811,12.47,12.55,12.74,12.3,12.7,0.31,-3.15,5152209.0,2.30079
300083,-1.83,23.07,23.38,23.8,22.56,23.5,1.28,-4.0,1238263.0,0.61294
600088,-1.832,19.29,19.44,19.93,18.9,19.65,1.42,-3.82,6621337.0,1.9978600000000002
002626,-1.845,10.11,10.19,10.4,9.85,10.3,0.97,-4.37,3756444.0,0.6521600000000001
600222,-1.955,6.52,6.51,6.74,6.46,6.65,1.35,-2.86,13291855.0,2.67652
000404,-1.994,6.88,6.88,7.15,6.73,7.02,1.85,-4.13,19311713.0,3.90355
002456,-1.995,19.16,19.12,19.69,18.98,19.55,0.72,-2.92,16100483.0,1.96357
600794,-2.01,5.85,5.87,6.07,5.8,5.97,1.68,-2.85,17112451.0,1.68893
601518,-2.041,4.32,4.34,4.42,4.3,4.41,0.23,-2.49,15662576.0,1.29101
300165,-2.061,18.06,17.88,18.68,17.7,18.44,1.3,-4.01,18206626.0,13.15471
000728,-2.071,17.02,16.98,17.2,16.61,17.38,-1.04,-4.43,25163018.0,1.28115
600976,-2.114,25.47,25.48,25.91,25.3,26.02,-0.42,-2.77,1992945.0,1.30063
300402,-2.128,13.8,13.8,14.1,13.31,14.1,0.0,-5.6,1618090.0,3.17273
600854,-2.142,5.94,5.9,6.09,5.8,6.07,0.33,-4.45,12090330.0,2.32749
600485,-2.171,18.93,18.77,19.68,18.61,19.35,1.71,-3.82,71157898.0,4.36165
601188,-2.222,4.4,4.4,4.5,4.39,4.5,0.0,-2.44,12806489.0,1.0556
600598,-2.237,13.55,13.5,13.99,13.44,13.86,0.94,-3.03,24496999.0,1.37803
600859,-2.267,21.99,22.1,22.45,21.86,22.5,-0.22,-2.84,7797993.0,1.6850800000000001
002371,-2.273,19.35,19.45,19.68,19.0,19.8,-0.61,-4.04,3526864.0,1.04517
002398,-2.3,13.17,13.15,13.7,13.05,13.48,1.63,-3.19,7614822.0,3.01105
600012,-2.302,9.76,9.75,9.98,9.36,9.99,-0.1,-6.31,6913985.0,0.5931700000000001
600383,-2.353,12.45,12.56,12.94,12.32,12.75,1.49,-3.37,36137485.0,0.8031200000000001
600302,-2.358,7.04,7.0,7.1,6.91,7.21,-1.53,-4.16,7653681.0,2.21198
000905,-2.362,9.92,9.95,10.12,9.7,10.16,-0.39,-4.53,12530282.0,2.35975
002117,-2.39,29.0,28.88,30.4,28.69,29.71,2.32,-3.43,6447373.0,1.7800500000000001
300387,-2.4,18.3,18.3,18.83,18.11,18.75,0.43,-3.41,2509150.0,6.13698
000918,-2.415,4.04,4.04,4.09,3.98,4.14,-1.21,-3.86,14112950.0,0.7822300000000001
300432,-2.417,18.57,18.66,18.97,18.1,19.03,-0.32,-4.89,14782950.0,16.4255
002750,-2.423,23.76,23.75,24.57,23.5,24.35,0.9,-3.49,3470323.0,6.90612
600733,-2.434,26.46,26.6,26.98,25.99,27.12,-0.52,-4.17,2043802.0,2.70344
300188,-2.444,25.15,24.76,26.45,24.18,25.78,2.6,-6.21,60194787.0,24.83399
000726,-2.46,11.5,11.41,11.7,11.21,11.79,-0.76,-4.92,9947988.0,1.7738900000000002
600483,-2.468,13.04,13.05,13.44,13.0,13.37,0.52,-2.77,5428183.0,1.88163
002317,-2.471,11.05,11.09,11.24,10.85,11.33,-0.79,-4.24,8917747.0,1.8812000000000002
600369,-2.478,15.35,15.35,15.69,15.26,15.74,-0.32,-3.05,28018695.0,1.20637
002095,-2.487,41.56,41.12,42.4,40.3,42.62,-0.52,-5.44,14944846.0,5.9456
601996,-2.493,7.04,7.1,7.14,6.8,7.22,-1.11,-5.82,16851267.0,3.59369
