2015-07-24 18:44:47,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600567,10.105,5.23,5.23,5.23,5.23,4.75,35472065,1.6299800000000002
1,600339,10.068,8.09,7.38,8.09,7.19,7.35,51500143,8.90768
2,002379,10.048,6.9,6.3,6.9,6.3,6.27,151993992,22.58545
3,300019,10.042,13.15,13.15,13.15,13.15,11.95,1399152,0.6469400000000001
4,000429,10.039,8.55,8.55,8.55,8.31,7.77,25929272,5.53269
5,002167,10.038,11.62,11.24,11.62,11.01,10.56,105023871,22.19861
6,002723,10.036,15.46,15.46,15.46,15.46,14.05,25322,0.041310000000000006
7,600289,10.031,17.77,17.77,17.77,17.77,16.15,1078141,0.19002000000000002
8,002468,10.03,18.32,18.32,18.32,18.32,16.65,3639858,1.09708
9,002548,10.03,14.59,14.59,14.59,14.59,13.26,606370,0.19548000000000001
10,600280,10.028,15.69,15.69,15.69,15.69,14.26,11942486,1.03998
11,601007,10.028,19.64,18.0,19.64,17.7,17.85,46416840,15.47228
12,300293,10.028,19.97,19.97,19.97,19.97,18.15,247200,0.20732
13,002421,10.027,20.19,20.19,20.19,20.19,18.35,1332830,0.29317000000000004
14,002341,10.024,18.22,18.22,18.22,17.81,16.56,40758605,15.89458
15,002407,10.024,22.72,22.72,22.72,22.72,20.65,95268,0.050960000000000005
16,600064,10.023,23.71,23.0,23.71,22.55,21.55,34489953,4.45418
17,300245,10.023,24.15,23.68,24.15,22.51,21.95,49571511,29.00011
18,000960,10.021,15.7,15.7,15.7,15.7,14.27,897173,0.07793000000000001
19,002163,10.021,15.59,14.49,15.59,13.8,14.17,69955733,10.24143
20,600505,10.02,11.09,10.38,11.09,10.2,10.08,44867916,12.30716
21,002635,10.019,23.72,23.0,23.72,22.5,21.56,28535811,15.52325
22,600623,10.018,23.94,23.94,23.94,23.11,21.76,3210513,0.49670000000000003
23,002504,10.018,18.34,18.34,18.34,18.34,16.67,28601,0.029840000000000002
24,600728,10.017,33.06,33.06,33.06,33.06,30.05,540320,0.13613
25,002088,10.017,13.18,13.18,13.18,13.18,11.98,143134,0.10723
26,000662,10.016,20.65,18.75,20.65,18.3,18.77,27698675,9.61811
27,300174,10.015,21.53,21.53,21.53,21.53,19.57,184278,0.25373
28,300248,10.015,29.0,29.0,29.0,29.0,26.36,165821,0.09694000000000001
29,300401,10.015,21.64,21.64,21.64,21.64,19.67,587667,1.2944200000000001
30,002593,10.014,23.18,23.18,23.18,23.18,21.07,1155599,0.88402
31,600493,10.013,16.48,16.48,16.48,16.48,14.98,1448805,0.5326500000000001
