2015-09-30 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
601801,0.0,25.68,25.73,26.28,25.6,25.68,2.34,-0.31,2877982.0,0.31626000000000004
000155,0.0,7.0,7.0,7.12,6.81,7.0,1.71,-2.71,4690881.0,0.9980600000000001
002504,0.0,17.48,17.48,17.7,17.2,17.48,1.26,-1.6,2104438.0,1.9493200000000002
002679,0.0,14.94,14.94,15.08,14.67,14.94,0.94,-1.81,1507952.0,1.08736
300247,0.0,12.19,12.06,12.41,11.71,12.19,1.8,-3.94,19279588.0,11.49756
300103,-0.071,13.99,14.0,14.25,13.7,14.0,1.79,-2.14,3489141.0,4.1336
600338,-0.077,12.96,13.01,13.2,12.82,12.97,1.77,-1.16,6803759.0,4.29711
300344,-0.11,9.05,9.0,9.28,8.6,9.06,2.43,-5.08,4717991.0,3.43074
600661,-0.181,27.62,28.04,28.11,26.01,27.67,1.59,-6.0,6831050.0,3.9332000000000003
002400,-0.219,18.26,18.36,18.7,17.77,18.3,2.19,-2.9,14715886.0,1.8254100000000002
002649,-0.244,40.9,41.15,41.67,39.4,41.0,1.63,-3.9,8601677.0,5.23549
002049,-0.26,30.7,30.88,31.6,30.18,30.78,2.66,-1.95,4100084.0,0.85238
300239,-0.267,11.2,11.26,11.41,11.0,11.23,1.6,-2.05,2123905.0,1.09842
600211,-0.269,37.1,37.08,37.69,36.27,37.2,1.32,-2.5,771644.0,0.6762300000000001
603017,-0.316,37.83,38.06,38.49,36.77,37.95,1.42,-3.11,2067190.0,6.89063
002613,-0.36,5.54,5.57,5.61,5.45,5.56,0.9,-1.98,3985829.0,1.09307
600584,-0.379,13.15,13.11,13.47,13.01,13.2,2.05,-1.44,17296057.0,2.02736
001696,-0.459,10.85,10.89,10.97,10.52,10.9,0.64,-3.49,32911976.0,3.70533
002518,-0.481,22.77,23.09,23.3,21.9,22.88,1.84,-4.28,7257901.0,2.59269
600771,-0.484,24.65,24.77,25.1,24.2,24.77,1.33,-2.3,1843556.0,0.7561500000000001
002737,-0.507,41.2,41.39,41.81,40.96,41.41,0.97,-1.09,2300360.0,3.1512000000000002
600999,-0.62,16.03,15.99,16.53,15.98,16.13,2.48,-0.93,18626073.0,0.38779
300252,-0.634,25.06,25.15,26.18,24.51,25.22,3.81,-2.82,6863225.0,2.61205
601098,-0.685,21.74,21.9,22.16,20.99,21.89,1.23,-4.11,4833112.0,0.2691
300106,-0.718,13.83,13.73,14.73,13.03,13.93,5.74,-6.46,11579984.0,7.10978
002184,-0.743,29.38,29.3,29.78,28.47,29.6,0.61,-3.82,6480199.0,4.8488500000000005
300419,-0.781,100.31,99.99,101.98,96.98,101.1,0.87,-4.08,1944998.0,18.88348
000537,-0.833,7.14,7.2,7.44,7.02,7.2,3.33,-2.5,18245281.0,3.55857
600137,-0.915,19.5,19.5,19.98,19.2,19.68,1.52,-2.44,4624303.0,4.7566500000000005
300190,-0.97,18.38,18.17,19.24,17.88,18.56,3.66,-3.66,18681413.0,5.73861
000573,-0.978,5.06,5.06,5.23,5.01,5.11,2.35,-1.96,32679752.0,5.25157
