code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002535,1.934,19.5,19.01,20.87,18.8,19.13,44445286,14.36072
002223,1.398,68.9,67.79,71.58,66.2,67.95,13736580,5.52306
600802,0.882,14.87,14.68,15.85,14.43,14.74,21642433,5.66743
600166,0.838,12.03,11.91,12.75,11.71,11.93,153014057,6.02868
000402,0.746,14.85,14.64,15.53,14.51,14.74,164478626,5.50836
002094,0.723,27.88,27.6,29.4,27.01,27.68,15742924,4.89151
002168,0.0,22.59,22.55,23.99,22.06,22.59,49127299,6.61347
002708,-0.05,39.86,39.88,40.26,38.65,39.88,2681493,4.79997
603678,-0.064,109.88,109.9,115.48,106.07,109.95,782756,1.88163
600165,-0.105,28.41,28.3,29.32,28.0,28.44,7813582,4.02858
601107,-0.108,9.27,9.32,9.85,9.13,9.28,79943787,3.69641
600409,-0.328,12.17,12.25,12.83,12.03,12.21,86980362,4.70066
600848,-0.415,31.19,30.94,32.89,30.38,31.32,8638205,2.95686
600039,-0.458,8.7,8.75,9.11,8.58,8.74,230957101,11.42711
600159,-0.579,10.31,10.28,11.1,10.16,10.37,50150165,6.04217
002561,-0.98,22.24,22.61,23.8,22.18,22.46,19423804,5.02821
000596,-0.996,44.74,44.5,47.53,43.75,45.19,9911519,2.5838200000000002
300283,-1.034,20.1,20.14,21.5,19.73,20.31,11567663,9.07859
600350,-1.689,11.06,11.28,11.87,10.86,11.25,57508913,1.19532
601021,-1.898,125.05,127.51,134.59,124.0,127.47,3292174,3.29217
600836,-2.225,31.2,31.45,33.1,31.08,31.91,20176948,6.43473
600839,-2.678,13.81,14.0,14.74,13.63,14.19,303818710,6.59043
000498,-3.179,12.79,13.1,13.68,12.33,13.21,41257448,11.64905
