2015-10-13 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600166,0.0,6.29,6.25,6.34,6.17,6.29,0.79,-1.91,42999091.0,1.5304
600170,0.0,8.59,8.58,8.66,8.47,8.59,0.81,-1.4,25584218.0,0.5454800000000001
600302,0.0,7.69,7.63,7.8,7.51,7.69,1.43,-2.34,11669150.0,3.37249
600340,0.0,24.4,24.3,24.68,24.05,24.4,1.15,-1.43,13097735.0,0.49505000000000005
600690,0.0,9.72,9.7,9.75,9.62,9.72,0.31,-1.03,44033478.0,0.7992300000000001
600975,0.0,10.24,10.23,10.32,10.01,10.24,0.78,-2.25,10515468.0,4.48688
000158,0.0,15.9,15.9,16.45,15.67,15.9,3.46,-1.45,18638989.0,2.59333
000415,0.0,7.61,7.55,7.8,7.5,7.61,2.5,-1.45,51439249.0,1.6510600000000002
000665,0.0,17.7,17.55,17.87,17.11,17.7,0.96,-3.33,14366115.0,7.56269
000723,0.0,9.12,9.04,9.29,8.9,9.12,1.86,-2.41,15372317.0,7.88874
002641,0.0,9.11,9.04,9.23,8.91,9.11,1.32,-2.2,11833696.0,1.7296200000000002
002405,-0.033,30.11,29.78,30.82,29.4,30.12,2.32,-2.39,28430225.0,4.3142700000000005
300334,-0.073,27.42,27.25,28.0,26.6,27.44,2.04,-3.06,6627345.0,2.5641
600694,-0.083,36.17,36.1,36.2,35.5,36.2,0.0,-1.93,7611960.0,2.59158
000961,-0.085,11.81,11.76,11.94,11.5,11.82,1.02,-2.71,8972431.0,0.77092
300284,-0.086,23.19,23.0,23.52,22.72,23.21,1.34,-2.11,6633362.0,2.03272
600075,-0.106,9.45,9.34,9.64,9.2,9.46,1.9,-2.75,27240641.0,6.21093
600011,-0.108,9.28,9.27,9.36,9.2,9.29,0.75,-0.97,18461121.0,0.17582
603118,-0.14,35.71,35.67,36.25,35.2,35.76,1.37,-1.57,6190173.0,8.25356
600982,-0.146,6.82,6.77,6.86,6.65,6.83,0.44,-2.64,41822274.0,6.18554
300025,-0.16,18.75,18.8,19.78,18.5,18.78,5.32,-1.49,14830700.0,9.74329
000860,-0.168,17.83,17.74,17.94,17.5,17.86,0.45,-2.02,6669394.0,1.18462
000063,-0.174,17.19,17.11,17.31,16.9,17.22,0.52,-1.86,59930266.0,1.7824200000000001
600218,-0.178,11.19,11.13,11.32,10.9,11.21,0.98,-2.77,12509462.0,4.41407
000663,-0.18,16.63,16.66,16.89,16.35,16.66,1.38,-1.86,4458292.0,2.61762
000949,-0.205,4.87,4.83,4.96,4.78,4.88,1.64,-2.05,45013948.0,4.38506
002583,-0.215,9.3,9.29,9.34,9.09,9.32,0.21,-2.47,33770632.0,4.02029
000501,-0.225,17.72,17.67,17.81,17.5,17.76,0.28,-1.46,3621223.0,0.71399
000568,-0.227,21.93,21.82,22.05,21.56,21.98,0.32,-1.91,11195680.0,0.79939
000421,-0.244,8.17,8.11,8.27,7.98,8.19,0.98,-2.56,10715087.0,3.04694
600801,-0.253,7.89,7.86,7.91,7.74,7.91,0.0,-2.15,11396512.0,1.17155
000524,-0.255,19.55,19.55,19.93,19.21,19.6,1.68,-1.99,5754227.0,2.13379
000616,-0.26,7.67,7.61,7.74,7.46,7.69,0.65,-2.99,46462713.0,3.24885
603010,-0.269,33.39,33.3,33.57,32.75,33.48,0.27,-2.18,1083713.0,2.27496
002073,-0.27,14.8,14.8,15.0,14.55,14.84,1.08,-1.95,23222617.0,3.72823
601117,-0.292,6.84,6.82,6.86,6.76,6.86,0.0,-1.46,27155356.0,0.5504800000000001
600004,-0.306,13.04,13.05,13.11,12.81,13.08,0.23,-2.06,5767272.0,0.5015000000000001
002697,-0.311,6.42,6.4,6.48,6.32,6.44,0.62,-1.86,19553206.0,2.6733700000000002
603588,-0.314,63.52,62.89,64.48,61.87,63.72,1.19,-2.9,1113517.0,2.75623
600423,-0.316,6.3,6.25,6.44,6.15,6.32,1.9,-2.69,16758749.0,4.19653
600585,-0.323,18.54,18.5,18.6,18.39,18.6,0.0,-1.13,15721663.0,0.39307000000000003
002262,-0.323,27.74,27.76,28.07,27.5,27.83,0.86,-1.19,1611238.0,0.40932
000639,-0.332,15.01,15.0,15.14,14.67,15.06,0.53,-2.59,8211996.0,2.1803
601628,-0.335,26.81,26.9,27.07,26.68,26.9,0.63,-0.82,8984730.0,0.04315
601001,-0.336,5.94,5.91,5.96,5.79,5.96,0.0,-2.85,19899254.0,1.18894
002501,-0.35,11.4,11.4,11.54,11.17,11.44,0.87,-2.36,41047392.0,6.11452
002748,-0.359,27.75,27.6,27.92,27.21,27.85,0.25,-2.3,2105277.0,7.01759
002153,-0.4,99.7,100.0,103.94,97.12,100.1,3.84,-2.98,1162952.0,0.71323
601010,-0.402,7.43,7.37,7.53,7.27,7.46,0.94,-2.55,35139325.0,1.90148
600518,-0.41,14.56,14.51,14.63,14.42,14.62,0.07,-1.37,45008248.0,1.02351
000600,-0.42,9.48,9.5,9.51,9.34,9.52,-0.11,-1.89,11947412.0,1.09604
000557,-0.436,6.85,6.81,7.03,6.78,6.88,2.18,-1.45,13204427.0,1.9767000000000001
