2015-08-13 21:45:39,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
000735,0.0,8.28,8.23,8.3,7.9,8.28,0.24,-4.59,52276615.0,5.93997
002691,0.0,21.35,21.0,21.9,20.2,21.35,2.58,-5.39,8245996.0,4.16223
300446,-0.098,102.0,101.21,103.0,97.89,102.1,0.88,-4.12,731367.0,4.74914
000338,-0.156,25.61,25.53,25.69,24.66,25.65,0.16,-3.86,45057187.0,4.30722
002215,-0.161,18.63,18.48,18.88,17.65,18.66,1.18,-5.41,19825659.0,2.90421
603568,-0.188,47.76,46.96,49.5,46.19,47.85,3.45,-3.47,6265571.0,13.68029
600436,-0.236,67.69,67.35,68.18,66.41,67.85,0.49,-2.12,3781062.0,0.9400700000000001
002392,-0.241,8.29,8.29,8.41,8.0,8.31,1.2,-3.73,49920071.0,8.89449
000999,-0.273,32.91,32.95,32.97,31.93,33.0,-0.09,-3.24,7878838.0,0.8058200000000001
000587,-0.331,24.07,23.85,24.53,22.81,24.15,1.57,-5.55,19678421.0,3.53208
002615,-0.471,19.0,18.83,19.3,18.0,19.09,1.1,-5.71,6198003.0,6.03159
002688,-0.482,18.6,18.5,18.65,17.9,18.69,-0.21,-4.23,10030451.0,4.78495
002237,-0.565,12.32,12.38,12.71,12.0,12.39,2.58,-3.15,47650251.0,5.92591
600520,-0.601,19.85,19.9,19.97,19.01,19.97,0.0,-4.81,17840647.0,11.59312
603315,-0.603,49.48,49.01,50.4,46.0,49.78,1.25,-7.59,4311055.0,17.24422
000729,-0.716,9.7,9.73,9.8,9.3,9.77,0.31,-4.81,41477085.0,1.65291
002087,-0.758,7.86,7.77,7.97,7.43,7.92,0.63,-6.19,40795597.0,7.85112
002082,-0.814,14.63,14.5,14.87,13.83,14.75,0.81,-6.24,14679488.0,7.65342
601058,-0.883,8.98,8.9,9.05,8.51,9.06,-0.11,-6.07,61256950.0,7.03456
601890,-0.966,17.43,17.23,17.51,16.5,17.6,-0.51,-6.25,98982342.0,10.31711
002041,-0.986,20.09,20.0,20.16,19.43,20.29,-0.64,-4.24,13546345.0,1.67477
002773,-1.003,74.05,75.5,77.0,71.12,74.8,2.94,-4.92,3254026.0,7.13602
601088,-1.106,20.57,20.48,20.76,19.9,20.8,-0.19,-4.33,94390866.0,0.57238
002592,-1.13,86.62,86.88,88.77,84.0,87.61,1.32,-4.12,1711656.0,1.5071400000000001
300252,-1.198,33.0,32.8,33.57,31.66,33.4,0.51,-5.21,8371974.0,3.21434
600720,-1.216,9.75,9.78,9.86,9.35,9.87,-0.1,-5.27,36817126.0,4.74348
601015,-1.241,15.12,14.99,15.2,14.5,15.31,-0.72,-5.29,18696203.0,15.58017
601899,-1.274,4.65,4.6,4.75,4.5,4.71,0.85,-4.46,588221982.0,3.72203
600988,-1.321,16.44,16.34,17.2,16.01,16.66,3.24,-3.9,41972367.0,14.93645
002155,-1.353,10.94,10.93,11.4,10.58,11.09,2.8,-4.6,63389246.0,6.36387
603889,-1.461,31.03,31.4,31.4,29.5,31.49,-0.29,-6.32,5744739.0,14.35467
600766,-1.536,15.39,15.63,15.85,14.65,15.63,1.41,-6.27,11337203.0,5.06279
603718,-1.546,41.39,41.58,42.34,39.8,42.04,0.71,-5.33,7181947.0,10.25992
601339,-1.65,8.94,8.94,8.99,8.64,9.09,-1.1,-4.95,47707324.0,3.18049
600260,-1.69,16.29,16.11,16.44,15.61,16.57,-0.78,-5.79,46916974.0,8.89185
000726,-2.235,17.06,17.0,17.46,16.56,17.45,0.06,-5.1,84512457.0,15.07
600489,-2.314,11.82,11.9,12.33,11.45,12.1,1.9,-5.37,205485576.0,6.9816400000000005
