,gt_rate,mean_incrs
150131,0.9,3.04
150107,0.8,2.32
150270,0.8,3.18
150185,0.8,1.35
150212,0.6,0.96
150218,0.6,-0.73
150197,0.4,-1.01
150101,0.2,-0.49
150172,0.2,-1.07
150228,0.1,-1.59
