2015-08-03 22:35:58,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600425,10.081,6.77,6.16,6.77,6.02,6.15,99912212,7.24637
1,000552,10.042,10.41,9.29,10.41,9.25,9.46,14542004,4.10646
2,300132,10.042,7.89,7.89,7.89,7.89,7.17,174900,0.06924000000000001
3,002064,10.041,8.11,7.3,8.11,7.2,7.37,35236419,2.64261
4,600801,10.033,9.87,8.82,9.87,8.76,8.97,43239600,4.44499
5,600917,10.026,12.51,11.28,12.51,11.14,11.37,13631055,8.73786
6,000729,10.023,9.77,8.78,9.77,8.71,8.88,91060478,3.62886
7,002770,10.017,33.28,30.3,33.28,29.55,30.25,27468563,40.15872
8,601225,10.016,6.7,6.0,6.7,5.96,6.09,65463605,2.41563
9,002458,10.016,20.76,20.76,20.76,20.76,18.87,5492571,3.8728
10,603117,10.014,30.76,29.61,30.76,28.8,27.96,10010577,16.68429
11,300368,10.014,23.84,21.92,23.84,21.2,21.67,6691532,8.74441
12,601010,10.013,8.57,7.67,8.57,7.52,7.79,39263949,2.12467
13,603116,10.012,47.69,43.12,47.69,42.0,43.35,28873080,49.10388
14,002753,10.012,45.93,41.0,45.93,40.03,41.75,7432498,30.09109
15,603311,10.011,30.77,27.95,30.77,27.3,27.97,21516911,40.98459
16,002767,10.011,49.12,44.45,49.12,41.13,44.65,11146795,44.587180000000004
17,300476,10.011,50.77,45.83,50.77,44.0,46.15,11693581,31.88869
18,300481,10.011,49.78,44.0,49.78,42.18,45.25,10950906,54.75453
19,002765,10.01,32.64,29.9,32.64,29.6,29.67,20998247,40.38124
20,300477,10.01,43.96,39.6,43.96,38.42,39.96,8694043,33.43863
21,600359,10.009,12.86,11.7,12.86,11.5,11.69,23308786,7.2613
22,000607,10.009,12.09,11.75,12.09,11.49,10.99,42987864,8.81385
23,300460,10.009,38.36,35.0,38.36,34.0,34.87,17280859,41.06668
24,002772,10.007,49.8,45.27,49.8,43.27,45.27,16838476,45.20396
25,300384,10.007,58.81,51.25,58.81,48.91,53.46,9283945,22.16966
26,300487,10.007,63.65,56.69,63.65,56.02,57.86,7834838,39.17419
27,603969,10.006,19.68,17.6,19.68,17.19,17.89,14798371,14.79837
28,002143,10.006,37.71,34.16,37.71,33.3,34.28,12855785,11.129950000000001
29,300486,10.006,56.51,53.0,56.51,51.5,51.37,14222506,40.96344
30,603223,10.005,48.38,45.88,48.38,41.78,43.98,13397386,44.65795
31,603315,10.005,48.38,44.4,48.38,43.36,43.98,8471782,33.88713
