2015-08-02 22:45:07,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,002526,10.048,11.5,11.5,11.5,11.2,10.45,77346120,18.88013
1,600125,10.036,12.17,11.3,12.17,10.83,11.06,142861224,10.94284
2,600773,10.032,17.11,16.03,17.11,15.8,15.55,37785773,7.00205
3,600326,10.031,14.26,13.4,14.26,13.0,12.96,107475690,19.64103
4,000517,10.031,17.77,17.77,17.77,17.77,16.15,5967266,0.5897600000000001
5,002559,10.03,18.21,16.75,18.21,16.56,16.55,23458264,8.03953
6,002458,10.029,18.87,18.87,18.87,18.87,17.15,100562,0.07091
7,600517,10.028,11.85,11.1,11.85,11.0,10.77,44975451,4.03849
8,000043,10.027,12.07,10.94,12.07,10.79,10.97,56676515,8.49772
9,600707,10.02,10.98,9.77,10.98,9.65,9.98,76385510,10.39658
10,300088,10.02,22.29,19.86,22.29,19.45,20.26,40137422,8.42834
11,600620,10.019,17.24,15.63,17.24,15.62,15.67,50393455,11.00811
12,603616,10.018,30.09,27.29,30.09,26.09,27.35,8812045,24.02411
13,002686,10.018,18.12,18.12,18.12,18.12,16.47,453427,0.23192000000000002
14,300475,10.018,30.64,27.0,30.64,26.88,27.85,17612669,35.22534
15,000518,10.016,6.92,6.92,6.92,6.92,6.29,4129545,0.40111
16,600749,10.015,22.52,22.52,22.52,22.02,20.47,14260973,7.53999
17,603669,10.015,35.92,33.35,35.92,33.32,32.65,13871649,21.341
18,002322,10.012,18.9,17.18,18.9,16.9,17.18,46921509,17.89865
19,002772,10.012,45.27,39.11,45.27,38.89,41.15,17312804,46.47733
20,002775,10.012,47.14,41.61,47.14,41.3,42.85,13890566,46.30189
21,300272,10.012,18.46,16.35,18.46,16.34,16.78,12509599,6.34319
22,002765,10.011,29.67,26.98,29.67,26.21,26.97,22271776,42.83034
23,300461,10.011,49.56,43.01,49.56,43.01,45.05,5091604,30.5252
24,603901,10.01,56.27,49.75,56.27,49.14,51.15,4351627,17.40651
