code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002075,0.0,32.15,32.16,32.8,30.3,32.15,25495888,1.61749
002708,0.0,39.88,39.87,40.34,37.69,39.88,2121695,3.79791
600081,-0.067,30.04,29.72,30.48,27.8,30.06,10598443,3.38004
002299,-0.087,23.05,23.21,23.99,22.21,23.07,22112674,2.45747
000731,-0.206,19.39,19.19,19.6,18.22,19.43,47261461,7.99216
002618,-0.265,60.14,60.0,60.8,57.19,60.3,7173408,3.92762
300137,-0.322,27.88,28.01,28.9,26.4,27.97,32535342,11.56124
002223,-0.396,67.95,68.26,68.8,63.5,68.22,10902282,4.3834800000000005
600703,-0.423,32.95,32.5,34.4,31.4,33.09,119860720,5.05661
603678,-0.444,109.95,109.98,112.53,104.9,110.44,708237,1.70249
600619,-0.485,18.45,18.28,18.85,17.0,18.54,12269024,3.85123
600166,-0.5,11.93,12.0,12.18,11.26,11.99,115467791,4.54938
600814,-0.5,17.91,18.0,18.2,16.9,18.0,13030095,4.19807
002024,-0.526,20.8,20.55,21.17,19.9,20.91,245652828,4.97201
002699,-0.601,57.9,57.38,61.0,53.89,58.25,7249363,5.22213
002341,-0.641,31.0,31.2,31.7,29.02,31.2,14238693,5.55265
000415,-0.726,13.68,13.84,13.94,13.19,13.78,112690348,3.6170400000000003
002535,-0.727,19.13,19.27,19.4,18.36,19.27,18136498,5.86009
002094,-0.824,27.68,27.58,28.21,26.5,27.91,17088948,5.30974
600959,-0.884,39.24,39.3,39.98,37.55,39.59,50681038,8.48929
601021,-0.91,127.47,127.2,131.22,123.16,128.64,3084905,3.08491
600843,-0.915,24.9,24.89,25.07,23.8,25.13,11588173,3.80382
000548,-0.962,20.58,20.78,21.4,18.91,20.78,34346074,6.88021
300257,-0.984,34.2,34.42,34.88,32.58,34.54,10827871,1.32961
300272,-1.007,29.48,29.1,30.18,27.02,29.78,11627566,5.89595
600165,-1.078,28.44,28.86,29.13,27.1,28.75,6482663,3.34238
002168,-1.138,22.59,22.6,23.25,21.1,22.85,56173165,7.56198
600297,-1.23,30.52,30.0,31.05,28.81,30.9,11982296,3.4235100000000003
001696,-1.309,27.9,27.95,28.75,26.55,28.27,51363862,5.7827
600149,-1.325,28.3,28.7,28.85,26.1,28.68,32786959,8.62452
600639,-1.326,32.0,32.05,32.5,30.15,32.43,17066544,2.59904
600698,-1.351,14.6,14.46,15.0,14.0,14.8,34836954,8.10932
