2015-08-31 21:02:12,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600317,10.103,5.34,4.8,5.34,4.63,4.85,160054902,4.86088
1,600810,10.062,8.86,8.86,8.86,8.86,8.05,1666028,0.37669
2,300080,10.047,9.31,8.49,9.31,8.1,8.46,36959489,10.28083
3,300084,10.046,9.64,9.64,9.64,9.64,8.76,2427403,1.08841
4,300051,10.034,13.05,13.05,13.05,13.05,11.86,1495818,0.7064400000000001
5,002395,10.031,17.55,16.27,17.55,16.2,15.95,15566173,8.70562
6,600133,10.03,11.08,10.2,11.08,10.1,10.07,85084756,15.816510000000001
7,000539,10.03,7.35,6.7,7.35,6.58,6.68,57981180,2.27029
8,000617,10.028,11.74,11.15,11.74,11.0,10.67,20785113,7.22862
9,000766,10.024,9.22,9.22,9.22,8.91,8.38,45454512,10.12318
10,600372,10.021,26.46,25.03,26.46,23.65,24.05,64052475,3.64108
11,600406,10.021,15.92,14.49,15.92,14.3,14.47,75451014,3.42065
12,000554,10.021,10.32,10.32,10.32,10.32,9.38,11927348,3.28894
13,600766,10.018,12.41,11.28,12.41,11.15,11.28,12800141,5.71608
14,000585,10.018,6.15,6.15,6.15,5.87,5.59,108507286,17.80498
15,002058,10.01,21.32,20.77,21.32,19.88,19.38,11777107,8.2123
16,601766,10.008,13.3,12.6,13.3,12.2,12.09,993443312,4.33483
17,600730,10.004,24.96,24.96,24.96,24.5,22.69,9866193,3.36354
18,000738,10.004,30.02,28.8,30.02,27.77,27.29,67001392,5.84837
19,300363,10.003,34.53,31.0,34.53,30.18,31.39,7892797,8.25391
20,603198,10.0,40.26,37.6,40.26,36.8,36.6,16129635,20.16204
21,002071,10.0,14.63,13.06,14.63,12.81,13.3,37635079,11.98812
22,002130,10.0,16.06,15.44,16.06,15.19,14.6,37718827,9.74373
23,002350,10.0,18.15,16.49,18.15,15.45,16.5,10467835,4.797
24,300109,9.998,46.1,46.1,46.1,42.32,41.91,18078198,22.48179
25,600148,9.996,28.39,26.8,28.39,26.02,25.81,17132717,12.10652
26,601633,9.996,28.28,27.0,28.28,26.45,25.71,24685516,1.2286
27,000526,9.995,40.28,35.66,40.28,32.96,36.62,20408367,21.2156
28,000400,9.994,18.71,17.01,18.71,16.71,17.01,35028066,4.74958
29,600306,9.991,12.88,11.55,12.88,11.03,11.71,10151985,5.72247
30,600891,9.991,12.11,10.7,12.11,10.68,11.01,45191967,13.95253
31,000029,9.99,11.56,11.1,11.56,10.83,10.51,58212719,6.52858
32,002716,9.99,11.01,10.5,11.01,10.3,10.01,25550140,8.92358
33,002179,9.989,38.32,38.32,38.32,36.66,34.84,59021177,10.21823
34,300251,9.986,23.79,21.0,23.79,20.57,21.63,49618100,4.0517
