,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,601558,10.049,8.98,8.27,8.98,8.25,8.16,25323346,4.01575
1,600209,10.048,11.39,11.39,11.39,11.39,10.35,2392366,0.56686
2,601968,10.046,9.53,9.53,9.53,9.53,8.66,35900,0.017230000000000002
3,000698,10.044,12.49,11.58,12.49,11.45,11.35,58153256,9.27341
4,600006,10.041,13.37,12.28,13.37,12.1,12.15,174139162,8.70696
5,601333,10.038,8.77,8.0,8.77,7.97,7.97,373963555,6.6162
6,000972,10.037,15.02,13.91,15.02,13.82,13.65,51130525,6.62928
7,600896,10.035,15.9,14.22,15.9,14.22,14.45,62409096,10.73583
8,000875,10.033,13.38,12.4,13.38,12.26,12.16,192885913,17.29037
9,600871,10.032,10.42,9.5,10.42,9.5,9.47,73659139,16.3687
10,000043,10.03,18.1,16.6,18.1,16.45,16.45,29422239,4.41139
11,000031,10.024,22.5,20.78,22.5,20.2,20.45,305289626,16.83224
12,000929,10.024,23.05,21.12,23.05,21.1,20.95,13230548,7.12899
13,002585,10.023,19.21,18.43,19.21,18.43,17.46,9731277,2.67139
14,600056,10.022,25.14,23.32,25.14,23.32,22.85,79482361,8.09225
15,002426,10.021,26.02,24.99,26.02,24.5,23.65,16585541,4.4116
16,002010,10.02,10.98,10.98,10.98,10.98,9.98,127154,0.0308
17,002765,10.02,21.52,21.52,21.52,21.52,19.56,11188,0.02152
18,601985,10.019,11.53,11.53,11.53,11.53,10.48,6919239,0.17783000000000002
19,000930,10.019,22.95,21.1,22.95,20.86,20.86,172869026,17.92483
20,000612,10.018,12.08,10.95,12.08,10.81,10.98,60937792,6.3625
21,600679,10.017,25.92,23.68,25.92,23.0,23.56,14811457,8.13728
22,000637,10.017,13.07,12.01,13.07,11.52,11.88,35526822,9.69392
23,603616,10.016,35.04,35.04,35.04,35.04,31.85,38500,0.10496000000000001
24,600614,10.015,28.67,28.67,28.67,28.67,26.06,85498,0.01914
25,601111,10.015,14.28,13.18,14.28,13.18,12.98,239963545,2.88097
26,600503,10.014,23.51,21.38,23.51,20.8,21.37,187835115,17.08405
27,002096,10.014,38.45,35.2,38.45,33.31,34.95,10558467,4.00154
