code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600978,0.0,22.55,22.95,22.97,20.45,22.55,89468559,6.10557
000955,0.0,13.5,13.31,13.69,12.21,13.5,33334092,6.19138
600513,-0.025,39.3,38.02,41.2,35.39,39.31,14622609,9.61381
600707,-0.043,23.18,23.5,23.5,20.9,23.19,37431321,5.09465
002117,-0.082,49.0,49.15,51.5,45.0,49.04,17605951,4.86083
300317,-0.113,53.2,52.39,53.27,47.93,53.26,2157173,1.8755600000000001
603166,-0.143,42.04,41.2,42.3,37.89,42.1,8076107,18.56576
000785,-0.156,19.15,19.37,19.58,17.33,19.18,13389782,5.33258
300122,-0.219,45.61,45.8,47.8,41.88,45.71,8892195,2.66912
600133,-0.249,16.05,15.78,16.13,14.5,16.09,70269343,13.06246
002651,-0.287,59.0,58.0,60.0,54.0,59.17,6168851,4.64522
000593,-0.348,17.16,17.23,17.68,16.03,17.22,15415734,6.90747
603008,-0.386,28.41,29.0,29.0,25.7,28.52,14220841,7.17239
300347,-0.502,57.5,55.9,59.6,52.4,57.79,10475302,4.35086
600449,-0.52,15.3,15.5,15.6,14.3,15.38,22231764,4.64924
600580,-0.55,23.49,23.72,23.95,21.35,23.62,34144928,4.96488
000666,-0.55,27.14,27.25,27.5,24.85,27.29,19568539,6.66756
600499,-0.576,29.32,29.49,30.5,27.0,29.49,32104033,4.86
600643,-0.591,28.61,28.4,28.96,26.84,28.78,50631224,6.1897
000726,-0.606,18.05,18.01,18.3,16.86,18.16,32632262,5.8205
000729,-0.631,12.6,12.7,12.83,11.58,12.68,79980993,3.18841
002042,-0.651,16.8,16.6,17.23,15.22,16.91,22576078,2.71514
000673,-0.655,45.5,45.0,45.78,41.52,45.8,4856445,2.33393
300018,-0.696,58.5,59.39,61.9,53.02,58.91,10579795,6.9099900000000005
600633,-0.723,27.48,27.91,28.09,26.01,27.68,53124533,4.68441
002503,-0.745,21.31,21.5,21.88,19.51,21.47,30543599,4.85016
600052,-0.772,10.28,10.37,10.48,9.52,10.36,34467378,3.95364
600802,-0.828,13.18,13.19,13.27,12.22,13.29,23922319,6.26446
000533,-0.864,11.48,11.34,11.58,10.6,11.58,40381912,5.8963
002323,-0.874,47.61,47.85,49.22,43.23,48.03,6006404,7.19316
600225,-0.936,12.7,12.82,12.86,11.7,12.82,35873548,5.79196
600292,-0.948,37.62,37.9,37.9,35.7,37.98,17295540,3.37888
002495,-1.007,14.74,14.89,15.18,13.44,14.89,35491188,9.49734
002490,-1.032,16.31,16.46,16.48,14.83,16.48,25836072,9.11434
002487,-1.051,16.95,17.16,17.45,16.0,17.13,23972382,4.58851
600581,-1.101,9.88,9.9,9.97,9.02,9.99,42121899,5.49572
601231,-1.101,47.61,48.0,48.4,43.36,48.14,17276867,1.70767
300091,-1.144,51.85,51.9,52.15,47.32,52.45,3190459,2.2069
600616,-1.167,18.63,18.86,18.86,17.12,18.85,21804049,4.4677
002227,-1.269,49.0,48.89,54.59,44.85,49.63,12748821,5.84536
002551,-1.329,55.68,56.42,56.42,50.8,56.43,8977065,4.02425
600816,-1.397,48.69,49.0,49.25,44.69,49.38,21693505,4.77715
603100,-1.418,34.06,34.5,34.5,31.15,34.55,12476477,12.47648
600222,-1.424,16.61,17.0,17.01,15.17,16.85,50068462,10.08207
600393,-1.449,14.96,15.0,15.11,13.66,15.18,12339401,4.26224
601600,-1.455,9.48,9.62,9.62,8.7,9.62,345141076,3.60253
601100,-1.468,20.81,21.12,21.14,19.42,21.12,11706584,4.73424
601390,-1.484,20.58,20.89,21.38,19.0,20.89,666925979,3.90186
600358,-1.506,25.5,26.01,26.38,23.3,25.89,15907452,3.68228
600219,-1.548,12.72,12.98,12.98,11.76,12.92,190626495,6.7236
000970,-1.55,26.04,26.43,26.48,23.87,26.45,54827075,5.14712
601188,-1.574,8.13,8.09,8.45,7.44,8.26,60554697,4.99132
002389,-1.593,27.8,28.26,28.83,25.68,28.25,29933713,11.54095
600741,-1.597,23.42,23.81,23.94,21.68,23.8,62148372,2.40587
000501,-1.605,28.2,28.3,28.51,26.54,28.66,11087313,2.18605
600382,-1.62,22.47,22.83,22.89,20.7,22.84,29606505,8.66329
600320,-1.622,10.31,10.4,10.4,9.69,10.48,105838926,3.8232
600396,-1.626,10.89,10.95,11.04,9.96,11.07,68392363,8.41441
600819,-1.644,12.56,12.82,12.89,11.71,12.77,24032579,3.57376
600282,-1.646,7.17,7.28,7.3,6.6,7.29,241235648,6.22423
300286,-1.649,50.7,50.12,51.3,46.4,51.55,5051456,6.03678
600330,-1.715,22.35,22.74,23.0,20.57,22.74,37321244,6.33833
