,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,300464,44.02,14.69,13.46,14.69,13.46,10.2,5200,0.025160000000000002
1,300477,44.015,15.28,12.73,15.28,12.73,10.61,6400,0.024620000000000003
2,300478,44.003,21.37,19.59,21.37,19.59,14.84,2000,0.012
3,002762,44.0,37.44,31.2,37.44,31.2,26.0,7000,0.04118
4,300475,43.977,12.67,11.51,12.67,11.51,8.8,14700,0.029400000000000003
5,002763,43.969,18.86,17.14,18.86,17.14,13.1,22200,0.04111
6,002761,43.956,10.48,9.52,10.48,9.52,7.28,11800,0.039330000000000004
7,601985,43.953,4.88,4.07,4.88,4.07,3.39,741098,0.01905
8,300111,10.047,11.61,10.38,11.61,10.23,10.55,132014211,11.86631
9,600127,10.046,11.94,10.71,11.94,10.52,10.85,50704642,9.31284
10,600077,10.038,14.36,13.2,14.36,13.15,13.05,20064898,1.83919
11,300110,10.037,15.02,15.02,15.02,15.02,13.65,362414,0.05537
12,300185,10.037,14.8,14.8,14.8,13.99,13.45,127625557,17.9782
13,000720,10.036,15.46,15.13,15.46,14.08,14.05,85734900,9.92924
14,000616,10.035,15.68,14.0,15.68,13.82,14.25,181981083,12.72394
15,600724,10.033,13.49,12.19,13.49,11.88,12.26,39475595,2.73198
16,002133,10.031,14.04,12.8,14.04,12.61,12.76,31333212,6.83717
17,600449,10.026,16.9,15.16,16.9,15.05,15.36,37025654,7.74302
18,600493,10.025,21.62,19.3,21.62,19.02,19.65,37932139,13.945640000000001
19,600829,10.025,22.17,20.0,22.17,19.76,20.15,17734296,3.05822
20,600888,10.025,17.78,15.97,17.78,15.5,16.16,52985552,8.26317
21,002181,10.025,22.17,20.0,22.17,19.61,20.15,53527626,15.34455
22,002476,10.023,14.16,14.16,14.16,14.16,12.87,270255,0.04472
23,603026,10.022,20.09,20.09,20.09,20.09,18.26,38400,0.07577
24,600880,10.02,22.29,21.12,22.29,20.51,20.26,65617144,8.9474
25,000851,10.02,27.23,24.37,27.23,24.02,24.75,35534124,7.32953
26,002381,10.02,21.96,19.97,21.96,19.82,19.96,19279898,8.88831
27,002512,10.02,27.01,27.01,27.01,27.01,24.55,765,0.00047000000000000004
28,002036,10.019,28.66,25.04,28.66,24.76,26.05,34573425,13.55016
29,002395,10.018,30.86,27.61,30.86,27.55,28.05,3770881,2.10892
30,600223,10.016,13.73,12.5,13.73,12.29,12.48,37963016,3.79263
31,603598,10.016,26.91,26.91,26.91,26.91,24.46,8300,0.024900000000000002
32,600701,10.015,37.02,33.0,37.02,32.25,33.65,77500201,15.53789
33,002284,10.015,28.67,25.91,28.67,25.01,26.06,27247740,5.21492
34,002502,10.015,28.78,28.78,28.78,27.5,26.16,7739812,4.80503
35,600307,10.013,8.46,7.67,8.46,7.38,7.69,295174317,4.71272
36,600746,10.013,17.58,15.66,17.58,15.66,15.98,13521539,4.43823
37,600755,10.013,16.59,14.91,16.59,14.7,15.08,157906528,9.4869
38,603300,10.013,25.38,25.38,25.38,25.38,23.07,30950,0.06108
39,002229,10.013,40.76,37.21,40.76,36.8,37.05,17117211,9.21288
40,300040,10.013,16.37,16.37,16.37,16.37,14.88,2924125,1.47349
41,300273,10.013,40.76,37.13,40.76,36.65,37.05,42372467,8.26062
42,300466,10.013,34.83,34.83,34.83,34.83,31.66,9000,0.045
43,002601,10.012,44.5,44.5,44.5,44.5,40.45,26754,0.016290000000000002
44,300044,10.012,46.04,41.6,46.04,40.95,41.85,19714551,13.35562
45,300213,10.012,35.49,35.49,35.49,35.49,32.26,331109,0.26854
46,600633,10.011,30.22,27.01,30.22,27.0,27.47,101977576,8.99216
47,603311,10.011,39.23,39.23,39.23,39.23,35.66,2024389,3.85598
48,603885,10.011,41.76,41.76,41.76,41.76,37.96,56400,0.08294000000000001
49,000785,10.011,20.77,18.44,20.77,18.14,18.88,13799690,5.49583
50,002244,10.011,20.33,20.0,20.33,19.22,18.48,22698365,1.97767
51,600652,10.01,33.52,30.2,33.52,29.51,30.47,37134166,6.66679
52,600696,10.01,22.2,19.89,22.2,19.82,20.18,35729310,10.49117
53,000504,10.01,34.51,33.11,34.51,33.1,31.37,10541362,3.40074
54,000710,10.01,32.86,29.47,32.86,28.51,29.87,10390978,6.87234
55,002289,10.01,44.95,40.71,44.95,40.62,40.86,7149164,5.69268
56,002617,10.01,53.96,48.11,53.96,47.1,49.05,7488545,10.16982
57,002656,10.01,21.21,21.21,21.21,21.21,19.28,82539,0.051570000000000005
58,002233,10.009,23.96,22.11,23.96,20.82,21.78,35194239,4.63292
59,300154,10.009,37.92,34.15,37.92,34.0,34.47,8193168,5.25611
60,300281,10.009,23.96,21.0,23.96,19.6,21.78,18477275,17.60568
61,600110,10.008,13.85,12.35,13.85,12.21,12.59,105729266,9.19135
62,002308,10.008,28.91,26.2,28.91,25.5,26.28,51184298,6.80687
63,002462,10.008,72.0,65.0,72.0,64.5,65.45,5112695,2.61455
64,002758,10.008,67.38,67.38,67.38,67.38,61.25,19000,0.13571
65,300159,10.008,28.58,25.38,28.58,25.08,25.98,18591270,3.22747
66,300329,10.008,42.65,38.41,42.65,37.85,38.77,6200535,9.04019
67,002341,10.007,30.67,27.8,30.67,27.2,27.88,25018947,9.75661
68,002596,10.007,15.5,15.5,15.5,15.5,14.09,21734,0.013710000000000002
69,002697,10.007,15.28,15.28,15.28,15.28,13.89,709230,0.23028
70,600271,10.006,96.31,91.04,96.31,91.04,87.55,28504008,3.08685
