,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600512,10.101,4.36,4.36,4.36,4.36,3.96,1876455,0.25463
1,002392,10.092,6.0,6.0,6.0,6.0,5.45,7629487,1.35938
2,002154,10.074,7.43,6.6,7.43,6.16,6.75,147675832,13.80521
3,000883,10.06,7.33,6.66,7.33,6.11,6.66,216581579,4.05123
4,600293,10.049,8.98,7.5,8.98,7.36,8.16,41266733,11.97864
5,600590,10.049,11.17,11.07,11.17,9.4,10.15,45701537,9.13436
6,300201,10.047,11.83,10.75,11.83,9.68,10.75,37241976,10.6339
7,002693,10.043,10.19,9.98,10.19,8.49,9.26,30815302,15.36402
8,002115,10.041,10.74,9.8,10.74,8.89,9.76,55367685,16.33862
9,000530,10.04,13.81,12.15,13.81,12.02,12.55,24067072,11.15298
10,601989,10.038,11.73,10.66,11.73,10.08,10.66,1094917962,6.09715
11,002118,10.038,14.47,12.5,14.47,12.11,13.15,43975665,8.5777
12,000099,10.037,15.02,12.8,15.02,12.51,13.65,49625436,8.18806
13,000525,10.036,15.35,15.35,15.35,15.35,13.95,8280944,1.63338
14,002112,10.034,16.23,13.44,16.23,13.28,14.75,35039434,19.36346
15,002120,10.032,17.22,14.89,17.22,14.09,15.65,14175747,14.50853
16,300002,10.032,13.71,12.0,13.71,11.28,12.46,161584965,14.17566
17,300209,10.031,17.55,16.5,17.55,15.8,15.95,11930866,5.86806
18,603993,10.03,14.81,12.8,14.81,12.4,13.46,198855729,7.88698
19,002332,10.03,14.81,13.46,14.81,12.98,13.46,25106314,5.44778
20,002611,10.03,10.97,9.7,10.97,8.97,9.97,47575614,15.12959
21,300262,10.029,15.14,14.9,15.14,13.02,13.76,27707500,12.23155
22,300327,10.029,19.09,17.35,19.09,16.18,17.35,14743504,8.65392
23,002319,10.028,19.75,17.4,19.75,16.41,17.95,21923285,10.97287
24,600148,10.024,18.55,15.17,18.55,15.17,16.86,13893054,9.81727
25,600318,10.023,19.54,16.8,19.54,16.4,17.76,19536675,8.07301
26,000967,10.023,14.6,14.6,14.6,14.6,13.27,461658,0.18785000000000002
27,600057,10.02,11.09,9.6,11.09,9.13,10.08,61733156,14.36189
28,600615,10.02,16.47,14.21,16.47,13.63,14.97,9122689,4.86221
29,002176,10.02,16.8,16.8,16.8,16.8,15.27,1979910,0.47262000000000004
30,002539,10.02,27.34,27.34,27.34,26.0,24.85,18649175,13.69952
31,000409,10.019,11.75,10.97,11.75,10.73,10.68,22375631,7.50485
32,002013,10.019,23.61,21.46,23.61,19.99,21.46,25243216,6.6238
33,000565,10.017,31.85,27.68,31.85,26.98,28.95,26206913,15.11035
34,300119,10.017,13.18,11.98,13.18,11.56,11.98,16260757,7.98677
35,300315,10.016,14.06,12.26,14.06,11.78,12.78,282189580,17.52281
36,600329,10.015,21.86,19.87,21.86,19.87,19.87,20307028,3.78719
37,600420,10.015,35.81,31.68,35.81,30.1,32.55,9295013,3.23043
38,000970,10.015,14.83,13.85,14.83,12.4,13.48,121671236,11.42238
39,600677,10.014,23.29,19.17,23.29,19.11,21.17,51876419,13.02194
40,002117,10.014,30.76,27.0,30.76,25.5,27.96,14720489,4.06418
41,002179,10.014,40.21,36.53,40.21,33.28,36.55,35966527,6.22682
42,300050,10.014,23.62,21.46,23.62,20.05,21.47,17282008,12.90833
43,600184,10.013,25.05,22.77,25.05,22.77,22.77,8505750,2.03117
44,600769,10.013,8.79,8.2,8.79,8.06,7.99,17156149,4.5752500000000005
45,603268,10.013,33.73,28.01,33.73,28.01,30.66,4505390,20.47905
46,002680,10.012,27.91,27.91,27.91,27.91,25.37,1315647,1.98184
47,300025,10.012,18.13,16.28,18.13,15.11,16.48,29720132,21.38991
48,300290,10.012,28.57,24.0,28.57,23.7,25.97,11364104,14.82722
49,000613,10.011,10.11,8.4,10.11,8.4,9.19,15961021,6.12555
50,002722,10.011,20.33,20.33,20.33,18.48,18.48,6484141,14.17557
51,000607,10.01,10.55,10.45,10.55,9.28,9.59,54582771,11.19117
52,002521,10.01,10.77,10.5,10.77,9.79,9.79,45244772,11.2112
53,000801,10.009,23.85,19.53,23.85,19.51,21.68,37781287,8.21537
54,000408,10.008,14.07,12.8,14.07,11.51,12.79,39171791,15.52584
55,000685,10.008,13.19,13.19,13.19,13.19,11.99,3788447,0.38003000000000003
56,300415,10.008,29.02,29.02,29.02,29.02,26.38,655501,2.185
57,600233,10.007,15.39,14.0,15.39,13.9,13.99,15714275,9.5238
58,002023,10.007,16.82,16.82,16.82,14.0,15.29,68709243,12.5851
59,002173,10.007,15.83,15.83,15.83,15.83,14.39,266980,0.24711000000000002
60,000513,10.006,58.82,58.82,58.82,55.0,53.47,9624492,5.41709
61,002030,10.006,39.91,34.89,39.91,32.98,36.28,38303371,6.01751
62,002714,10.006,54.97,49.97,54.97,47.12,49.97,5156899,3.5998900000000003
63,600836,10.005,21.99,19.0,21.99,18.7,19.99,32864194,10.48088
64,002025,10.005,23.2,21.09,23.2,19.23,21.09,26536456,6.18876
65,002734,10.005,22.1,22.1,22.1,22.1,20.09,1170718,3.60221
66,300318,10.005,41.34,37.58,41.34,34.88,37.58,3407567,3.34946
67,002690,10.003,34.2,31.09,34.2,28.2,31.09,9092097,4.07818
68,300382,10.002,47.62,40.18,47.62,40.0,43.29,3228506,10.19152
69,300333,10.001,83.04,67.94,83.04,67.94,75.49,7728241,7.00667
70,600363,10.0,10.89,10.89,10.89,10.89,9.9,758198,0.17932
71,600485,10.0,34.76,34.76,34.76,31.9,31.6,18231768,13.15556
