2015-10-23 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600095,0.0,11.41,11.36,11.6,11.01,11.41,1.67,-3.51,33753345.0,9.34314
600353,0.0,8.79,8.78,8.87,8.6,8.79,0.91,-2.16,19716214.0,3.62617
600491,0.0,10.39,10.39,10.59,10.16,10.39,1.92,-2.21,24981696.0,2.63631
002508,0.0,39.1,39.0,39.88,38.34,39.1,1.99,-1.94,7220861.0,1.53126
002649,0.0,45.49,45.0,45.81,43.78,45.49,0.7,-3.76,15191435.0,9.24642
601016,-0.061,16.39,16.43,16.67,15.97,16.4,1.65,-2.62,25427308.0,3.10931
600074,-0.07,14.18,14.13,14.33,13.71,14.19,0.99,-3.38,42513117.0,4.74487
000720,-0.115,8.67,8.69,8.8,8.4,8.68,1.38,-3.23,69247306.0,8.01975
002124,-0.136,21.97,22.0,22.28,21.52,22.0,1.27,-2.18,3197316.0,2.16802
002497,-0.238,8.4,8.42,8.58,8.12,8.42,1.9,-3.56,80574793.0,11.37309
601608,-0.244,8.17,8.1,8.3,7.85,8.19,1.34,-4.15,122673037.0,2.98475
002217,-0.244,16.36,16.4,16.5,15.77,16.4,0.61,-3.84,33760559.0,9.15928
600184,-0.299,23.32,23.1,23.5,22.5,23.39,0.47,-3.81,8341106.0,1.9918500000000001
002353,-0.335,26.78,26.7,26.95,26.22,26.87,0.3,-2.42,40579455.0,6.10765
603198,-0.429,30.18,30.01,30.5,29.51,30.31,0.63,-2.64,9775604.0,12.21951
300114,-0.555,34.06,33.6,35.28,33.4,34.25,3.01,-2.48,4539066.0,2.2382
600133,-0.632,12.58,12.42,12.94,12.16,12.66,2.21,-3.95,86977934.0,16.16844
600749,-0.649,18.37,18.3,18.6,17.85,18.49,0.59,-3.46,11268827.0,5.957990000000001
300184,-0.661,18.03,18.01,18.28,17.5,18.15,0.72,-3.58,22504293.0,8.745190000000001
002024,-0.671,16.28,16.1,16.49,15.75,16.39,0.61,-3.9,484335552.0,9.69418
601616,-0.712,6.97,6.94,7.1,6.8,7.02,1.14,-3.13,59510384.0,6.37634
600221,-0.719,4.14,4.13,4.17,4.03,4.17,0.0,-3.36,168312776.0,1.42492
000592,-0.772,19.29,19.48,19.6,18.82,19.44,0.82,-3.19,44711918.0,5.33743
300408,-0.819,37.54,37.75,38.28,36.13,37.85,1.14,-4.54,7446442.0,8.09405
