2015-08-17 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600605,0.0,19.34,19.5,19.5,18.21,19.34,0.83,-5.84,7099756.0,4.81847
600703,-0.173,28.79,28.6,29.49,28.38,28.84,2.25,-1.6,45930971.0,1.93771
300261,-0.193,15.5,15.5,15.85,15.02,15.53,2.06,-3.28,4491626.0,1.21284
002676,-0.214,23.3,23.5,23.9,22.11,23.35,2.36,-5.31,4169420.0,2.6285
000926,-0.357,13.97,13.9,14.08,13.49,14.02,0.43,-3.78,24007129.0,4.52782
000627,-0.396,10.06,9.97,10.1,9.57,10.1,0.0,-5.25,117946361.0,8.7459
002173,-0.408,19.52,19.25,19.75,18.5,19.6,0.77,-5.61,9409148.0,9.76061
300117,-0.448,11.12,11.1,11.24,10.81,11.17,0.63,-3.22,14264350.0,4.46402
600775,-0.458,21.72,21.5,22.45,21.22,21.82,2.89,-2.75,36063308.0,5.7006
002010,-0.479,22.84,23.0,23.73,22.47,22.95,3.4,-2.09,14724613.0,3.56672
000613,-0.53,13.13,13.22,13.36,12.85,13.2,1.21,-2.65,9834687.0,3.7743700000000002
600558,-0.543,10.99,10.85,11.3,10.68,11.05,2.26,-3.35,36422646.0,6.59254
002659,-0.576,22.45,22.08,22.77,20.98,22.58,0.84,-7.09,11053914.0,3.55431
600892,-0.612,52.0,51.46,52.98,50.51,52.32,1.26,-3.46,1530392.0,2.43603
000540,-0.613,11.34,11.3,11.42,11.1,11.41,0.09,-2.72,64972451.0,2.02146
600704,-0.623,23.93,23.8,24.49,22.8,24.08,1.7,-5.32,81050235.0,8.48783
002104,-0.63,22.08,22.0,22.28,21.31,22.22,0.27,-4.1,41117035.0,6.55444
002171,-0.639,21.76,21.5,22.33,21.27,21.9,1.96,-2.88,11610999.0,3.57883
300241,-0.654,15.19,15.02,16.08,15.02,15.29,5.17,-1.77,9474403.0,5.93112
600338,-0.689,25.93,25.95,26.29,25.25,26.11,0.69,-3.29,11691869.0,7.38434
600495,-0.72,13.79,13.65,13.88,13.3,13.89,-0.07,-4.25,111819804.0,10.13484
000938,-0.742,77.62,77.77,77.8,75.6,78.2,-0.51,-3.32,7379644.0,3.58106
600760,-0.766,23.32,23.0,24.45,22.85,23.5,4.04,-2.77,62386020.0,18.08603
600288,-0.906,20.78,20.55,20.99,20.03,20.97,0.1,-4.48,24367708.0,5.57869
000750,-0.914,14.09,14.16,14.31,13.85,14.22,0.63,-2.6,50648655.0,2.19224
600536,-0.945,37.75,37.59,38.4,36.6,38.11,0.76,-3.96,19617508.0,4.04725
000061,-0.968,17.4,17.4,17.85,17.2,17.57,1.59,-2.11,41043054.0,2.5558
600688,-0.972,9.17,9.0,9.36,8.62,9.26,1.08,-6.91,269338423.0,11.29302
300046,-0.99,22.0,22.22,22.57,20.91,22.22,1.58,-5.9,11568776.0,9.42927
603808,-1.018,52.48,52.9,53.94,52.0,53.02,1.74,-1.92,1833677.0,4.58419
300025,-1.043,22.78,22.8,24.5,21.95,23.02,6.43,-4.65,17259962.0,12.42219
002022,-1.053,32.9,33.22,33.22,31.88,33.25,-0.09,-4.12,18060224.0,4.75117
300122,-1.065,27.87,27.96,28.28,27.18,28.17,0.39,-3.51,3316221.0,0.9954100000000001
000042,-1.11,21.38,21.4,21.5,20.76,21.62,-0.56,-3.98,16627137.0,3.47274
600599,-1.124,31.68,32.0,32.08,30.58,32.04,0.12,-4.56,9785513.0,7.76628
600182,-1.185,20.01,20.0,20.58,19.8,20.25,1.63,-2.22,7621398.0,4.48318
600326,-1.217,17.05,17.01,17.55,16.53,17.26,1.68,-4.23,59913510.0,10.949110000000001
002188,-1.217,35.7,35.69,37.3,32.53,36.14,3.21,-9.99,13453387.0,8.96803
603222,-1.33,38.59,38.57,39.0,37.2,39.11,-0.28,-4.88,4699312.0,11.74828
300110,-1.335,15.52,15.5,15.71,15.03,15.73,-0.13,-4.45,17984118.0,2.7474600000000002
002337,-1.361,10.87,10.86,10.93,10.56,11.02,-0.82,-4.17,24063726.0,4.26062
000006,-1.367,15.87,15.58,16.89,14.97,16.09,4.97,-6.96,125183258.0,9.34973
600857,-1.373,18.67,18.95,19.6,17.95,18.93,3.54,-5.18,19074943.0,8.50345
000632,-1.468,11.41,11.48,11.58,10.95,11.58,0.0,-5.44,26481482.0,5.69422
600588,-1.625,39.34,39.6,39.7,38.58,39.99,-0.73,-3.53,41038663.0,2.93741
603519,-1.686,46.66,46.9,47.59,46.2,47.46,0.27,-2.65,1471891.0,7.35946
601001,-1.689,8.15,8.1,8.18,7.85,8.29,-1.33,-5.31,61086532.0,3.6497900000000003
000028,-1.746,83.27,83.9,85.29,82.05,84.75,0.64,-3.19,2835441.0,1.21556
300373,-1.819,49.12,49.25,49.65,48.0,50.03,-0.76,-4.06,2973520.0,5.85339
000565,-1.918,45.51,45.12,45.85,43.08,46.4,-1.19,-7.16,16127467.0,9.29875
000078,-1.969,19.91,19.97,20.2,19.36,20.31,-0.54,-4.68,44117880.0,6.03719
000592,-1.982,27.7,27.45,27.94,26.5,28.26,-1.13,-6.23,78752454.0,9.40098
601918,-2.003,17.61,17.5,19.02,17.35,17.97,5.84,-3.45,320360568.0,12.36655
600030,-2.006,21.98,22.01,22.23,21.61,22.43,-0.89,-3.66,195640404.0,1.99335
000762,-2.062,19.0,19.0,19.79,18.52,19.4,2.01,-4.54,36536283.0,7.67642
300203,-2.132,30.3,30.06,31.3,28.28,30.96,1.1,-8.66,33916191.0,7.62162
603789,-2.266,44.42,44.51,44.9,43.5,45.45,-1.21,-4.29,5344735.0,10.68947
002531,-2.462,13.47,13.54,13.55,13.0,13.81,-1.88,-5.87,24030914.0,2.92625
603001,-2.477,31.1,31.55,31.68,29.81,31.89,-0.66,-6.52,9009862.0,2.24696
002625,-3.236,65.49,65.2,67.66,64.05,67.68,-0.03,-5.36,10657919.0,5.66919
002383,-3.239,44.51,44.11,45.9,43.42,46.0,-0.22,-5.61,10305198.0,7.41751
300394,-4.03,75.72,77.11,78.8,73.15,78.9,-0.13,-7.29,1595175.0,10.46703
601933,-4.636,12.96,13.06,13.29,12.5,13.59,-2.21,-8.02,159253416.0,5.18471
600477,-5.429,12.02,12.2,12.42,11.6,12.71,-2.28,-8.73,73498130.0,12.19895
