2015-09-07 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600240,0.0,11.1,11.27,11.77,11.04,11.1,6.04,-0.54,29228054.0,2.07182
600261,0.0,7.1,7.2,7.48,7.06,7.1,5.35,-0.56,27085516.0,1.8652600000000001
000006,0.0,9.43,9.63,10.05,9.11,9.43,6.57,-3.39,33262766.0,2.47954
000669,0.0,16.78,17.01,17.68,16.7,16.78,5.36,-0.48,6530351.0,2.92436
000726,0.0,11.5,11.5,11.98,11.41,11.5,4.17,-0.78,10780073.0,1.9222700000000001
002155,0.0,7.79,7.69,8.03,7.6,7.79,3.08,-2.44,21112467.0,2.11961
002508,0.0,34.6,34.67,36.3,34.31,34.6,4.91,-0.84,3432028.0,0.7278
600826,-0.046,21.95,22.48,23.65,21.48,21.96,7.7,-2.19,10445065.0,2.48312
600998,-0.052,19.11,18.9,19.98,18.51,19.12,4.5,-3.19,8095156.0,0.56593
600694,-0.089,33.55,33.55,35.2,33.0,33.58,4.82,-1.73,5869066.0,1.9981900000000001
600639,-0.104,19.2,19.3,20.83,18.99,19.22,8.38,-1.2,22058309.0,3.35922
000543,-0.161,12.43,12.56,13.07,12.33,12.45,4.98,-0.96,22806845.0,2.22472
002327,-0.213,9.36,9.4,9.95,9.26,9.38,6.08,-1.28,20921367.0,4.77945
002124,-0.229,17.46,17.55,18.74,17.3,17.5,7.09,-1.14,3528584.0,2.39264
000725,-0.318,3.13,3.14,3.27,3.11,3.14,4.14,-0.96,542741996.0,2.32403
000563,-0.325,9.19,9.1,9.53,9.01,9.22,3.36,-2.28,15676223.0,1.29058
600874,-0.348,8.58,8.71,9.14,8.52,8.61,6.16,-1.05,17441917.0,1.60426
002701,-0.367,21.72,21.98,23.0,21.46,21.8,5.5,-1.56,14811462.0,2.85614
002662,-0.373,10.67,10.77,11.48,10.57,10.71,7.19,-1.31,8442723.0,2.17319
000919,-0.431,13.85,13.88,14.56,13.79,13.91,4.67,-0.86,4331606.0,0.86077
002698,-0.436,29.7,29.9,31.7,29.16,29.83,6.27,-2.25,2746886.0,2.55009
603005,-0.462,30.18,30.0,31.87,29.88,30.32,5.11,-1.45,1556170.0,1.56181
603699,-0.492,18.19,18.25,19.27,17.88,18.28,5.42,-2.19,4949940.0,3.19351
002216,-0.527,9.43,9.3,9.87,9.3,9.48,4.11,-1.9,10411994.0,1.85892
600766,-0.623,11.16,11.1,11.99,11.1,11.23,6.77,-1.16,5653131.0,2.52448
601010,-0.676,7.35,7.34,7.9,7.2,7.4,6.76,-2.7,40437716.0,2.18819
000088,-0.706,7.03,7.08,7.37,7.0,7.08,4.1,-1.13,17836056.0,0.91837
600030,-0.74,14.76,14.85,15.44,14.7,14.87,3.83,-1.14,200888122.0,2.04682
600999,-0.785,16.44,16.56,17.55,16.29,16.57,5.91,-1.69,57005692.0,1.18685
603993,-0.817,12.14,12.2,13.2,12.05,12.24,7.84,-1.55,46258732.0,1.83471
601179,-0.847,7.02,7.06,7.49,6.96,7.08,5.79,-1.69,40186150.0,0.92234
002479,-0.868,10.28,10.35,10.96,10.15,10.37,5.69,-2.12,15665512.0,2.14106
300017,-0.869,43.33,44.0,47.12,43.2,43.71,7.8,-1.17,18967749.0,3.8239
600549,-0.88,16.9,16.95,17.94,16.79,17.05,5.22,-1.52,9982474.0,1.12596
600743,-0.891,5.56,5.65,5.9,5.5,5.61,5.17,-1.96,25564463.0,1.40645
000623,-0.945,24.12,24.3,25.47,23.85,24.35,4.6,-2.05,23553704.0,2.98511
002064,-0.968,6.14,6.2,6.51,6.03,6.2,5.0,-2.74,29969457.0,2.24761
600657,-0.969,6.13,6.17,6.47,6.04,6.19,4.52,-2.42,14785276.0,0.97
000783,-0.995,9.95,9.8,10.4,9.78,10.05,3.48,-2.69,115115321.0,2.42737
600332,-1.015,26.34,26.61,27.98,26.21,26.61,5.15,-1.5,13650757.0,1.31721
002225,-1.017,6.81,6.81,7.17,6.74,6.88,4.22,-2.03,11321775.0,2.05128
300146,-1.062,28.87,29.03,30.78,28.4,29.18,5.48,-2.67,8957721.0,2.67404
002761,-1.086,33.71,33.11,35.84,32.5,34.08,5.16,-4.64,2707846.0,9.02615
600337,-1.116,12.4,12.5,13.18,12.3,12.54,5.1,-1.91,4669713.0,0.72692
600221,-1.229,4.02,4.08,4.24,3.99,4.07,4.18,-1.97,170940401.0,1.44717
000961,-1.241,11.14,11.1,11.75,11.1,11.28,4.17,-1.6,8681299.0,0.7459
