code,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600028,0.0,6.12,6.1,6.21,6.03,6.12,0.0,0.0,373680830.0,0.39105
600548,0.0,8.26,8.26,8.4,8.05,8.26,0.0,0.0,13002908.0,0.90722
000736,0.0,12.95,12.8,13.57,12.71,12.95,0.0,0.0,8341129.0,6.01233
000898,0.0,6.5,6.45,6.7,6.38,6.5,0.0,0.0,66871981.0,1.08754
000981,0.0,25.88,25.86,26.98,25.3,25.88,0.0,0.0,8169604.0,0.9520500000000001
300267,-0.028,35.43,35.4,36.26,35.0,35.44,-0.03,-0.03,4575093.0,0.81022
603006,-0.103,38.84,38.61,39.38,37.86,38.88,-0.1,-0.1,1967093.0,5.71165
300152,-0.115,34.81,34.49,36.1,34.26,34.85,-0.12,-0.11,23098693.0,9.72167
002439,-0.121,33.1,32.68,34.44,32.5,33.14,-0.13,-0.12,37224348.0,6.74518
002450,-0.156,38.28,38.35,39.5,37.9,38.34,-0.16,-0.15,39059081.0,2.73293
000525,-0.162,18.5,18.53,18.66,18.22,18.53,-0.16,-0.16,7465151.0,1.47247
600600,-0.179,38.98,38.8,39.75,38.32,39.05,-0.18,-0.18,9794405.0,1.4074200000000001
002261,-0.181,38.65,38.08,40.49,37.88,38.72,-0.19,-0.18,22380141.0,10.13765
000543,-0.182,16.42,16.44,16.84,16.35,16.45,-0.19,-0.18,25603218.0,2.49749
002422,-0.238,20.95,20.9,21.58,20.78,21.0,-0.25,-0.24,22539650.0,3.16994
002283,-0.239,20.84,20.95,21.58,20.66,20.89,-0.25,-0.24,10514081.0,1.87949
600267,-0.242,16.46,16.47,16.82,16.3,16.5,-0.25,-0.24,20800531.0,2.47711
600576,-0.27,33.25,33.12,34.43,32.55,33.34,-0.28,-0.26,23991020.0,11.00036
300245,-0.304,22.99,22.71,23.77,22.22,23.06,-0.31,-0.29,23367863.0,13.67057
600707,-0.32,12.47,12.48,12.81,12.21,12.51,-0.33,-0.31,61774854.0,8.40797
002664,-0.331,33.09,32.9,35.12,31.86,33.2,-0.35,-0.32,13936034.0,4.07232
000860,-0.34,23.45,23.47,24.09,23.25,23.53,-0.35,-0.34,18361898.0,3.26144
000158,-0.347,17.22,17.25,17.8,16.99,17.28,-0.36,-0.34,39878719.0,5.54851
002317,-0.352,31.15,31.35,31.44,30.53,31.26,-0.36,-0.34,14148974.0,5.96946
300141,-0.369,21.61,21.8,22.55,21.53,21.69,-0.39,-0.37,6234391.0,5.86975
300224,-0.377,29.07,29.19,31.95,28.51,29.18,-0.41,-0.37,11619218.0,2.54084
002757,-0.403,44.5,44.18,46.18,43.81,44.68,-0.42,-0.4,5436368.0,19.8843
000156,-0.404,34.55,34.7,35.35,34.03,34.69,-0.41,-0.4,4876022.0,4.12078
600475,-0.409,17.06,17.08,17.5,16.95,17.13,-0.42,-0.41,9065300.0,3.54113
600132,-0.418,19.06,18.9,19.45,18.76,19.14,-0.43,-0.41,13754531.0,2.84201
600062,-0.421,28.37,28.49,29.34,27.88,28.49,-0.44,-0.41,13510720.0,2.36327
300085,-0.425,51.58,51.18,53.28,50.7,51.8,-0.44,-0.42,19252594.0,7.72148
300385,-0.429,46.4,46.88,47.99,45.25,46.6,-0.44,-0.42,2143810.0,4.90732
300304,-0.438,22.73,22.6,23.45,22.5,22.83,-0.45,-0.43,4135688.0,2.06784
600743,-0.448,6.67,6.69,6.78,6.61,6.7,-0.46,-0.44,20538045.0,1.12992
300180,-0.449,15.52,15.57,16.05,15.35,15.59,-0.46,-0.44,9438003.0,3.14697
300227,-0.457,30.48,30.16,31.19,29.8,30.62,-0.47,-0.45,11407977.0,8.40311
002258,-0.465,27.8,27.7,28.33,27.39,27.93,-0.47,-0.46,4965791.0,2.45294
000529,-0.477,12.51,12.57,13.09,12.35,12.57,-0.5,-0.47,20853044.0,3.6765
603588,-0.489,71.28,71.77,73.8,71.02,71.63,-0.51,-0.49,1524900.0,3.7745
600403,-0.504,7.9,7.94,8.06,7.84,7.94,-0.51,-0.5,10819777.0,0.45256
603100,-0.506,19.68,19.6,20.36,19.51,19.78,-0.52,-0.5,11648741.0,5.03443
300054,-0.507,21.59,21.76,22.22,21.41,21.7,-0.52,-0.5,8314663.0,2.88002
300170,-0.521,21.02,20.8,21.69,20.62,21.13,-0.54,-0.51,59178759.0,9.6109
601179,-0.532,9.34,9.37,9.57,9.25,9.39,-0.55,-0.53,108522291.0,2.49076
