code,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600183,-0.541,9.2,9.2,9.33,9.1,9.25,-0.55,-0.54,36030760.0,2.532
603311,-0.545,32.86,32.4,33.94,32.09,33.04,-0.56,-0.53,13843370.0,26.36832
002411,-0.557,16.08,16.06,16.47,15.8,16.17,-0.57,-0.55,22280640.0,8.70588
601799,-0.579,32.61,32.53,34.1,32.3,32.8,-0.61,-0.57,4158511.0,1.7404000000000002
000028,-0.579,79.05,79.51,84.0,77.26,79.51,-0.62,-0.57,4590824.0,1.9681000000000002
600460,-0.581,8.56,8.56,8.66,8.46,8.61,-0.59,-0.57,32393764.0,2.59739
600298,-0.582,35.88,36.09,36.63,35.39,36.09,-0.59,-0.57,5062708.0,1.56118
603085,-0.592,53.7,52.97,56.58,52.97,54.02,-0.62,-0.58,8628436.0,34.51374
300335,-0.612,16.25,16.3,16.68,15.98,16.35,-0.63,-0.6,7040244.0,2.9839200000000003
300165,-0.625,23.86,23.89,24.58,23.3,24.01,-0.64,-0.61,13400188.0,9.68195
601318,-0.627,34.87,34.9,35.69,34.7,35.09,-0.64,-0.62,166487100.0,1.5369000000000002
603005,-0.631,48.8,48.5,50.9,47.88,49.11,-0.66,-0.62,3587389.0,3.60038
600419,-0.643,30.91,30.81,31.38,30.68,31.11,-0.65,-0.64,3399321.0,4.23798
601101,-0.656,9.09,9.06,9.26,9.03,9.15,-0.67,-0.65,18849666.0,1.57081
600123,-0.658,9.06,9.05,9.25,8.96,9.12,-0.67,-0.65,54921893.0,4.80759
002085,-0.698,52.61,53.0,53.35,51.52,52.98,-0.71,-0.68,5926209.0,1.57509
600993,-0.706,23.9,23.9,24.63,23.74,24.07,-0.73,-0.7,22995401.0,5.34483
300098,-0.743,29.4,29.78,30.89,29.28,29.62,-0.78,-0.74,10810153.0,5.48845
600538,-0.785,13.9,13.99,14.49,13.61,14.01,-0.82,-0.77,21965603.0,7.86689
300115,-0.786,40.37,40.2,42.49,40.01,40.69,-0.83,-0.78,10722046.0,2.08934
600237,-0.794,8.75,8.73,8.9,8.6,8.82,-0.81,-0.78,42452581.0,7.52212
600684,-0.796,11.21,11.29,11.5,11.02,11.3,-0.82,-0.78,44890760.0,6.31182
600345,-0.813,18.31,18.43,18.64,18.0,18.46,-0.83,-0.8,7761442.0,3.9199200000000003
002564,-0.828,10.78,10.72,11.0,10.58,10.87,-0.84,-0.81,46080044.0,9.23876
002294,-0.834,30.91,31.01,31.48,30.81,31.17,-0.85,-0.83,8692084.0,1.89298
300080,-0.837,9.48,9.55,9.66,9.34,9.56,-0.85,-0.82,26766477.0,7.44225
600377,-0.845,8.21,8.25,8.3,8.14,8.28,-0.85,-0.84,14899886.0,0.39231000000000005
601288,-0.855,3.48,3.49,3.5,3.45,3.51,-0.86,-0.85,429786968.0,0.14616
002340,-0.862,16.1,16.03,16.35,15.88,16.24,-0.88,-0.85,54720972.0,4.6826
002360,-0.865,12.61,12.7,12.88,12.45,12.72,-0.88,-0.85,15774759.0,6.43643
600687,-0.877,38.43,38.3,38.89,37.58,38.77,-0.89,-0.86,23872364.0,9.69426
002365,-0.887,18.99,18.95,19.45,18.64,19.16,-0.91,-0.87,11384559.0,7.78993
600030,-0.896,22.11,22.0,22.49,21.89,22.31,-0.91,-0.89,301506817.0,3.072
600604,-0.923,15.03,15.0,15.4,14.78,15.17,-0.95,-0.91,10455126.0,3.13474
600657,-0.932,7.44,7.44,7.59,7.36,7.51,-0.95,-0.92,17168723.0,1.12636
002056,-0.934,26.51,26.6,27.45,26.4,26.76,-0.97,-0.93,15915611.0,3.87415
000555,-0.935,65.7,65.5,68.5,64.86,66.32,-0.97,-0.92,3252527.0,2.77742
002362,-0.947,26.16,26.35,26.96,25.65,26.41,-0.98,-0.93,12939584.0,7.34527
000911,-0.949,18.79,18.78,19.78,18.52,18.97,-1.0,-0.94,15363694.0,5.35993
600586,-0.982,6.05,6.09,6.15,5.98,6.11,-1.0,-0.97,45580785.0,3.20381
000333,-1.001,34.6,34.7,34.95,34.42,34.95,-1.01,-1.0,24720311.0,1.1039
600557,-1.005,26.59,26.76,27.05,26.36,26.86,-1.02,-1.0,10451862.0,2.83611
600336,-1.017,7.79,7.8,7.98,7.66,7.87,-1.04,-1.0,44022691.0,6.47324
601601,-1.031,25.91,25.97,26.36,25.79,26.18,-1.05,-1.03,36896011.0,0.58689
603518,-1.051,39.54,39.49,40.18,39.2,39.96,-1.07,-1.04,4924989.0,13.31258
000055,-1.053,10.34,10.35,10.62,10.19,10.45,-1.08,-1.04,21592205.0,5.13881
601688,-1.079,19.25,19.38,19.75,19.2,19.46,-1.11,-1.08,70301816.0,1.29143
002603,-1.079,19.25,19.41,19.7,19.05,19.46,-1.1,-1.07,20562202.0,2.31975
601006,-1.099,10.8,10.86,11.02,10.77,10.92,-1.12,-1.1,82133296.0,0.5524600000000001
600089,-1.1,14.38,14.5,14.88,14.31,14.54,-1.14,-1.09,104543190.0,3.28946
000950,-1.112,8.89,8.91,9.04,8.68,8.99,-1.13,-1.09,21555981.0,3.59987
300407,-1.115,37.25,37.51,38.3,37.02,37.67,-1.15,-1.11,2079604.0,6.11648
600481,-1.117,23.9,24.05,24.49,23.76,24.17,-1.14,-1.11,15540101.0,1.9179400000000002
002472,-1.117,25.67,25.79,26.45,25.43,25.96,-1.15,-1.11,8776582.0,5.06935
000988,-1.131,17.49,17.56,17.95,17.2,17.69,-1.16,-1.11,44184417.0,4.9583200000000005
601998,-1.142,7.79,7.81,7.86,7.71,7.88,-1.15,-1.13,99702646.0,0.3125
002451,-1.143,13.84,13.9,14.09,13.52,14.0,-1.16,-1.12,20859064.0,7.55021
002688,-1.153,18.0,18.01,18.38,17.76,18.21,-1.18,-1.14,10612454.0,5.06259
300074,-1.159,13.64,13.55,13.97,13.36,13.8,-1.19,-1.14,40321548.0,11.265460000000001
600516,-1.163,11.9,11.98,12.16,11.83,12.04,-1.19,-1.16,73154270.0,4.25523
601377,-1.189,10.8,10.81,11.08,10.74,10.93,-1.22,-1.18,93062258.0,1.78966
603355,-1.189,57.32,57.26,58.97,56.51,58.01,-1.22,-1.17,6975549.0,17.01353
000551,-1.195,11.58,11.62,11.85,11.41,11.72,-1.22,-1.18,21824081.0,5.45492
601588,-1.196,6.61,6.61,6.8,6.52,6.69,-1.23,-1.18,101499098.0,3.81576
300430,-1.201,83.88,84.0,86.2,83.2,84.9,-1.23,-1.19,951345.0,6.25885
002391,-1.204,18.87,18.98,19.24,18.69,19.1,-1.23,-1.19,9185789.0,4.30634
300366,-1.206,39.31,39.5,40.48,38.88,39.79,-1.24,-1.19,1968491.0,5.61875
600580,-1.22,15.39,15.45,15.75,15.31,15.58,-1.25,-1.21,20964652.0,3.04839
300378,-1.236,55.92,55.36,58.1,55.01,56.62,-1.28,-1.22,5998526.0,11.73304
600223,-1.259,8.63,8.72,8.89,8.5,8.74,-1.3,-1.24,22275684.0,2.22541
601901,-1.262,9.39,9.37,9.55,9.32,9.51,-1.28,-1.25,103559077.0,1.6464500000000002
002715,-1.263,46.11,46.0,47.49,44.85,46.7,-1.3,-1.23,5808107.0,11.14567
600109,-1.292,17.57,17.68,17.93,17.39,17.8,-1.32,-1.28,101933762.0,3.59319
600166,-1.292,7.64,7.65,7.88,7.6,7.74,-1.33,-1.29,117263670.0,4.17357
300295,-1.312,82.75,82.0,85.0,81.3,83.85,-1.35,-1.29,6551884.0,8.38072
603998,-1.315,42.04,42.2,43.23,41.09,42.6,-1.35,-1.29,4190373.0,11.82452
000967,-1.316,19.5,19.76,20.35,19.0,19.76,-1.37,-1.28,10671377.0,3.90266
300211,-1.316,18.75,18.78,19.05,18.35,19.0,-1.34,-1.29,4715628.0,5.16748
600971,-1.328,7.43,7.46,7.58,7.34,7.53,-1.35,-1.31,20162756.0,2.01627
600067,-1.336,8.86,8.9,9.05,8.73,8.98,-1.36,-1.32,66353836.0,4.47459
600409,-1.34,11.04,11.11,11.29,10.82,11.19,-1.37,-1.31,47879730.0,2.5875500000000002
002680,-1.356,37.1,37.09,38.0,36.58,37.61,-1.39,-1.34,5368290.0,8.0866
300327,-1.369,20.17,20.18,20.73,19.83,20.45,-1.41,-1.35,8369791.0,4.91277
600671,-1.383,25.67,25.6,26.2,25.23,26.03,-1.41,-1.36,2067831.0,1.69883
600782,-1.402,6.33,6.29,6.54,6.2,6.42,-1.45,-1.37,39987160.0,2.86966
002437,-1.402,32.34,32.34,32.85,32.23,32.8,-1.42,-1.4,8319915.0,1.18856
300113,-1.402,47.13,47.29,49.76,46.88,47.8,-1.48,-1.39,21529629.0,12.046
002121,-1.425,28.36,28.43,29.4,28.11,28.77,-1.48,-1.41,16339068.0,6.08414
603678,-1.434,76.97,77.93,82.0,76.13,78.09,-1.53,-1.42,1438184.0,3.45717
600801,-1.435,11.68,11.62,12.31,11.31,11.85,-1.51,-1.39,53493668.0,5.4991
002576,-1.436,35.0,34.6,36.15,33.51,35.51,-1.48,-1.37,6732269.0,5.94949
601100,-1.479,17.32,17.4,17.78,17.26,17.58,-1.52,-1.47,7889601.0,3.19062
600228,-1.495,12.52,12.56,12.78,12.3,12.71,-1.53,-1.47,14569607.0,6.03746
600976,-1.555,32.28,32.5,32.9,31.63,32.79,-1.58,-1.52,3685120.0,2.40498
600679,-1.565,18.24,18.18,18.8,17.8,18.53,-1.61,-1.53,14914879.0,8.1941
600328,-1.594,13.58,13.7,13.95,13.39,13.8,-1.64,-1.57,29472781.0,8.20699
000973,-1.594,9.88,9.81,10.37,9.7,10.04,-1.67,-1.56,78488003.0,10.16195
300204,-1.595,36.41,36.69,37.2,35.9,37.0,-1.63,-1.57,6051567.0,1.83114
000418,-1.626,24.8,25.02,25.5,24.52,25.21,-1.67,-1.61,5973737.0,1.36466
300235,-1.628,29.0,29.16,30.36,28.7,29.48,-1.7,-1.61,8674665.0,9.48296
600018,-1.641,7.79,7.8,7.94,7.75,7.92,-1.67,-1.63,99232809.0,0.43609000000000003
600873,-1.66,10.07,10.11,10.32,10.0,10.24,-1.7,-1.65,159749602.0,5.13957
000885,-1.664,14.18,14.18,14.39,13.7,14.42,-1.69,-1.61,13489764.0,3.16068
601599,-1.678,16.99,17.01,17.46,16.6,17.28,-1.72,-1.64,26896347.0,8.45797
002012,-1.693,8.71,8.65,8.94,8.6,8.86,-1.74,-1.67,41781578.0,8.93484
300050,-1.697,26.07,26.32,26.98,25.88,26.52,-1.76,-1.68,12776191.0,9.76903
600333,-1.708,9.21,9.24,9.33,9.1,9.37,-1.73,-1.69,27095145.0,5.46251
000750,-1.716,13.75,13.8,14.06,13.71,13.99,-1.75,-1.71,47802781.0,2.06906
300171,-1.753,25.78,26.05,26.69,25.54,26.24,-1.81,-1.74,18044658.0,5.6331
000671,-1.772,18.85,18.88,19.21,18.72,19.19,-1.81,-1.76,13204381.0,1.26267
600958,-1.774,24.36,24.48,24.96,24.26,24.8,-1.82,-1.77,41306345.0,4.13063
600206,-1.781,16.54,16.68,17.29,16.38,16.84,-1.86,-1.76,49173751.0,8.37521
002642,-1.8,50.2,50.5,51.72,49.51,51.12,-1.85,-1.78,9996519.0,5.96601
600317,-1.815,5.95,5.96,6.05,5.87,6.06,-1.85,-1.79,92105223.0,2.79724
603227,-1.822,30.17,30.1,31.4,29.8,30.73,-1.9,-1.8,22527673.0,27.35601
000012,-1.836,12.83,12.88,13.12,12.75,13.07,-1.88,-1.82,31007160.0,2.3801
603636,-1.837,55.03,55.4,56.56,54.02,56.06,-1.89,-1.8,2874760.0,11.49904
600528,-1.875,16.75,16.75,17.07,16.45,17.07,-1.91,-1.84,95445152.0,6.54092
002487,-1.884,11.46,11.46,11.66,11.29,11.68,-1.92,-1.86,25248928.0,4.83286
300401,-1.899,24.28,24.28,24.85,23.98,24.75,-1.94,-1.88,8567545.0,18.87124
300228,-1.905,68.47,69.0,71.49,68.1,69.8,-1.99,-1.89,4962106.0,4.53929
603158,-1.906,60.73,61.78,64.88,60.0,61.91,-2.04,-1.88,2669026.0,10.0076
600406,-1.908,20.56,20.6,21.1,20.25,20.96,-1.96,-1.88,67127055.0,3.04327
000723,-1.932,13.2,13.3,13.78,13.08,13.46,-2.02,-1.91,28511467.0,14.63146
600080,-1.935,12.67,12.7,12.88,12.5,12.92,-1.97,-1.91,23344455.0,7.6465
002061,-1.94,9.1,9.11,9.3,8.94,9.28,-1.98,-1.91,54723020.0,13.38371
002547,-1.946,40.82,40.99,42.5,40.15,41.63,-2.03,-1.91,26185017.0,14.98729
002660,-1.955,13.04,13.1,13.39,12.91,13.3,-2.01,-1.94,20769704.0,9.22278
002274,-1.957,11.52,11.61,11.98,11.4,11.75,-2.04,-1.94,17282935.0,3.52258
600521,-1.966,28.42,28.7,29.33,28.1,28.99,-2.03,-1.94,10901306.0,1.39091
000728,-1.968,24.41,24.6,25.09,24.31,24.9,-2.02,-1.96,35256443.0,1.7950400000000002
300394,-1.973,73.52,74.0,76.0,73.1,75.0,-2.04,-1.96,1316083.0,8.63572
002560,-1.982,23.24,23.33,23.75,22.92,23.71,-2.03,-1.95,12425984.0,14.03694
600587,-1.989,36.96,37.1,37.68,36.8,37.71,-2.03,-1.98,10073621.0,2.76976
300231,-2.0,19.6,19.65,20.19,19.33,20.0,-2.06,-1.97,29913369.0,11.6823
603015,-2.002,32.79,33.0,33.96,32.56,33.46,-2.07,-1.99,8303558.0,16.57397
002733,-2.005,29.33,29.64,30.34,28.88,29.93,-2.07,-1.97,6988126.0,13.702210000000001
002254,-2.046,16.28,16.31,16.77,16.04,16.62,-2.11,-2.02,16275544.0,2.66554
300186,-2.058,45.21,45.0,46.36,44.5,46.16,-2.11,-2.03,7160945.0,1.78104
000776,-2.101,19.1,19.24,19.58,19.0,19.51,-2.15,-2.09,56013569.0,0.9462900000000001
000552,-2.115,11.11,11.18,11.57,11.03,11.35,-2.2,-2.1,21911471.0,6.18749
000877,-2.147,10.94,11.01,11.23,10.7,11.18,-2.2,-2.1,44691580.0,5.07847
300374,-2.147,23.7,23.88,24.53,23.5,24.22,-2.22,-2.13,4539894.0,9.325990000000001
002500,-2.151,15.01,15.1,15.37,14.95,15.34,-2.2,-2.14,59363763.0,2.38555
300334,-2.169,24.36,24.55,25.32,23.88,24.9,-2.25,-2.13,10648907.0,4.12003
002094,-2.171,17.57,17.61,18.2,17.31,17.96,-2.25,-2.14,10254110.0,3.18607
002504,-2.195,25.4,25.5,25.88,24.76,25.97,-2.24,-2.14,17983868.0,18.76116
600114,-2.262,16.42,16.58,16.85,16.21,16.8,-2.32,-2.23,20252342.0,8.45671
600846,-2.262,10.8,10.9,11.08,10.65,11.05,-2.32,-2.23,71782756.0,11.48963
601699,-2.284,8.13,8.21,8.37,8.0,8.32,-2.35,-2.25,51582248.0,1.72435
603117,-2.291,36.25,36.0,38.0,35.6,37.1,-2.4,-2.25,22120381.0,36.8673
002357,-2.311,23.25,23.31,24.06,23.04,23.8,-2.39,-2.29,14754910.0,7.53805
002648,-2.456,13.9,14.08,14.5,13.73,14.25,-2.56,-2.43,15636791.0,1.975
000680,-2.527,8.1,8.2,8.64,8.05,8.31,-2.7,-2.51,103040018.0,10.79123
600896,-2.529,16.96,17.0,17.36,16.55,17.4,-2.59,-2.47,60968884.0,10.48808
002580,-2.613,17.52,17.68,18.13,17.31,17.99,-2.7,-2.58,16801098.0,11.26086
000099,-2.625,23.37,23.51,24.58,22.77,24.0,-2.76,-2.56,78136700.0,12.89235
600536,-2.651,35.99,36.16,37.42,35.04,36.97,-2.76,-2.58,33427163.0,6.8962900000000005
603567,-2.755,54.01,54.29,55.6,53.76,55.54,-2.84,-2.74,7603052.0,11.77308
002722,-2.767,26.0,26.24,26.77,25.69,26.74,-2.85,-2.73,5919554.0,12.94128
300339,-2.767,38.65,38.89,40.5,38.21,39.75,-2.9,-2.74,13107943.0,10.08221
002318,-3.0,48.5,49.0,50.49,48.45,50.0,-3.12,-3.0,13700972.0,4.24983
600545,-3.053,13.97,14.1,14.33,13.8,14.41,-3.13,-3.02,61900422.0,9.15977
002070,-3.068,15.48,15.77,16.77,15.3,15.97,-3.32,-3.03,120481479.0,21.28391
000837,-3.598,18.22,18.31,18.76,18.06,18.9,-3.7,-3.57,48821523.0,19.10302
002569,-3.937,24.4,24.58,25.36,23.42,25.4,-4.09,-3.78,7115538.0,5.15832
600379,-5.482,18.62,18.7,19.27,18.47,19.7,-5.67,-5.44,23794598.0,10.08852
600753,-5.658,28.68,29.0,30.64,28.27,30.4,-6.04,-5.58,12123418.0,9.47142
002336,-7.381,19.2,19.4,20.6,18.92,20.73,-7.92,-7.27,33999788.0,8.49995
