2015-07-21 18:45:36,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600566,0.0,24.31,24.01,24.81,23.28,24.31,6988872,4.09591
603000,0.0,25.64,25.4,26.18,24.7,25.64,29469965,2.6653000000000002
300236,0.0,30.0,29.4,31.6,28.0,30.0,4741552,3.12729
300045,-0.053,18.8,18.62,19.57,18.03,18.81,22978474,7.05772
600580,-0.066,15.06,14.9,15.45,14.53,15.07,28890125,4.2008
002255,-0.093,10.72,10.6,11.07,10.28,10.73,43374424,10.71809
000838,-0.099,20.18,19.7,21.1,19.17,20.2,3370080,1.86193
600068,-0.106,9.39,9.31,9.63,9.17,9.4,158901560,3.83027
600308,-0.15,6.65,6.58,6.77,6.48,6.66,46062449,3.94518
601600,-0.151,6.63,6.55,6.79,6.43,6.64,264244684,2.75814
600883,-0.204,14.65,14.58,15.65,13.67,14.68,14207113,6.01772
002178,-0.218,13.75,13.78,14.48,13.27,13.78,54054170,9.55699
600642,-0.224,8.9,8.8,9.08,8.67,8.92,71344430,1.56731
002058,-0.265,18.8,18.4,19.6,17.99,18.85,7259395,5.06252
600038,-0.369,62.07,61.0,64.86,59.03,62.3,21647813,5.51326
600239,-0.383,7.8,7.7,7.95,7.52,7.83,35956116,3.35895
300054,-0.407,24.46,24.19,25.0,23.49,24.56,9082832,3.1461
002067,-0.413,7.23,7.1,7.48,6.9,7.26,84875778,8.83639
002356,-0.419,26.14,25.75,27.0,24.76,26.25,9108913,3.79538
600240,-0.485,14.37,14.3,15.09,13.97,14.44,70176900,4.92728
600885,-0.506,35.37,34.9,36.23,34.21,35.55,2556876,0.87341
002135,-0.547,10.9,10.8,11.27,10.5,10.96,25547459,3.80627
002065,-0.575,27.69,27.6,28.28,26.8,27.85,38084034,2.84634
300259,-0.605,13.14,13.0,13.55,12.5,13.22,16819758,6.67087
000090,-0.632,20.44,20.18,20.97,19.64,20.57,17241505,3.12046
300386,-0.646,56.93,56.11,58.18,54.3,57.3,4303142,5.55577
000909,-0.699,14.2,14.17,14.66,13.55,14.3,17074084,5.80751
002573,-0.744,20.01,19.8,20.62,19.51,20.16,36076253,3.38773
000615,-0.786,16.4,16.54,16.87,16.0,16.53,21248673,10.03847
002204,-0.823,10.85,10.67,11.23,10.5,10.94,24261356,2.51235
000613,-0.835,10.69,10.47,11.2,10.29,10.78,15633549,5.99987
600815,-0.838,13.01,12.86,13.48,12.52,13.12,36159234,3.77063
002108,-0.85,12.83,12.7,13.16,12.5,12.94,18642987,3.22396
300240,-0.876,15.84,15.56,16.55,15.03,15.98,12292107,5.04444
601222,-0.888,36.85,36.5,38.2,35.86,37.18,4271457,1.21243
002725,-0.892,21.11,21.0,21.53,20.5,21.3,3061225,5.78026
300146,-0.917,35.67,36.2,37.48,35.1,36.0,19477912,5.77239
300009,-0.928,28.84,29.09,29.8,28.38,29.11,10359812,4.22678
600468,-0.943,18.91,18.79,19.79,18.31,19.09,13055677,2.86188
002311,-0.954,16.61,16.46,17.17,16.0,16.77,21443259,1.4148100000000001
600331,-0.956,8.29,8.2,8.61,8.0,8.37,49900526,4.83532
002084,-0.976,12.18,12.02,12.7,11.77,12.3,19412458,5.24582
600803,-0.985,16.09,16.19,16.35,15.6,16.25,6069950,1.12507
000811,-0.987,14.05,13.9,14.42,13.63,14.19,17882646,4.53197
601258,-0.988,5.01,4.96,5.1,4.87,5.06,198490820,3.78583
600896,-1.013,13.68,13.51,14.1,13.35,13.82,36842673,6.33781
000540,-1.018,11.67,11.6,12.04,11.36,11.79,95122407,2.9595000000000002
300456,-1.025,100.47,99.51,104.99,98.01,101.51,922800,4.39429
002588,-1.091,27.2,27.0,27.52,26.6,27.5,6320559,1.79458
600387,-1.102,16.16,16.17,16.67,15.82,16.34,18612238,4.82545
300116,-1.124,8.8,8.9,9.08,8.5,8.9,21896551,8.97048
600428,-1.179,11.73,11.58,12.2,11.35,11.87,66972955,3.96185
600662,-1.181,11.71,11.5,12.34,11.3,11.85,57953201,5.50174
600742,-1.22,27.54,27.41,28.0,27.0,27.88,9774649,4.62107
300180,-1.231,15.25,15.24,15.56,14.9,15.44,11213469,3.73897
601777,-1.251,14.21,14.0,14.61,13.58,14.39,33716750,3.46117
300067,-1.263,11.73,11.63,12.06,11.46,11.88,12365308,3.63
603001,-1.275,28.65,28.17,29.96,27.51,29.02,14688523,3.66316
600026,-1.312,9.78,9.68,10.06,9.52,9.91,71690580,2.62024
002364,-1.312,24.07,24.42,24.85,23.3,24.39,12855536,3.03191
002398,-1.326,18.6,18.4,19.1,18.08,18.85,13403260,5.29987
000032,-1.34,16.93,17.1,17.5,16.41,17.16,8929767,3.83513
300041,-1.359,31.94,31.9,32.69,30.8,32.38,6962097,5.418
002154,-1.382,8.56,8.5,8.86,8.25,8.68,102304016,9.56371
603019,-1.397,87.51,87.0,88.88,85.26,88.75,4922391,6.5631900000000005
600498,-1.402,27.42,27.24,28.3,26.96,27.81,30117224,3.11545
000938,-1.424,83.08,82.0,86.0,80.68,84.28,8994569,4.36472
000561,-1.443,11.61,11.5,11.94,11.2,11.78,22386174,3.7688
601233,-1.467,16.79,16.9,17.2,16.5,17.04,17716392,1.8385600000000002
002068,-1.467,8.06,8.08,8.23,7.85,8.18,34685143,5.71359
600536,-1.472,32.12,32.0,34.19,31.0,32.6,25360441,5.23206
600897,-1.487,25.18,24.88,25.98,24.42,25.56,6807835,2.28597
300177,-1.491,19.16,18.9,19.95,18.58,19.45,18361513,7.21041
601179,-1.514,9.11,9.08,9.33,8.9,9.25,121249650,2.78287
600028,-1.541,7.03,7.06,7.11,6.99,7.14,483908274,0.5064000000000001
002182,-1.541,13.42,13.2,13.9,13.0,13.63,26718913,12.10928
600173,-1.542,7.66,7.6,7.97,7.42,7.78,36078517,4.97595
600405,-1.567,12.56,12.4,13.15,12.21,12.76,64892448,15.30869
601117,-1.586,8.69,8.6,8.88,8.48,8.83,106709291,2.16317
300265,-1.595,14.19,14.0,14.79,13.68,14.42,11944700,3.53917
002663,-1.603,9.21,9.13,9.48,8.84,9.36,50785278,6.35693
600081,-1.624,16.96,16.95,17.32,16.5,17.24,8857957,2.82496
000927,-1.674,7.05,7.08,7.43,6.91,7.17,29792718,1.86768
600688,-1.686,7.58,7.54,7.9,7.45,7.71,188673378,7.91083
002261,-1.718,39.47,39.17,40.87,38.6,40.16,20074994,7.65881
000620,-1.73,10.79,10.65,11.22,10.5,10.98,40981064,2.56457
300272,-1.769,18.88,18.75,19.32,18.53,19.22,8524740,4.32261
300125,-1.777,31.51,31.5,33.15,30.0,32.08,3480531,4.47946
002249,-1.818,14.04,13.97,14.98,13.6,14.3,56948097,6.29006
601857,-1.821,13.48,13.47,13.86,13.21,13.73,377457584,0.23311
600834,-1.847,17.01,16.88,17.45,16.58,17.33,11902617,2.49331
600325,-1.888,15.59,15.66,15.99,15.2,15.89,22319899,2.73178
002517,-1.894,40.4,39.98,42.5,38.68,41.18,4170649,2.35896
