,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,000631,10.08,6.88,5.63,6.88,5.63,6.25,113923446,7.78318
1,300480,10.036,15.35,15.35,15.35,15.35,13.95,2286741,9.94235
2,300039,10.027,12.18,9.96,12.18,9.96,11.07,127007861,20.75738
3,002249,10.025,8.78,7.18,8.78,7.18,7.98,123041371,13.59022
4,603085,10.024,18.55,15.33,18.55,15.17,16.86,17726041,70.90416
5,300042,10.011,19.78,16.18,19.78,16.18,17.98,9099437,10.03024
6,002424,10.005,46.51,38.06,46.51,38.05,42.28,30082312,13.31974
7,300037,10.004,27.38,22.4,27.38,22.4,24.89,19634305,18.65016
8,002771,10.003,35.85,35.0,35.85,29.33,32.59,12416607,62.08304
9,002663,10.0,7.04,5.76,7.04,5.76,6.4,113937466,14.26187
10,300482,10.0,40.81,40.81,40.81,39.2,37.1,8859233,40.26924
11,300483,10.0,29.04,23.82,29.04,23.8,26.4,10223396,65.95739
12,300489,9.992,40.73,34.28,40.73,33.52,37.03,7245041,63.83296
13,300115,9.987,34.25,28.03,34.25,28.03,31.14,99428757,19.3751
14,300487,9.986,31.28,31.28,31.28,25.6,28.44,13142031,65.71016
15,300386,9.62,49.0,40.23,49.15,40.23,44.7,13685336,17.66907
16,300118,9.513,9.9,8.14,9.94,8.14,9.04,68322895,17.28996
17,002271,9.415,18.71,15.39,18.79,15.39,17.1,62457110,14.07472
18,002032,9.4,21.88,18.12,22.0,18.0,20.0,15471894,3.31691
19,002311,9.273,13.08,10.77,13.17,10.77,11.97,69743895,4.60164
20,002444,9.204,13.17,10.85,13.27,10.85,12.06,113000273,12.92018
21,002064,9.17,6.31,5.2,6.36,5.2,5.78,175008321,13.12502
22,002244,9.063,14.08,11.62,14.2,11.62,12.91,96739336,8.42875
23,002463,9.02,5.56,4.59,5.61,4.59,5.1,279260615,16.6924
24,300258,8.936,12.8,10.58,12.93,10.58,11.75,19319422,7.73489
25,300315,8.866,9.7,8.02,9.8,8.02,8.91,321900004,19.98866
