2015-08-19 21:42:15,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600022,10.092,4.8,4.15,4.8,4.06,4.36,272222127,4.22948
1,000629,10.084,5.24,4.57,5.24,4.57,4.76,431338010,9.04785
2,000898,10.078,7.1,6.3,7.1,6.21,6.45,165467478,2.69099
3,600103,10.07,7.87,6.78,7.87,6.73,7.15,127737513,12.02981
4,600716,10.059,9.3,8.02,9.3,7.7,8.45,37976983,5.12786
5,600108,10.054,10.18,8.97,10.18,8.9,9.25,243565729,12.51034
6,600354,10.048,11.39,9.93,11.39,9.93,10.35,56833428,12.69164
7,600183,10.047,9.42,8.36,9.42,8.3,8.56,57664903,4.0523
8,000009,10.043,12.93,12.93,12.93,12.93,11.75,2998366,0.20128000000000001
9,000715,10.043,12.93,11.6,12.93,11.3,11.75,12606352,4.52576
10,601118,10.042,10.52,9.35,10.52,9.33,9.56,191023610,4.8592
11,002177,10.042,13.04,11.35,13.04,11.05,11.85,93279370,15.70871
12,002088,10.036,15.13,13.55,15.13,13.18,13.75,10962353,8.21286
13,002516,10.036,15.35,13.65,15.35,13.45,13.95,23646001,8.68557
14,600477,10.035,12.61,10.69,12.61,10.68,11.46,62288060,10.33834
15,600814,10.035,12.61,10.98,12.61,10.82,11.46,26098530,8.40849
16,002307,10.035,15.9,13.96,15.9,13.95,14.45,81166126,14.56383
17,600868,10.034,9.76,7.98,9.76,7.98,8.87,986707259,51.98261
18,600326,10.033,16.89,14.7,16.89,14.5,15.35,71986386,13.15541
19,000678,10.032,10.2,9.1,10.2,8.63,9.27,37683324,12.5162
20,002031,10.031,14.26,12.38,14.26,12.25,12.96,29466784,5.15479
21,600231,10.03,7.35,6.78,7.35,6.68,6.68,96828697,12.04334
22,000584,10.03,18.43,16.05,18.43,16.05,16.75,58785357,9.62717
23,600701,10.028,19.97,17.15,19.97,17.02,18.15,40315187,8.08273
24,000752,10.027,20.41,17.9,20.41,17.88,18.55,48442514,18.36676
25,600740,10.026,8.56,7.31,8.56,7.0,7.78,65328535,9.94599
26,002135,10.026,12.73,10.86,12.73,10.86,11.57,48876413,7.282
27,300231,10.026,20.85,18.06,20.85,17.3,18.95,39686994,15.49927
28,600133,10.025,13.06,11.53,13.06,10.9,11.87,144484671,26.85844
29,600673,10.025,8.67,7.79,8.67,7.32,7.88,62451827,2.54257
30,600797,10.025,17.45,15.26,17.45,15.07,15.86,146349937,17.81037
31,002459,10.025,17.45,15.36,17.45,15.33,15.86,8554663,4.4595400000000005
32,000505,10.024,13.72,11.8,13.72,11.69,12.47,39755599,11.02958
33,002569,10.024,22.72,20.1,22.72,20.1,20.65,5250686,3.80642
34,600449,10.023,14.16,12.35,14.16,12.35,12.87,38989103,8.15363
35,000413,10.023,9.44,8.4,9.44,8.3,8.58,132826268,6.57977
36,600006,10.022,15.04,13.13,15.04,12.67,13.67,196325585,9.81628
37,000056,10.022,25.47,22.51,25.47,22.13,23.15,9827869,6.86997
38,000504,10.02,21.85,20.97,21.85,20.11,19.86,32739614,10.562100000000001
39,600158,10.019,29.54,25.5,29.54,25.45,26.85,108880887,16.55995
40,600724,10.019,11.64,10.0,11.64,9.61,10.58,53269728,3.68663
41,600165,10.018,31.19,27.51,31.19,27.51,28.35,9576048,4.93729
42,600509,10.018,12.52,11.18,12.52,10.98,11.38,41151760,4.90663
43,600880,10.017,13.29,11.7,13.29,11.01,12.08,90326254,12.33828
44,002346,10.017,19.22,17.0,19.22,16.78,17.47,18879894,26.97128
45,601666,10.016,6.92,6.1,6.92,6.08,6.29,88039752,3.72866
46,002402,10.016,21.09,18.62,21.09,17.6,19.17,9022142,3.72939
47,000667,10.015,7.47,6.47,7.47,6.41,6.79,452509428,17.67896
48,002067,10.015,7.36,6.41,7.36,6.41,6.69,189436660,19.72218
49,600425,10.014,7.91,6.75,7.91,6.75,7.19,95110346,6.8981
50,000585,10.014,7.8,6.6,7.8,6.46,7.09,125640126,20.61631
51,002443,10.014,15.93,13.8,15.93,13.8,14.48,57055832,11.64768
52,300088,10.014,24.17,20.8,24.17,19.85,21.97,47262675,9.92455
53,600621,10.013,17.03,15.49,17.03,14.4,15.48,113426551,21.64289
54,600661,10.013,34.5,29.7,34.5,29.11,31.36,10396255,5.98598
55,603166,10.013,42.63,37.23,42.63,37.23,38.75,12921593,29.70481
56,300302,10.013,43.62,38.0,43.62,36.0,39.65,17371159,16.20544
57,600435,10.011,49.56,44.2,49.56,43.2,45.05,21250367,2.8537
58,603306,10.011,39.23,35.59,39.23,34.0,35.66,2939871,8.39963
59,000419,10.011,10.44,9.0,10.44,8.88,9.49,51616827,9.50079
60,300230,10.01,21.43,18.68,21.43,18.57,19.48,8160896,7.72169
61,000526,10.009,47.81,47.81,47.81,47.81,43.46,99846,0.1038
62,002596,10.009,24.95,21.37,24.95,21.36,22.68,20500569,12.93472
63,300162,10.009,25.5,22.0,25.5,21.53,23.18,39042780,18.37093
64,600540,10.008,13.63,11.8,13.63,11.5,12.39,29819902,9.85103
65,600771,10.008,39.79,36.5,39.79,34.55,36.17,16352043,6.70692
66,600876,10.008,39.02,33.0,39.02,32.26,35.47,50418053,20.16575
67,600287,10.007,14.95,12.5,14.95,12.23,13.59,73437047,16.81266
