2015-08-25 22:04:10,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,000628,10.042,10.41,10.0,10.41,9.66,9.46,36204721,19.28325
1,603568,10.002,47.95,43.88,47.95,39.23,43.59,14519726,31.70246
2,300464,9.994,37.2,33.0,37.2,32.2,33.82,5731683,27.72948
3,603589,9.806,32.81,28.01,32.87,28.01,29.88,20303212,33.83869
4,300432,9.796,74.98,61.46,74.98,61.46,68.29,2356383,7.85461
5,002103,9.738,24.68,20.24,24.68,20.24,22.49,4655285,2.7053000000000003
6,002656,9.636,21.39,17.81,21.46,17.56,19.51,8253426,5.15638
7,300417,9.338,74.0,60.91,74.0,60.91,67.68,1164316,11.414860000000001
8,603268,9.273,33.82,29.0,33.89,28.1,30.95,3662156,16.646160000000002
9,600018,8.217,6.98,6.45,7.1,6.28,6.45,286077581,1.2572
10,000418,8.214,18.97,16.81,19.28,16.8,17.53,15697980,3.58609
11,300461,7.709,40.8,36.2,41.67,36.2,37.88,4118121,24.68897
12,600613,7.657,20.95,17.55,21.41,17.55,19.46,29783118,16.80477
13,300482,6.633,68.16,60.8,70.31,60.6,63.92,6589018,29.95008
14,000593,6.565,9.09,7.9,9.35,7.8,8.53,33543940,15.03034
15,002591,6.538,13.85,11.99,13.85,11.7,13.0,10703246,7.08961
16,600340,6.399,23.61,20.08,24.07,19.97,22.19,52204178,1.97313
17,002607,6.117,8.5,7.21,8.78,7.21,8.01,42593035,17.08502
18,000587,5.499,18.8,16.04,18.8,16.04,17.82,27060664,4.8571100000000005
19,000510,4.99,10.52,9.71,10.52,9.61,10.02,80966918,13.29237
20,600400,4.963,12.9,11.7,13.52,11.25,12.29,33560424,5.98866
21,002771,4.508,51.0,44.8,53.68,44.01,48.8,5851338,29.25669
22,600519,4.097,176.59,167.46,182.51,166.2,169.64,12308058,0.97979
23,600381,4.058,23.08,20.01,24.01,20.01,22.18,46308769,23.279420000000002
24,600006,3.863,11.56,10.99,12.13,10.76,11.13,178455561,8.92278
25,002020,2.579,22.67,21.5,24.0,21.02,22.1,13876182,5.99027
26,600671,2.087,24.46,21.72,25.34,21.6,23.96,10213820,8.391210000000001
27,600750,2.053,39.77,36.6,40.86,35.07,38.97,24388600,8.12953
28,600009,2.034,24.08,23.05,25.96,22.72,23.6,45248886,4.13808
29,000651,1.516,17.41,16.5,18.5,16.06,17.15,210182421,3.51877
30,600165,1.402,28.2,25.1,28.94,25.1,27.81,10980994,5.66166
31,600379,1.344,15.83,14.06,16.58,14.06,15.62,7812418,3.31234
32,300026,1.251,17.0,15.22,17.2,15.11,16.79,27340734,4.2738
33,600455,1.188,37.48,33.44,39.6,33.44,37.04,3012790,6.05979
34,600276,0.883,39.98,38.51,42.6,38.5,39.63,20749061,1.06453
35,300489,0.869,56.9,51.28,62.05,51.28,56.41,3935849,34.67708
36,000596,0.503,30.0,28.3,32.84,27.88,29.85,5863155,1.52846
37,002359,0.323,15.55,14.99,16.96,14.45,15.5,23178829,6.89971
38,300483,0.188,37.24,34.1,39.48,34.07,37.17,2904379,18.73793
39,002628,0.171,5.86,5.49,6.22,5.4,5.85,56841448,8.94309
40,000671,0.0,14.09,12.68,14.5,12.68,14.09,28730256,2.7473400000000003
41,000885,0.0,12.75,12.18,13.0,11.48,12.75,8271441,1.93802
42,002645,0.0,20.12,18.11,20.12,18.11,20.12,11758151,8.18113
43,603600,-0.179,128.26,124.0,129.97,120.95,128.49,5121891,20.48756
44,000963,-0.296,67.3,65.05,71.8,65.05,67.5,6856565,1.57964
