2015-09-18 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600219,0.0,6.93,6.96,7.0,6.68,6.93,1.01,-3.61,134134112.0,4.73105
002050,0.0,6.6,6.56,6.65,6.41,6.6,0.76,-2.88,15958492.0,1.05167
300333,-0.136,22.06,22.49,22.61,20.41,22.09,2.35,-7.61,19572528.0,5.91503
603718,-0.181,38.58,38.0,39.1,36.48,38.65,1.16,-5.61,4792221.0,6.84603
002051,-1.135,18.29,18.42,18.84,17.95,18.5,1.84,-2.97,6173706.0,0.8075100000000001
002690,-1.47,22.12,22.48,22.69,21.15,22.45,1.07,-5.79,3723117.0,1.13943
300141,-1.984,13.34,13.23,13.6,12.88,13.61,-0.07,-5.36,5932312.0,5.58534
300349,-2.579,34.0,34.0,34.8,33.25,34.9,-0.29,-4.73,2974983.0,6.61107
000820,-3.432,10.13,10.19,10.56,10.02,10.49,0.67,-4.48,26387386.0,11.94663
600291,-3.81,22.22,22.1,23.5,21.75,23.1,1.73,-5.84,23876919.0,6.21795
