2015-09-01 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600717,-1.855,10.05,9.96,10.14,9.3,10.24,-0.98,-9.18,42336794.0,2.52792
600297,-1.924,18.86,19.0,19.0,17.8,19.23,-1.2,-7.44,4036670.0,1.21958
600796,-2.113,8.8,8.77,9.19,8.54,8.99,2.22,-5.01,18868113.0,6.26011
000710,-2.242,21.37,21.0,21.5,19.67,21.86,-1.65,-10.02,5557278.0,3.67545
002113,-2.304,22.9,22.68,23.44,21.2,23.44,0.0,-9.56,5629761.0,4.75498
002512,-2.898,31.16,31.2,32.05,29.21,32.09,-0.12,-8.97,8546371.0,5.0167
603088,-3.008,37.4,37.53,39.73,35.87,38.56,3.03,-6.98,2625007.0,13.12504
600750,-3.307,48.53,49.51,49.9,45.17,50.19,-0.58,-10.0,17905250.0,5.96842
600306,-3.727,12.4,12.63,12.76,11.59,12.88,-0.93,-10.02,8552611.0,4.82093
002723,-4.0,16.8,17.0,17.9,16.08,17.5,2.29,-8.11,3783481.0,6.17207
000721,-5.977,8.18,8.3,8.5,7.83,8.7,-2.3,-10.0,45087368.0,10.35006
