,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,601968,10.07,7.87,7.87,7.87,7.87,7.15,295940,0.14205
1,601985,10.046,9.53,9.53,9.53,9.53,8.66,7689915,0.19763000000000003
2,600963,10.043,10.3,10.3,10.3,9.36,9.36,45653348,5.41456
3,002249,10.039,14.03,14.03,14.03,14.03,12.75,1712212,0.18912
4,600232,10.032,10.2,10.2,10.2,10.2,9.27,1788891,0.49049000000000004
5,601368,10.029,14.92,14.92,14.92,14.92,13.56,121648,0.08275
6,002766,10.029,19.2,19.2,19.2,19.2,17.45,60750,0.13264
7,002765,10.025,17.78,17.78,17.78,17.78,16.16,113754,0.21876
8,300475,10.022,24.7,24.7,24.7,24.7,22.45,94019,0.18804
9,002114,10.019,22.62,22.62,22.62,21.8,20.56,6055619,7.02073
10,002165,10.018,12.08,12.08,12.08,10.99,10.98,86437601,16.38694
11,002767,10.016,34.49,34.49,34.49,34.49,31.35,59825,0.2393
12,002761,10.011,20.44,20.44,20.44,20.44,18.58,104808,0.34936
13,300119,10.011,19.67,19.67,19.67,19.67,17.88,1002746,0.49252
14,300477,10.011,29.78,29.78,29.78,29.78,27.07,74825,0.28779000000000005
15,002760,10.01,21.21,21.21,21.21,21.21,19.28,46788,0.21267000000000003
16,603918,10.009,62.87,62.87,62.87,62.87,57.15,1713430,7.78832
17,000411,10.008,41.66,37.0,41.66,36.0,37.87,17691975,8.68793
18,300478,10.008,41.66,41.66,41.66,41.66,37.87,54922,0.32947000000000004
19,603519,10.007,61.67,55.7,61.67,51.8,56.06,4240921,21.20461
20,603598,10.006,52.44,50.0,52.44,46.08,47.67,14937800,44.80444
21,300065,10.003,37.94,37.94,37.94,37.94,34.49,580686,0.32018
22,300465,10.003,74.45,74.45,74.45,74.45,67.68,1564485,4.69252
23,300471,10.003,137.79,137.79,137.79,137.79,125.26,54126,0.36572000000000005
24,300476,10.003,40.14,40.14,40.14,40.14,36.49,101425,0.27659
25,600599,10.002,44.32,44.32,44.32,44.32,40.29,58063,0.04608
26,300467,10.002,245.7,245.7,245.7,245.7,223.36,545058,5.45058
27,300456,10.001,109.99,97.0,109.99,95.8,99.99,4564809,21.73719
28,000687,10.0,16.94,16.94,16.94,16.94,15.4,947539,0.17822000000000002
29,300219,10.0,43.12,43.12,43.12,43.12,39.2,6030822,4.33645
30,300242,10.0,68.75,68.75,68.75,68.75,62.5,46032,0.1102
31,300472,10.0,29.04,29.04,29.04,29.04,26.4,31923,0.1915
32,300443,9.999,170.51,148.5,170.51,148.5,155.01,2487319,22.08987
33,300451,9.999,240.71,196.95,240.71,196.95,218.83,12724962,74.85272
34,002762,9.997,72.95,72.95,72.95,72.95,66.32,125251,0.73677
35,300078,9.995,73.18,73.18,73.18,71.76,66.53,13951163,11.94069
36,300470,9.995,80.23,80.23,80.23,80.23,72.94,48780,0.36567000000000005
37,300473,9.995,66.69,66.69,66.69,66.69,60.63,67300,0.2692
38,002763,9.994,36.76,36.76,36.76,36.76,33.42,279068,0.5167900000000001
39,603616,9.992,28.95,28.95,28.95,28.95,26.32,160733,0.43820000000000003
40,300282,9.991,49.1,49.1,49.1,49.1,44.64,1250369,1.7413
41,300469,9.991,25.87,25.87,25.87,25.87,23.52,12596,0.07543000000000001
42,603066,9.99,31.71,31.71,31.71,31.71,28.83,71400,0.2856
43,002196,9.988,28.3,28.3,28.3,27.0,25.73,5080655,5.64655
44,002429,9.986,15.53,15.53,15.53,15.53,14.12,7537974,0.47528000000000004
45,300464,9.985,28.64,28.64,28.64,28.64,26.04,43938,0.21257
46,300479,9.983,25.56,25.56,25.56,25.56,23.24,17300,0.08650000000000001
47,002552,9.973,16.1,16.1,16.1,16.1,14.64,244787,0.14538
48,600628,9.959,18.99,17.27,19.0,16.44,17.27,81940087,15.40809
49,000048,7.908,26.2,24.8,26.7,24.15,24.28,27186745,7.01851
50,002066,6.835,29.7,26.02,30.58,26.02,27.8,43200948,18.70171
51,300366,6.478,60.98,59.0,63.0,52.45,57.27,7270244,20.75179
52,000885,6.431,18.7,17.7,18.9,17.01,17.57,14693898,3.44281
53,300194,6.141,38.2,34.52,38.75,34.2,35.99,9188575,6.13378
54,600896,5.676,15.64,14.5,16.28,13.5,14.8,124284598,21.37988
55,002426,5.392,21.5,19.54,22.2,19.3,20.4,24918762,6.62816
56,300097,5.202,45.1,45.0,47.16,42.87,42.87,19356545,24.20021
57,600726,4.943,11.04,10.3,11.48,10.1,10.52,173296305,11.29205
58,002380,4.738,68.08,64.0,71.5,62.02,65.0,2990612,5.87394
59,300274,4.587,36.48,33.0,37.11,32.96,34.88,28165837,6.21126
60,002049,3.92,50.9,48.9,52.88,46.73,48.98,17514437,3.64114
61,300147,3.896,32.0,29.6,32.99,29.3,30.8,16017594,2.4279
62,002615,3.771,24.49,23.6,25.8,23.1,23.6,7805591,7.59601
63,300318,3.382,68.77,65.9,69.02,60.0,66.52,1738509,1.64451
64,600086,3.229,49.87,49.0,53.0,45.02,48.31,25396241,7.20907
65,002751,3.218,161.0,150.0,171.58,147.98,155.98,3569595,20.32799
66,300053,3.124,56.12,53.32,56.8,50.8,54.42,6613835,3.99423
67,600893,2.961,60.16,58.8,63.0,58.43,58.43,36605998,3.3700200000000002
68,300016,2.706,46.68,43.6,49.61,42.31,45.45,6848207,2.75511
69,300241,2.654,20.5,20.0,21.89,18.61,19.97,43381184,27.15728
70,600570,2.625,148.98,145.17,157.77,142.03,145.17,27189247,4.40094
71,603368,2.551,94.87,89.21,95.91,89.21,92.51,1262937,5.61305
72,300208,2.446,67.0,63.0,69.2,62.17,65.4,11662079,4.97843
73,300079,2.225,32.16,31.39,34.6,30.2,31.46,90735370,15.04341
74,300291,2.203,52.88,50.0,53.19,49.01,51.74,12277214,2.91109
75,300426,2.18,150.0,140.0,156.98,138.05,146.8,2003401,10.01701
76,600687,2.118,45.8,44.6,47.15,42.7,44.85,21244233,8.62701
77,000040,1.99,16.4,16.0,16.89,14.8,16.08,39711251,8.55038
78,600703,1.955,30.24,28.79,32.33,28.18,29.66,97423378,4.11003
79,600503,1.953,22.97,22.55,23.78,21.6,22.53,123776241,11.25774
80,600679,1.807,24.23,23.11,25.67,22.61,23.8,13595356,7.46917
81,600329,1.779,29.18,28.46,30.23,27.1,28.67,19532884,3.64281
82,600886,1.773,13.78,13.01,14.28,12.77,13.54,497110165,7.3255
83,002596,1.62,20.7,19.15,20.99,19.0,20.37,14963833,9.44135
84,002690,1.611,44.77,43.0,46.18,42.02,44.06,4413371,1.9795800000000001
85,300026,1.603,27.89,27.35,28.92,26.37,27.45,27953069,4.38586
86,300364,1.562,148.28,146.0,156.99,141.2,146.0,4147569,13.82523
87,300085,1.546,98.5,94.9,103.0,92.77,97.0,5704474,2.28785
88,300011,1.531,39.8,38.9,42.59,38.09,39.2,11886636,3.45978
89,300397,1.419,218.01,209.28,228.27,207.0,214.96,2865563,9.55188
90,300059,1.351,75.0,71.11,78.99,70.33,74.0,72503864,5.63682
91,002260,1.322,46.0,45.4,47.1,40.86,45.4,9071212,3.4205200000000002
92,002103,1.256,38.7,37.68,38.87,34.8,38.22,5230242,3.03942
93,000728,1.25,35.64,34.4,36.96,34.02,35.2,87954122,4.47809
94,300369,1.161,61.88,58.0,63.58,56.8,61.17,6456561,6.29681
95,300006,1.082,57.0,56.35,59.14,53.01,56.39,4794720,3.54481
96,002374,1.081,29.0,27.45,29.35,26.29,28.69,3842113,2.48335
97,300124,1.014,54.81,53.5,57.82,53.01,54.26,16804948,2.73888
98,002750,1.001,112.98,109.49,119.9,102.8,111.86,3146530,18.78525
99,002153,0.995,163.5,161.0,165.0,156.0,161.89,2588918,1.58777
100,600193,0.943,21.41,22.0,22.8,21.37,21.21,31535046,7.4135
101,300379,0.853,97.0,93.1,101.32,91.03,96.18,1921100,3.2733
102,300304,0.84,34.8,33.53,36.76,32.6,34.51,6741503,3.37075
103,300384,0.739,119.88,115.0,124.87,111.0,119.0,2204569,5.90214
104,002252,0.668,60.31,59.35,61.87,57.66,59.91,4523117,0.45754000000000006
105,002481,0.618,45.58,44.0,46.2,41.9,45.3,5973280,1.66131
106,002427,0.603,31.7,31.32,32.98,29.51,31.51,13399748,4.01842
107,603338,0.589,141.83,138.88,150.0,129.0,141.0,1167966,7.18748
108,000948,0.569,53.0,51.58,57.97,49.5,52.7,26814994,11.59976
109,000915,0.514,68.39,66.0,69.6,62.0,68.04,11025494,6.14913
110,600552,0.478,33.61,32.51,34.0,30.11,33.45,7914668,2.31261
111,300049,0.477,115.84,108.51,119.03,103.76,115.29,2467336,2.21903
112,300166,0.437,50.6,48.0,53.18,46.6,50.38,14646485,4.29743
113,000725,0.389,5.16,5.1,5.64,4.9,5.14,2800968001,11.99388
114,002428,0.377,26.61,26.3,28.59,25.71,26.51,42791268,6.79457
115,002439,0.354,42.58,41.0,44.88,38.5,42.43,26236823,4.8423300000000005
116,300439,0.342,134.9,129.0,147.0,129.0,134.44,2996889,10.574770000000001
117,300363,0.296,54.19,52.94,56.55,51.1,54.03,7246959,7.57853
118,300341,0.264,38.01,36.92,39.4,35.3,37.91,4733581,6.49623
119,600777,0.26,19.25,21.12,21.12,17.52,19.2,123580708,19.76319
120,000503,0.219,63.99,64.45,65.77,62.0,63.85,17521998,1.95139
121,601016,0.198,30.37,30.17,30.5,28.5,30.31,10025585,5.63932
122,600626,0.124,24.32,24.17,25.64,23.0,24.29,36104276,5.08337
123,002639,0.117,42.7,42.65,43.05,41.5,42.65,3180375,2.6415100000000002
124,002702,0.06,33.3,30.94,33.3,30.5,33.28,2527517,2.05824
125,002075,0.029,33.91,33.5,34.33,31.93,33.9,31413006,1.99288
126,002638,0.0,23.9,23.4,24.45,22.7,23.9,15239581,4.17079
127,300302,0.0,40.81,39.51,42.5,38.91,40.81,3818420,3.56218
