code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
300267,0.694,29.0,29.0,31.38,25.92,28.8,14814523,2.62357
002153,-0.285,105.0,103.22,115.5,97.0,105.3,4746788,2.91118
002699,-1.686,34.41,33.16,37.6,31.5,35.0,12755646,9.18862
002236,-2.059,33.3,33.95,36.7,30.62,34.0,43377331,6.71288
600837,-2.137,20.61,21.09,21.98,19.5,21.06,301184984,3.72195
601766,-2.282,17.13,16.99,18.38,16.4,17.53,900365597,3.92869
000671,-4.255,16.2,15.88,16.82,15.23,16.92,26171573,2.50267
603718,-9.777,28.33,29.2,32.24,28.26,31.4,8133772,11.61967
300380,-9.894,79.6,83.0,95.2,79.51,88.34,5978530,12.37215
600076,-9.99,9.19,9.32,10.17,9.19,10.21,13511351,3.69631
300170,-9.995,18.55,18.79,21.5,18.55,20.61,32768761,5.32179
002618,-10.009,30.93,31.65,34.05,30.93,34.37,5585139,3.058
002274,-10.019,9.34,9.53,10.1,9.34,10.38,20247579,4.12683
