code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002236,3.07,32.9,33.0,35.11,32.26,31.92,49055533,7.59161
002252,1.467,66.4,65.56,68.6,64.46,65.44,9296587,0.9404100000000001
300430,0.877,84.0,83.5,91.6,81.7,83.27,2914121,19.17185
002230,0.258,35.03,34.6,37.9,33.7,34.94,88698323,9.95576
000584,-4.431,17.9,18.11,19.48,17.82,18.73,28526164,4.67168
600076,-4.545,11.34,11.45,12.29,11.3,11.88,23306335,6.37593
300170,-5.723,22.9,23.72,25.69,21.98,24.29,43118123,7.00258
002153,-9.993,117.0,121.52,136.0,116.99,129.99,4249736,2.6063400000000003
