2015-08-24 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
601008,-9.946,8.33,8.33,8.65,8.33,9.25,-6.49,-9.95,41131267.0,5.0677
600433,-9.961,11.57,11.58,12.15,11.57,12.85,-5.45,-9.96,27498747.0,2.31028
601231,-9.966,13.1,13.1,13.28,13.1,14.55,-8.73,-9.97,11565630.0,0.5715800000000001
000779,-9.988,14.69,14.69,15.6,14.69,16.32,-4.41,-9.99,8342935.0,4.47484
300480,-9.99,44.24,44.5,46.0,44.24,49.15,-6.41,-9.99,1585400.0,6.89304
600624,-9.993,13.42,13.42,13.7,13.42,14.91,-8.12,-9.99,28899900.0,6.44078
002034,-10.0,30.96,31.21,32.87,30.96,34.4,-4.45,-10.0,1121611.0,1.8441900000000002
002366,-10.0,61.65,62.5,67.9,61.65,68.5,-0.88,-10.0,2085000.0,1.90876
002617,-10.0,33.39,33.39,35.1,33.39,37.1,-5.39,-10.0,1769410.0,2.40295
600876,-10.003,31.4,31.5,33.85,31.4,34.89,-2.98,-10.0,10995744.0,4.3979800000000004
603818,-10.012,29.48,29.48,30.8,29.48,32.76,-5.98,-10.01,2848100.0,4.70605
000702,-10.026,10.5,10.5,11.1,10.5,11.67,-4.88,-10.03,12363424.0,4.63687
