2015-09-02 21:59:19,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,000539,10.068,8.09,6.91,8.09,6.85,7.35,100996413,3.95458
1,000950,10.055,6.02,5.48,6.02,5.01,5.47,15162406,2.53214
2,002663,10.031,7.02,6.15,7.02,5.95,6.38,26267316,3.5539300000000003
3,300274,10.028,19.75,17.69,19.75,17.18,17.95,30325831,6.68074
4,002455,10.026,8.34,8.34,8.34,8.34,7.58,18908306,6.49818
5,000719,10.023,18.77,16.22,18.77,16.05,17.06,5045379,4.73718
6,603001,10.02,22.07,19.2,22.07,18.4,20.06,13069438,3.25937
7,002027,10.015,15.05,15.05,15.05,15.05,13.68,5542253,2.70494
8,600757,10.013,8.24,7.1,8.24,7.02,7.49,40659468,3.35279
9,600664,10.01,10.88,9.41,10.88,9.09,9.89,32202959,1.67944
10,000550,10.009,25.17,22.6,25.17,21.49,22.88,8016455,1.54929
11,300180,10.009,11.76,10.5,11.76,10.22,10.69,14320723,4.77504
12,300144,10.006,17.37,15.0,17.37,14.61,15.79,29498758,2.41979
13,000156,10.004,30.57,25.95,30.57,25.5,27.79,6999884,5.91568
14,601398,10.0,4.95,4.37,4.95,4.34,4.5,1394605700,0.51726
15,603288,10.0,31.9,29.0,31.9,28.53,29.0,13262072,4.9217200000000005
16,000502,10.0,14.41,14.41,14.41,14.41,13.1,3636752,1.98373
17,000880,10.0,10.78,9.39,10.78,9.11,9.8,9242458,6.83943
18,000921,10.0,8.58,7.65,8.58,7.38,7.8,10280743,1.14013
19,002136,10.0,11.88,11.0,11.88,10.91,10.8,16590398,7.77806
20,002355,10.0,7.26,6.08,7.26,6.08,6.6,12419805,3.62508
21,300125,10.0,20.79,19.21,20.79,18.0,18.9,10862086,14.01985
22,300226,10.0,38.61,32.1,38.61,32.04,35.1,20342339,14.37947
23,300350,9.995,41.93,35.98,41.93,35.3,38.12,2748422,6.83553
24,002740,9.994,35.77,32.5,35.77,31.5,32.52,2614071,10.45628
25,300336,9.994,19.81,17.15,19.81,16.81,18.01,14706191,3.53853
26,601231,9.992,14.53,12.55,14.53,12.48,13.21,21894313,1.08203
27,603338,9.99,34.02,29.02,34.02,29.02,30.93,3890174,23.93953
28,600188,9.978,10.03,8.57,10.03,8.46,9.12,35006790,1.18267
29,002346,9.976,13.67,12.0,13.67,11.43,12.43,23423701,33.46243
30,002387,9.967,9.93,8.5,9.93,8.32,9.03,38461545,13.32623
31,300196,9.892,22.33,19.6,22.35,19.0,20.32,7768727,7.06532
32,600650,9.772,21.23,17.81,21.27,17.81,19.34,45499468,11.6498
33,000898,9.316,5.75,4.9,5.79,4.81,5.26,126779456,2.06181
34,002315,9.189,57.87,50.02,58.3,49.8,53.0,5617379,9.31149
35,002113,9.17,25.0,21.68,25.18,21.37,22.9,10222403,8.63399
36,601800,9.048,13.86,12.15,13.88,12.05,12.71,118979551,1.01283
37,603369,9.046,26.76,24.28,26.8,23.8,24.54,5229526,1.9205
38,000088,8.923,7.08,6.42,7.09,6.2,6.5,28857917,1.48588
39,600011,8.87,10.31,9.08,10.38,9.01,9.47,121298978,1.15523
40,000046,8.861,12.04,10.22,12.05,10.19,11.06,52796807,1.1605400000000001
41,600018,8.64,7.67,6.6,7.69,6.47,7.06,260899783,1.14655
42,002034,8.538,25.68,21.66,25.68,21.29,23.66,7159208,11.77139
43,601991,8.503,6.38,5.56,6.47,5.56,5.88,165840416,1.65934
44,002143,7.797,25.44,22.77,25.44,21.77,23.6,5162667,4.4696
45,002751,7.699,63.09,53.01,64.44,53.01,58.58,3805229,21.66987
