,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,601005,10.071,6.23,5.66,6.23,5.55,5.66,301177774,15.83718
1,600533,10.056,9.74,8.85,9.74,8.59,8.85,75220407,7.16385
2,000420,10.055,10.07,10.07,10.07,9.45,9.15,26914086,8.45539
3,000573,10.055,10.07,9.15,10.07,8.94,9.15,110560292,17.7668
4,600527,10.044,12.38,11.26,12.38,11.26,11.25,42439281,5.29109
5,600225,10.043,12.82,11.51,12.82,11.47,11.65,53948795,8.71029
6,300110,10.035,9.32,9.32,9.32,9.32,8.47,44590,0.006810000000000001
7,601158,10.032,13.93,13.93,13.93,12.66,12.66,59633020,1.24235
8,600325,10.03,18.1,18.1,18.1,17.68,16.45,49798855,6.09499
9,000828,10.03,18.32,16.65,18.32,16.5,16.65,41653936,4.00705
10,600376,10.029,15.14,15.14,15.14,15.14,13.76,2982674,0.13304000000000002
11,600477,10.029,18.76,17.7,18.76,17.1,17.05,43275959,9.33762
12,600880,10.028,19.42,17.96,19.42,17.8,17.65,101192654,13.7984
13,000428,10.028,15.91,14.47,15.91,14.47,14.46,49517750,6.88931
14,600257,10.026,16.9,16.9,16.9,16.9,15.36,1033421,0.24199
15,002136,10.025,22.28,21.07,22.28,21.0,20.25,19726723,9.2528
16,300466,10.025,21.62,21.62,21.62,21.62,19.65,1500,0.007500000000000001
17,002198,10.024,18.55,17.1,18.55,16.76,16.86,54473412,14.55397
18,300192,10.024,18.0,18.0,18.0,18.0,16.36,218919,0.1462
19,600517,10.023,18.77,17.4,18.77,16.99,17.06,66182351,5.94273
20,600651,10.023,23.93,22.12,23.93,21.8,21.75,42822790,5.79418
21,000540,10.023,14.49,13.17,14.49,13.01,13.17,268506587,8.35573
22,601717,10.021,15.92,14.49,15.92,13.9,14.47,91941736,6.6726600000000005
23,002509,10.021,25.69,23.36,25.69,23.22,23.35,35342307,15.29828
24,000632,10.02,16.58,15.6,16.58,15.17,15.07,32483934,6.9849
25,601918,10.019,11.75,10.61,11.75,10.41,10.68,174229239,6.72559
26,002115,10.019,22.62,22.62,22.62,22.62,20.56,11639511,3.43474
27,002194,10.019,23.39,22.48,23.39,21.9,21.26,34375199,8.75465
28,300184,10.019,28.44,25.57,28.44,24.81,25.85,25750062,11.04679
29,600058,10.017,33.06,30.35,33.06,29.06,30.05,60107616,5.60752
30,600105,10.016,34.16,30.88,34.16,30.3,31.05,27423588,7.19865
31,300149,10.016,27.46,27.45,27.46,26.96,24.96,30576907,10.94585
32,600458,10.015,36.69,33.75,36.69,33.73,33.35,49900466,7.54442
33,600973,10.015,21.31,20.4,21.31,20.39,19.37,25816125,6.27538
34,601216,10.015,35.7,33.36,35.7,32.8,32.45,73748568,3.601
35,603901,10.015,30.32,30.32,30.32,30.32,27.56,1700,0.0068000000000000005
36,000721,10.015,14.83,13.45,14.83,13.2,13.48,50161003,11.51475
37,002076,10.015,22.63,20.95,22.63,20.33,20.57,19848476,11.04379
38,300108,10.015,21.53,20.08,21.53,20.08,19.57,17464981,14.30255
39,000592,10.014,39.88,36.8,39.88,36.28,36.25,52263893,6.24455
40,002138,10.014,23.07,21.26,23.07,21.26,20.97,66717736,10.49745
41,002251,10.014,38.45,38.45,38.45,38.45,34.95,850084,0.15626
42,300465,10.014,23.73,23.73,23.73,23.73,21.57,2000,0.006
43,600083,10.013,17.14,17.14,17.14,17.14,15.58,1013346,0.44656
44,600865,10.013,25.6,23.3,25.6,23.01,23.27,19664404,5.22655
45,603885,10.013,25.93,25.93,25.93,25.93,23.57,8252,0.012140000000000001
46,603969,10.013,34.94,31.78,34.94,31.78,31.76,13008515,13.00852
47,000559,10.013,24.72,22.57,24.72,21.5,22.47,94575877,4.13013
48,002276,10.013,41.42,38.6,41.42,38.5,37.65,49495840,5.89664
49,002476,10.013,8.79,8.79,8.79,8.79,7.99,194025,0.03211
50,300240,10.013,33.51,33.51,33.51,33.51,30.46,1276123,0.7855500000000001
51,300468,10.013,43.51,43.51,43.51,43.51,39.55,4800,0.019200000000000002
52,000948,10.011,50.77,46.85,50.77,45.58,46.15,21490736,9.29657
53,002262,10.011,39.56,35.94,39.56,35.5,35.96,13812604,3.48926
54,002757,10.011,30.0,30.0,30.0,30.0,27.27,5900,0.021580000000000002
55,000989,10.01,43.3,43.3,43.3,43.3,39.36,219047,0.0736
56,002120,10.01,31.98,29.11,31.98,28.41,29.07,6866580,7.02778
57,002169,10.01,33.85,30.4,33.85,29.44,30.77,16025250,6.52938
58,002347,10.01,31.87,31.5,31.87,30.62,28.97,11802105,8.47232
59,300229,10.01,45.83,41.5,45.83,40.0,41.66,27574090,6.72853
60,300461,10.01,32.53,32.53,32.53,32.53,29.57,6500,0.038970000000000005
61,600077,10.009,12.53,11.39,12.53,11.35,11.39,46459895,4.25861
62,600094,10.009,25.83,23.77,25.83,22.88,23.48,57509532,4.38055
63,600623,10.009,35.61,34.2,35.61,33.1,32.37,13288236,2.05583
64,600707,10.009,23.19,21.68,23.19,21.57,21.08,52666868,7.16831
65,000558,10.009,35.94,35.94,35.94,34.0,32.67,11218089,1.7813500000000002
66,002193,10.009,25.61,25.27,25.61,23.6,23.28,11438142,7.15243
67,002290,10.009,47.59,42.52,47.59,42.5,43.26,23899476,17.8229
68,002383,10.009,50.23,50.23,50.23,50.23,45.66,55003,0.03959
69,300018,10.009,58.91,55.62,58.91,55.55,53.55,16603587,10.84431
70,300453,10.009,63.97,63.97,63.97,63.97,58.15,31700,0.15962
71,600161,10.008,53.31,48.79,53.31,47.93,48.46,22179582,4.30281
72,600590,10.008,26.82,24.0,26.82,23.5,24.38,30505646,6.09716
73,603010,10.008,29.13,29.13,29.13,29.13,26.48,20450,0.0818
74,000536,10.008,25.94,25.94,25.94,25.94,23.58,576305,0.23004000000000002
75,300264,10.008,28.91,26.28,28.91,25.4,26.28,30825703,18.98508
76,603598,10.007,16.71,16.71,16.71,16.71,15.19,5700,0.0171
77,000090,10.007,32.98,30.02,32.98,30.02,29.98,32245733,5.83601
78,002319,10.007,15.17,15.17,15.17,15.17,13.79,134769,0.06745000000000001
79,002620,10.007,64.42,60.48,64.42,56.0,58.56,3456659,3.79695
80,300460,10.007,31.99,31.99,31.99,31.99,29.08,47800,0.11359000000000001
81,600078,10.006,17.26,15.78,17.26,15.31,15.69,59987721,9.05375
82,600634,10.006,33.86,31.18,33.86,30.0,30.78,31888523,8.01262
83,600800,10.006,19.35,19.35,19.35,18.2,17.59,64764441,10.61171
84,002462,10.006,79.6,72.66,79.6,72.66,72.36,4188425,2.14189
85,002689,10.006,19.57,19.57,19.57,17.79,17.79,40698039,13.22595
86,002753,10.006,55.74,55.74,55.74,55.74,50.67,77548,0.31396
87,002755,10.006,37.27,37.27,37.27,37.27,33.88,34100,0.13457000000000002
88,300414,10.006,88.72,88.72,88.72,88.72,80.65,46583,0.22109
89,300467,10.006,78.28,78.28,78.28,78.28,71.16,300,0.003
90,600814,10.005,20.56,18.69,20.56,17.9,18.69,27936340,9.0006
91,603366,10.005,20.34,18.72,20.34,18.5,18.49,43881234,5.48515
92,000929,10.005,23.97,21.85,23.97,21.38,21.79,18108432,9.75733
93,002515,10.005,41.78,37.99,41.78,36.9,37.98,19598063,9.99025
94,002756,10.005,108.08,108.08,108.08,103.87,98.25,9712872,19.42574
95,300020,10.005,47.39,43.96,47.39,43.0,43.08,39478684,6.91482
