code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002274,0.0,15.9,15.98,16.26,15.28,15.9,16662113,3.39605
600837,-0.083,24.02,24.05,24.15,23.43,24.04,189715048,2.34444
002230,-0.095,41.85,41.99,42.7,40.7,41.89,34541520,3.87704
300289,-0.13,61.23,61.45,62.6,60.0,61.31,1390039,1.1439300000000001
002713,-0.167,41.93,41.5,42.8,41.0,42.0,1703385,2.7289
000671,-0.221,22.6,22.65,23.0,21.7,22.65,12479899,1.19339
600999,-0.241,28.98,29.18,29.18,28.34,29.05,74537154,1.55186
002236,-0.241,37.3,37.39,38.1,36.38,37.39,19625405,3.03714
002618,-0.278,53.83,54.45,54.74,51.83,53.98,3549434,1.9434
002252,-0.371,61.8,62.03,62.49,60.61,62.03,3675701,0.37182000000000004
300362,-0.407,49.0,49.21,50.11,47.51,49.2,1596977,3.49377
600076,-0.47,14.83,15.0,15.2,14.36,14.9,17671784,4.83449
002699,-0.548,48.96,49.98,51.0,46.86,49.23,4760165,3.42902
300154,-0.585,32.28,32.52,33.58,31.21,32.47,5700946,3.65729
300267,-0.696,39.95,40.38,41.71,39.56,40.23,6640178,1.17594
000584,-0.813,23.18,23.55,23.81,22.32,23.37,16051953,2.6288
002476,-0.856,16.22,16.27,16.45,15.82,16.36,36207856,5.99155
603718,-1.016,49.71,50.0,53.0,48.0,50.22,10063251,14.37607
601766,-1.027,21.21,21.39,21.39,20.61,21.43,882585757,3.8511100000000003
300170,-1.224,29.06,29.01,30.5,28.45,29.42,22429800,3.6427
000673,-1.487,41.08,41.0,41.9,40.15,41.7,3880017,1.8646800000000001
300430,-1.661,103.6,106.18,109.99,99.0,105.35,1719016,11.30932
300328,-1.765,38.96,39.64,40.79,37.53,39.66,3958340,1.76712
300380,-2.024,136.0,137.0,142.01,131.1,138.81,3499842,7.24268
300452,-2.106,110.65,113.3,115.0,102.2,113.03,2495512,21.51303
002153,-2.923,164.06,165.0,170.0,158.6,169.0,2050229,1.2574
002582,-10.007,38.67,38.67,39.97,38.67,42.97,3454300,3.73483
