code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
300137,2.877,26.82,26.21,27.4,23.98,26.07,22323138,7.93239
002440,2.872,28.3,27.53,28.42,25.06,27.51,23282871,5.53037
000069,2.722,12.83,12.63,13.0,11.61,12.49,218260918,7.01248
600802,2.466,13.71,13.4,13.73,12.45,13.38,13217697,3.46127
600165,2.447,26.79,26.62,27.0,23.7,26.15,11201133,5.77516
600248,2.212,15.71,15.41,16.13,13.9,15.37,12179602,2.60588
002071,2.067,26.66,26.41,26.98,24.1,26.12,14821214,4.72109
002618,1.657,53.98,53.1,54.65,48.11,53.1,4073999,2.23062
002708,1.013,39.9,39.4,40.0,37.01,39.5,5420390,9.70269
000726,0.891,15.85,15.71,15.97,14.31,15.71,27294586,4.86844
600639,0.772,28.72,27.99,29.15,26.02,28.5,12992307,1.97858
600865,0.738,24.56,24.38,24.92,21.94,24.38,16851618,4.47895
002745,0.572,52.75,52.5,53.45,49.48,52.45,3353490,7.5359300000000005
002699,0.449,49.23,47.5,51.46,44.13,49.01,7133019,5.13832
600836,0.356,28.18,28.4,28.81,25.91,28.08,15702543,5.00777
300257,0.134,30.0,29.8,30.49,27.1,29.96,13768675,1.69073
600081,0.0,26.0,26.19,26.19,23.41,26.0,7840898,2.50061
002075,-0.029,33.9,33.99,34.13,30.52,33.91,30697491,1.94748
300044,-0.138,36.12,36.7,37.09,32.7,36.17,12379548,8.38652
300402,-0.595,23.4,23.04,23.9,21.19,23.54,6042583,11.8482
002538,-0.873,15.9,15.8,16.46,14.48,16.04,18171500,3.16808
600039,-1.788,7.69,7.82,7.95,7.05,7.83,151537004,7.49763
300272,-1.816,24.87,25.33,25.63,22.8,25.33,7681936,3.89525
600350,-1.91,9.76,9.95,10.27,8.96,9.95,49101339,1.02057
300358,-2.73,51.3,51.51,52.73,47.47,52.74,3354519,4.57105
000533,-2.769,11.94,12.26,12.7,11.05,12.28,33528256,4.89557
600159,-2.909,9.01,9.23,9.49,8.35,9.28,42990605,5.17957
600550,-2.917,13.98,14.0,14.39,12.96,14.4,46193324,3.36443
002535,-3.02,17.02,17.0,17.43,15.8,17.55,22599676,7.30218
600698,-3.084,13.2,13.26,13.64,12.26,13.62,35663503,8.30172
000498,-3.128,11.15,11.1,11.69,10.36,11.51,31220659,8.81516
600848,-3.171,27.18,26.8,28.8,25.31,28.07,8679567,2.97102
601107,-3.237,8.07,8.0,8.29,7.51,8.34,46772156,2.16263
002168,-3.837,19.55,19.85,20.78,18.3,20.33,52998254,7.13458
600624,-3.926,22.76,23.26,23.67,21.32,23.69,25122527,7.27862
002561,-3.946,19.23,19.5,19.9,18.02,20.02,16605396,4.29861
600839,-4.505,11.87,11.98,12.28,11.19,12.43,332654713,7.21594
000731,-4.569,16.29,16.55,17.18,15.36,17.07,40118206,6.7842
002406,-4.716,14.75,15.1,15.67,13.93,15.48,25628411,7.28554
