code,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
300132,-3.89,10.13,10.01,10.54,10.01,10.54,0.0,-5.03,13161884.0,5.21057
600583,-3.971,13.06,13.12,13.59,13.01,13.6,-0.07,-4.34,121435874.0,2.99915
600581,-3.981,12.3,12.5,13.15,12.03,12.81,2.65,-6.09,69029482.0,9.0064
601567,-4.005,14.38,14.5,15.12,14.3,14.98,0.93,-4.54,11524169.0,1.1509800000000001
002717,-4.216,20.22,20.5,21.78,20.15,21.11,3.17,-4.55,7068040.0,4.62331
000554,-4.228,12.91,13.07,13.72,12.84,13.48,1.78,-4.75,56203457.0,15.498
600731,-4.257,9.67,9.77,10.25,9.65,10.1,1.49,-4.46,15631911.0,6.1145
600088,-4.33,28.5,28.8,30.08,28.4,29.79,0.97,-4.67,5712343.0,1.7235900000000002
603123,-4.433,11.21,11.3,11.57,11.15,11.73,-1.36,-4.94,10531123.0,3.4192
000409,-4.451,10.09,10.2,10.58,10.0,10.56,0.19,-5.3,39697398.0,11.10139
601808,-4.573,22.33,22.5,23.35,22.3,23.4,-0.21,-4.7,58586148.0,1.9789500000000002
002466,-4.578,79.0,80.48,83.25,77.0,82.79,0.56,-6.99,7732793.0,4.68532
300486,-4.634,44.66,45.05,47.99,43.8,46.83,2.48,-6.47,8191419.0,23.5928
603169,-4.648,21.13,21.5,22.5,21.0,22.16,1.53,-5.23,21381284.0,13.3633
600558,-4.941,10.39,10.53,10.94,10.32,10.93,0.09,-5.58,40304902.0,7.29523
600198,-5.544,31.01,31.8,33.8,30.3,32.83,2.95,-7.71,29454821.0,5.52634
