2015-07-27 23:21:40,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002734,-0.051,39.13,38.4,41.87,35.24,39.15,5481276,16.86546
601238,-1.354,18.94,18.78,19.98,17.28,19.2,27067516,0.64115
603600,-1.84,133.94,133.53,141.0,126.0,136.45,2690405,10.76162
600814,-4.362,12.06,12.48,13.09,11.35,12.61,29215310,9.41266
603309,-4.845,70.9,71.08,74.6,67.06,74.51,4829046,19.31618
000025,-5.128,24.05,24.46,26.49,24.0,25.35,5870911,3.27445
300483,-10.0,53.1,54.77,62.0,53.1,59.0,4945290,31.9051
600505,-10.009,9.98,10.0,10.89,9.98,11.09,36760950,10.08344
002201,-10.009,19.6,20.0,21.53,19.6,21.78,15090505,6.93286
601968,-10.014,12.58,13.0,14.8,12.58,13.98,91708148,44.01992
002249,-10.02,13.2,13.5,14.5,13.2,14.67,44253677,4.88793
