2015-09-15 21:18:02,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600207,10.103,5.34,5.0,5.34,5.0,4.85,17689805,4.02041
1,600871,10.048,6.9,6.02,6.9,6.02,6.27,110249585,24.49991
2,000816,10.035,6.36,5.95,6.36,5.94,5.78,83584163,7.67688
3,600604,10.025,17.56,15.9,17.56,15.5,15.96,55689407,16.69726
4,000025,10.021,25.8,23.5,25.8,23.0,23.45,17457997,9.73705
5,600680,10.02,21.85,18.7,21.85,18.3,19.86,27344873,10.62245
6,600785,10.019,29.21,29.21,29.21,27.0,26.55,5111472,2.46418
7,600278,10.007,15.5,13.6,15.5,13.5,14.09,38042804,7.28452
8,600792,10.0,5.28,4.68,5.28,4.62,4.8,54161841,5.6891
9,300247,10.0,10.56,9.75,10.56,9.63,9.6,38687950,23.07192
10,600180,9.988,18.83,17.4,18.83,16.88,17.12,17443528,1.97649
11,603025,9.987,25.77,22.51,25.77,22.33,23.43,6530494,12.80489
12,000780,9.978,5.07,4.57,5.07,4.45,4.61,62492101,6.16107
13,002607,9.958,7.84,6.8,7.84,6.71,7.13,40660893,16.31
14,002244,9.947,8.29,7.33,8.29,7.31,7.54,201253232,8.76745
15,600853,9.946,8.18,7.15,8.18,7.07,7.44,108790907,20.26627
16,600213,9.165,9.41,8.32,9.48,8.0,8.62,9769033,4.44047
17,002680,9.125,35.4,30.99,35.6,30.5,32.44,7003871,10.55038
18,002020,9.098,27.22,24.88,27.22,24.2,24.95,7131139,3.07847
19,002645,8.342,20.0,17.88,20.0,16.61,18.46,4230011,2.9431700000000003
20,603309,7.6,63.85,57.5,64.0,54.53,59.34,3967572,15.87029
21,603718,7.46,35.29,31.4,35.35,30.87,32.84,10094044,14.42006
22,002359,7.157,15.72,14.66,16.0,14.4,14.67,17310946,5.153
23,002059,7.084,9.07,8.1,9.23,8.1,8.47,11912868,2.55129
24,002307,6.958,11.99,10.8,12.2,10.8,11.21,75066883,13.46983
25,000889,6.761,9.79,8.91,10.09,8.83,9.17,22429733,6.6256900000000005
26,600708,6.297,14.01,12.8,14.5,12.71,13.18,113523885,22.3304
27,300188,6.268,18.65,16.99,19.31,16.99,17.55,47653136,20.2335
28,002268,5.875,42.35,38.9,44.0,38.21,40.0,16714212,4.85319
29,600459,5.817,14.19,13.25,14.75,13.01,13.41,25875202,9.91472
30,300181,5.344,8.87,8.98,9.25,8.68,8.42,79245587,19.89607
31,000815,5.0,17.64,16.22,17.64,16.22,16.8,21723446,6.8575800000000005
