code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600007,1.458,20.18,20.2,20.78,20.0,19.89,18032648,1.7902300000000002
300100,1.266,28.8,28.7,29.47,28.15,28.44,5176600,1.9388
600611,1.175,26.69,26.69,26.87,26.16,26.38,54130772,5.19384
300115,1.166,49.47,48.96,50.49,48.0,48.9,9839292,1.9173300000000002
300311,1.162,54.87,55.0,57.33,54.3,54.24,10687839,8.10648
002115,1.01,24.01,23.78,24.68,23.32,23.77,33003718,9.73917
300021,0.911,24.38,24.25,24.98,23.95,24.16,13882947,8.27793
300267,0.836,41.0,40.7,41.65,40.1,40.66,6362704,1.1268
300215,0.832,15.75,15.61,15.85,15.24,15.62,26104621,5.43848
600115,0.775,11.7,11.65,11.88,11.23,11.61,153374593,1.97083
600132,0.605,31.62,31.8,32.48,31.36,31.43,18375799,3.79688
600016,0.549,10.99,10.99,11.13,10.85,10.93,654091830,2.39349
000100,0.549,7.33,7.29,7.43,7.24,7.29,555851993,6.1915700000000005
002189,0.384,49.67,49.4,51.0,49.0,49.48,6232559,3.13943
002406,0.289,17.37,17.28,17.58,17.15,17.32,24965153,7.09699
000027,0.116,25.8,25.78,26.18,25.6,25.77,43429575,4.5317
002654,0.102,49.0,48.8,49.96,48.2,48.95,4717098,3.8926100000000003
300307,0.044,22.8,22.67,23.11,22.41,22.79,14326093,1.80112
002374,-0.219,31.85,31.93,32.6,31.0,31.92,3403809,2.20005
000558,-0.243,32.8,32.45,35.0,31.2,32.88,15260278,2.42321
300308,-0.377,29.1,29.12,29.7,28.4,29.21,4387942,2.03135
000963,-0.392,76.28,76.58,77.49,75.1,76.58,6019797,1.38686
300383,-0.814,90.16,90.84,92.85,86.82,90.9,6149292,5.25925
600130,-0.844,17.63,17.8,18.15,17.21,17.78,58557413,7.62466
600029,-0.878,12.42,12.53,12.74,12.0,12.53,214081101,3.04844
002235,-1.106,42.03,42.0,42.77,40.95,42.5,8925278,6.59318
300053,-1.186,67.5,68.4,71.0,66.66,68.31,4104462,2.47877
002307,-1.718,20.59,20.75,21.04,20.18,20.95,48918873,8.77763
002489,-1.867,47.3,47.75,48.77,46.0,48.2,4718790,0.8840300000000001
300023,-2.138,51.73,52.31,53.86,50.51,52.86,2650932,5.29709
000065,-4.611,55.03,55.0,57.84,52.01,57.69,14404611,5.68449
