2015-08-07 23:00:02,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600620,0.0,21.18,21.0,21.7,20.18,21.18,31990494,6.98811
000049,-0.417,52.57,52.71,53.35,51.35,52.79,7349827,3.58102
600418,-0.426,14.03,14.14,14.52,13.7,14.09,74963947,9.03597
002074,-0.433,34.5,35.0,35.75,33.2,34.65,28482007,12.76267
600066,-0.676,22.03,22.19,22.2,21.51,22.18,28576285,1.50126
600565,-1.46,10.8,10.92,11.2,10.66,10.96,56609276,5.48125
600326,-1.659,15.41,15.43,15.8,14.68,15.67,71918685,13.14303
002770,-2.167,35.21,34.1,38.0,33.5,35.99,28580858,41.78488
002765,-3.064,34.8,33.99,37.82,33.18,35.9,21674704,41.68212
002755,-3.537,45.82,45.55,48.8,45.0,47.5,7657271,30.21812
603311,-3.611,32.57,32.02,35.0,31.69,33.79,18733573,35.683
