2015-07-20 22:26:02,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600522,-0.04,25.26,25.45,26.28,24.78,25.27,40490765,5.74741
600845,-0.093,64.72,64.0,66.25,62.01,64.78,1198664,0.50609
600377,-0.123,8.11,8.08,8.24,7.93,8.12,16608541,0.4373
603368,-0.216,78.44,78.88,81.48,74.66,78.61,1352802,6.01245
002271,-0.323,24.65,25.05,25.85,23.85,24.73,11862562,2.67099
600332,-0.363,32.92,32.9,33.86,32.03,33.04,19695764,1.9005100000000001
600333,-0.386,10.33,10.49,10.85,10.19,10.37,29947405,6.03754
600976,-0.452,30.85,30.76,32.48,30.49,30.99,6281802,4.09962
000791,-0.501,11.91,11.99,12.5,11.6,11.97,14031941,12.22528
600814,-0.538,11.1,11.0,11.55,10.68,11.16,18358847,5.9149
600066,-0.55,19.9,20.02,20.39,19.69,20.01,21893189,1.15016
600178,-0.555,10.76,10.7,11.49,10.43,10.82,22270922,4.81971
002107,-0.571,34.85,35.05,36.49,33.8,35.05,12836405,7.66023
002637,-0.61,19.54,19.58,20.5,19.12,19.66,10191695,8.98919
002511,-0.639,10.88,10.75,11.05,10.48,10.95,29828898,6.14498
603023,-0.667,46.15,45.98,48.08,45.09,46.46,2761745,13.80873
002656,-0.678,23.45,23.6,24.48,23.03,23.61,4611761,2.88123
603018,-0.682,67.02,66.7,69.9,66.0,67.48,2144985,8.24994
300210,-0.686,17.38,17.51,18.02,16.97,17.5,5728730,5.2130600000000005
000550,-0.709,35.02,35.27,35.85,34.05,35.27,5135263,0.9924600000000001
600011,-0.735,10.81,10.89,11.3,10.65,10.89,78140246,0.74419
000565,-0.756,34.15,34.4,35.25,32.51,34.41,22136911,12.76367
300461,-0.769,40.02,39.53,41.5,39.31,40.33,2444516,14.65537
300345,-0.804,37.0,37.4,40.5,35.8,37.3,6837247,8.74369
300260,-0.837,27.25,27.01,28.9,26.5,27.48,2631738,5.5707
601186,-0.932,18.08,18.14,18.5,17.7,18.25,154978333,1.5103300000000002
002454,-0.964,17.46,17.54,18.24,17.01,17.63,16477817,6.84251
600477,-0.968,10.23,10.37,10.68,9.8,10.33,31591947,5.24351
601016,-0.98,23.23,23.18,24.5,22.72,23.46,14832453,8.34315
600526,-0.992,18.96,19.15,19.75,18.6,19.15,43581251,10.71083
600600,-1.019,40.78,41.0,41.78,39.89,41.2,8493632,1.2205
600419,-1.105,30.44,30.57,31.5,30.01,30.78,5335426,6.65175
600141,-1.172,14.34,14.46,14.72,13.9,14.51,17067121,3.90346
603885,-1.247,57.82,57.0,60.94,56.9,58.55,11468025,16.86474
603318,-1.263,48.47,48.0,51.79,47.0,49.09,7571241,25.15362
600220,-1.269,7.0,6.9,7.2,6.67,7.09,107324380,6.01817
002755,-1.412,34.9,35.48,36.35,34.01,35.4,2643671,10.4328
600113,-1.436,13.04,13.1,13.55,12.83,13.23,22639624,7.10597
300398,-1.44,76.68,77.78,81.2,76.0,77.8,1602330,6.16281
600887,-1.527,18.7,18.8,19.09,18.6,18.99,128010195,2.1279500000000002
600548,-1.641,8.39,8.5,8.72,8.26,8.53,18659335,1.30187
002055,-1.698,44.0,43.95,46.59,42.88,44.76,19642944,4.8744700000000005
300414,-1.764,77.98,77.01,81.19,76.35,79.38,2903866,13.78199
002223,-1.856,48.11,48.18,50.3,47.1,49.02,27930369,11.22996
300470,-1.878,80.48,81.0,83.6,79.0,82.02,1946947,14.59481
600853,-1.921,7.66,7.76,7.95,7.44,7.81,41421086,7.71619
300452,-1.924,71.89,71.3,74.39,68.0,73.3,2264998,19.52584
600018,-2.021,8.24,8.3,8.44,8.12,8.41,146615628,0.64432
000933,-2.044,6.71,6.8,6.97,6.59,6.85,70399130,3.7044
603883,-2.129,63.89,64.79,66.58,62.0,65.28,4034441,6.02155
002615,-2.159,17.22,17.53,18.13,16.78,17.6,5145679,5.00752
300320,-2.487,15.29,15.3,15.98,15.0,15.68,15947114,6.76137
600086,-2.777,46.91,47.5,48.5,45.75,48.25,23438089,6.65322
300478,-2.873,40.9,41.21,42.88,40.01,42.11,2670818,16.0217
000631,-3.353,9.8,9.84,10.29,9.55,10.14,60562098,4.13756
600338,-3.355,24.2,24.6,25.25,23.51,25.04,11641250,7.35237
300285,-3.367,28.7,29.0,30.16,28.18,29.7,9326048,3.67416
000008,-3.427,25.36,25.51,26.5,24.9,26.26,13185174,6.17301
600531,-3.588,16.93,17.15,17.56,16.53,17.56,29576059,10.01727
002032,-3.889,25.95,26.5,29.0,25.5,27.0,5532834,1.18614
601311,-3.951,22.85,22.5,24.29,22.01,23.79,35983158,4.24132
002522,-4.102,23.61,23.5,25.02,23.18,24.62,55090583,10.81305
002424,-4.319,75.55,76.9,79.88,73.8,78.96,16369105,7.24785
002688,-4.966,20.67,20.9,21.78,20.31,21.75,18867474,9.00059
300373,-5.449,59.0,60.0,62.3,58.15,62.4,6866884,13.51749
002209,-5.558,20.22,20.57,21.55,19.79,21.41,22036486,17.40691
