,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600016,10.051,10.73,9.53,10.73,9.51,9.75,1647837259,5.5761
1,601998,10.036,9.1,8.0,9.1,8.0,8.27,551000940,1.7269999999999999
2,603117,10.036,15.13,15.13,15.13,15.13,13.75,4352550,7.25425
3,601800,10.029,14.92,13.3,14.92,12.9,13.56,222754330,1.89623
4,300481,10.021,21.19,21.19,21.19,20.68,19.26,5640329,28.20165
5,601186,10.02,16.25,14.6,16.25,14.18,14.77,453793578,4.4224
6,300487,10.019,28.44,28.44,28.44,28.44,25.85,160500,0.8025
7,300480,10.016,13.95,13.95,13.95,13.95,12.68,95348,0.41456000000000004
8,601939,10.015,7.47,6.65,7.47,6.6,6.79,1805439961,18.8191
9,002761,10.015,36.14,30.0,36.14,29.57,32.85,9571569,31.90523
10,601969,10.014,15.38,13.35,15.38,12.62,13.98,31128362,16.67561
11,300489,10.012,37.03,37.03,37.03,37.03,33.66,350197,3.08544
12,300488,10.01,42.42,42.42,42.42,38.88,38.56,7684789,61.42917
13,002769,10.005,72.68,72.68,72.68,68.5,66.07,12686120,68.57362
14,600018,10.0,7.15,6.56,7.15,6.31,6.5,324086380,1.42423
15,601628,10.0,33.77,30.7,33.77,29.8,30.7,197000486,0.9460500000000001
16,601988,10.0,5.39,4.8,5.39,4.79,4.9,4071144636,1.9316
17,300483,10.0,26.4,26.4,26.4,26.4,24.0,1540226,9.93694
18,601318,9.999,86.03,76.73,86.03,71.11,78.21,843328135,15.58175
19,603838,9.993,16.29,16.29,16.29,16.29,14.81,572100,1.71596
20,600206,9.991,11.67,9.55,11.67,9.55,10.61,103411641,17.61295
21,300482,9.991,37.1,37.1,37.1,37.1,33.73,398476,1.81125
22,002771,9.99,32.59,32.59,32.59,32.59,29.63,320850,1.60425
23,603223,9.983,19.28,19.28,19.28,18.28,17.53,14268695,47.56232
24,603085,9.98,16.86,16.86,16.86,16.86,15.33,964618,3.85847
25,002359,9.974,8.49,8.49,8.49,8.49,7.72,2768173,0.78881
26,600188,9.959,10.82,9.41,10.82,8.86,9.84,59751088,2.01863
27,601390,9.804,12.88,11.4,12.9,11.12,11.73,779716335,4.56174
28,601088,9.552,20.07,17.93,20.13,17.21,18.32,252585768,1.53165
29,601818,9.405,5.7,5.15,5.72,5.08,5.21,1673943625,4.20479
30,002773,8.117,37.56,38.21,38.21,33.25,34.74,32062909,70.3134
31,002619,7.866,22.9,19.6,23.0,19.11,21.23,8746261,8.99827
32,600036,7.386,20.21,18.6,20.5,18.0,18.82,873948893,4.23652
33,601669,7.314,9.39,8.49,9.5,8.09,8.75,408700859,12.38487
34,601601,6.982,31.41,28.6,31.57,28.42,29.36,280381545,4.45992
35,002677,6.887,15.83,14.83,16.2,14.31,14.81,21460626,21.46063
36,601618,6.854,6.08,5.58,6.12,5.26,5.69,519207101,3.19728
37,600383,6.768,14.04,13.0,14.1,12.52,13.15,110618086,2.46285
38,601288,6.736,4.12,3.8,4.19,3.77,3.86,3741099332,1.27224
39,600011,5.977,11.17,10.1,11.27,9.54,10.54,261157059,2.48721
40,601225,5.753,6.25,5.45,6.29,5.32,5.91,168003446,6.19939
41,000001,5.548,14.65,13.66,14.65,13.21,13.88,480831189,4.07344
42,601668,5.432,7.57,7.0,7.7,6.92,7.18,1346853819,4.51159
43,600104,5.388,23.08,21.79,23.14,21.42,21.9,214754387,1.9477900000000001
44,601991,5.357,6.49,6.0,6.55,5.56,6.16,230922500,2.31053
45,600015,5.327,16.41,15.4,16.46,15.09,15.58,304610343,4.69521
46,600010,5.287,4.58,4.18,4.67,3.92,4.35,1049145408,6.66462
47,000030,4.762,10.12,9.23,10.55,9.0,9.66,45791478,8.16886
48,601336,4.635,55.99,52.89,56.49,48.68,53.51,95519531,4.58031
49,600019,4.312,7.5,7.05,7.58,6.51,7.19,340396645,2.07252
50,603288,4.236,32.97,30.8,33.0,29.48,31.63,21195484,7.86591
51,601857,4.228,13.56,13.0,14.25,12.54,13.01,731780459,0.45193000000000005
52,600170,4.144,7.79,7.19,7.85,6.74,7.48,123025149,2.62302
53,601398,3.797,5.74,5.48,5.94,5.36,5.53,2248404399,0.83394
54,600317,3.448,5.4,5.0,5.45,4.7,5.22,146820062,4.45894
55,002641,3.321,8.09,7.68,8.25,7.25,7.83,23579248,3.44635
56,002304,3.21,66.24,62.21,66.24,61.21,64.18,21879086,1.78133
57,603199,3.094,48.31,45.5,49.0,42.17,46.86,3928238,14.19161
58,000898,2.754,5.97,5.68,5.97,5.23,5.81,169710692,2.76
59,600023,2.71,7.96,7.3,8.09,7.0,7.75,361153544,14.13928
60,000895,2.554,20.08,19.08,20.08,18.22,19.58,66395480,3.65325
61,601328,2.417,8.9,8.49,9.18,8.41,8.69,1368620840,4.18423
62,300486,2.387,19.3,20.74,20.74,19.26,18.85,17980122,51.78607
63,601898,2.273,7.65,7.0,7.74,6.73,7.48,302888806,3.30954
64,600021,2.185,17.3,16.8,18.45,15.73,16.93,123153488,5.75554
65,601158,2.153,9.49,8.9,9.51,8.36,9.29,93697264,1.9520300000000002
66,002252,2.093,70.74,68.4,71.13,62.36,69.29,18825591,1.90433
67,600000,2.033,17.57,16.94,17.82,16.46,17.22,713763502,4.78305
68,600528,1.931,12.67,11.7,13.0,11.46,12.43,109343627,7.4934
69,600028,1.771,7.47,7.2,7.88,7.1,7.34,1419746528,1.48575
70,601169,1.695,12.6,12.18,12.8,11.75,12.39,557011925,5.27464
71,601166,1.475,17.2,16.6,17.47,15.89,16.95,1026111404,6.342
72,600600,1.46,39.61,37.15,40.7,37.04,39.04,23291526,3.3469
73,601929,1.43,12.77,11.83,13.09,11.33,12.59,87213387,5.7753
74,600007,1.097,11.98,11.51,12.4,11.16,11.85,17680369,1.7552500000000002
75,600048,1.076,10.33,10.07,10.57,9.81,10.22,491244435,4.56857
76,000540,1.049,9.63,9.39,10.01,8.87,9.53,223346859,6.94888
77,601231,1.033,13.69,13.1,13.78,12.26,13.55,32488129,1.60558
78,600660,0.66,13.72,13.34,13.84,12.9,13.63,81351069,4.06149
79,601117,0.627,8.02,7.71,8.15,7.28,7.97,180152905,3.65199
80,002385,0.617,13.04,13.0,13.5,12.3,12.96,89522758,6.1395
81,600485,0.285,31.67,29.52,31.7,28.42,31.58,20107026,14.5087
82,000750,0.281,14.3,13.8,14.87,13.56,14.26,189930753,9.41086
83,600823,0.182,11.03,10.73,11.29,10.19,11.01,40715542,2.31346
84,000166,0.0,14.4,14.0,14.4,12.96,14.4,297637276,9.1449
85,300122,-0.05,19.8,19.3,19.8,17.83,19.81,14268134,4.28278
86,600050,-0.139,7.21,7.0,7.47,6.58,7.22,917293794,4.3275500000000005
87,600741,-0.622,17.57,17.0,18.15,16.39,17.68,97129742,3.76005
88,002142,-0.859,18.46,18.01,18.9,16.8,18.62,132443485,4.61071
89,600717,-0.902,12.09,11.63,12.29,11.16,12.2,56460872,3.37126
90,601607,-0.926,18.19,17.81,18.75,16.55,18.36,85480979,4.44534
91,002435,-1.082,10.06,9.5,10.24,9.15,10.17,9960165,5.56516
92,600066,-1.192,19.89,19.79,20.48,19.02,20.13,56340155,3.0172
93,603166,-1.234,40.01,39.99,42.0,38.3,40.51,12944350,29.75713
94,601009,-1.298,17.49,17.21,18.04,15.99,17.72,173953192,5.85911
95,601018,-1.339,6.63,6.48,6.72,6.06,6.72,281946401,2.20271
96,601766,-1.386,17.79,17.0,18.19,16.24,18.04,1097682513,4.78967
97,002446,-1.429,20.01,20.18,21.76,19.62,20.3,20911473,13.8198
98,600585,-1.637,20.43,20.4,20.6,19.42,20.77,156006132,3.90044
99,601727,-1.711,11.49,11.08,11.58,10.6,11.69,260050741,2.63992
100,600221,-1.852,4.77,4.8,4.99,4.46,4.86,512712066,4.34058
101,600998,-2.058,20.46,20.0,20.94,18.88,20.89,33953046,2.4005
102,600958,-2.098,25.67,25.3,26.58,23.6,26.22,119068851,11.90689
103,603600,-2.166,92.6,91.01,94.5,89.3,94.65,2569256,10.27702
104,000333,-2.2,34.23,34.01,34.94,32.9,35.0,77361419,3.41736
105,600663,-2.239,37.98,37.4,38.49,34.97,38.85,34035274,2.50612
106,000002,-2.285,14.54,14.5,15.05,14.16,14.88,465093034,4.78627
107,600377,-2.387,7.77,7.86,8.03,7.36,7.96,24799008,0.65295
108,600030,-2.4,26.03,26.0,26.97,24.5,26.67,546586537,5.56908
109,000046,-2.412,12.14,11.77,12.19,11.2,12.44,91194469,2.00393
110,601006,-2.463,11.09,11.0,11.38,10.23,11.37,485141651,3.26326
111,002770,-2.839,14.03,15.88,15.88,14.02,14.44,41420803,60.55673
112,002759,-2.948,39.5,38.59,43.61,36.63,40.7,3923400,16.3475
113,600649,-2.949,10.86,10.8,11.13,10.2,11.19,171923106,5.7547
114,002736,-2.988,23.7,23.7,24.55,21.99,24.43,139028921,11.58574
115,002293,-3.056,15.86,16.29,17.5,15.68,16.36,41284245,5.88249
116,002113,-3.179,18.88,17.63,19.55,17.55,19.5,15365851,12.97822
117,600157,-3.206,4.83,4.75,4.95,4.49,4.99,298381424,6.49269
118,600340,-3.417,23.18,23.0,23.85,21.6,24.0,83464084,3.15464
119,300296,-3.438,15.45,15.28,15.94,14.45,16.0,17329083,4.82677
120,603901,-3.476,40.26,41.99,44.96,39.89,41.71,6065143,24.26057
121,600887,-3.685,17.51,17.78,18.22,16.82,18.18,228391280,3.79662
122,600578,-3.686,6.01,6.02,6.18,5.62,6.24,121055798,5.36282
123,000776,-3.7,20.3,20.34,21.1,18.97,21.08,164837189,2.78475
124,600009,-3.821,26.68,27.0,27.64,25.09,27.74,50308124,4.60075
125,600837,-3.821,20.89,21.3,21.8,19.55,21.72,431266209,5.32945
126,600519,-3.881,244.18,250.0,256.58,239.5,254.04,16756224,1.46727
127,000631,-4.141,6.25,6.15,6.98,6.01,6.52,60239916,4.11555
128,600309,-4.161,20.5,20.9,21.28,19.58,21.39,46994853,2.17334
129,601899,-4.206,4.1,4.15,4.26,3.85,4.28,714081051,4.51841
130,600276,-4.387,41.63,42.0,44.48,39.54,43.54,41337090,2.12517
131,000156,-4.526,27.42,27.5,28.52,25.85,28.72,19053548,16.10236
132,600873,-4.558,6.7,7.03,7.38,6.39,7.02,183863479,5.91538
133,600801,-4.654,8.81,8.8,9.06,8.33,9.24,36472996,3.7536
134,600489,-4.829,9.46,9.6,9.94,9.01,9.94,112763104,3.83127
135,000858,-4.844,24.36,24.83,25.03,23.18,25.6,124446825,3.27869
136,600115,-4.864,8.41,8.15,9.06,7.96,8.84,388142212,4.98756
137,600111,-4.944,14.42,14.88,15.56,13.88,15.17,169283355,7.62811
138,000557,-4.945,6.92,6.92,6.92,6.92,7.28,284000,0.042510000000000006
139,000510,-4.955,6.33,6.33,6.33,6.33,6.66,3108600,0.51034
140,000927,-4.956,7.48,7.48,7.48,7.48,7.87,180700,0.011330000000000002
141,000611,-4.97,8.03,8.03,8.03,8.03,8.45,114100,0.03576
142,600182,-4.977,20.62,20.62,20.62,20.62,21.7,156300,0.09194000000000001
143,300234,-4.98,14.5,14.75,14.81,13.73,15.26,11046313,7.7470300000000005
144,000815,-4.995,18.26,18.26,18.26,18.26,19.22,143000,0.045140000000000007
145,600733,-4.999,53.97,53.97,53.97,53.97,56.81,250100,0.33082
146,000976,-5.0,9.12,9.12,9.12,9.12,9.6,118800,0.02025
147,002192,-5.0,23.75,23.75,23.75,23.75,25.0,57300,0.050080000000000006
148,000155,-5.005,9.68,9.68,9.68,9.68,10.19,137000,0.029150000000000002
149,002608,-5.005,9.68,9.68,9.68,9.68,10.19,220700,0.06717000000000001
150,000059,-5.006,7.97,7.97,7.97,7.97,8.39,990000,0.08247
151,000659,-5.011,4.36,4.36,4.36,4.36,4.59,1021800,0.07947000000000001
152,600690,-5.013,25.39,26.4,26.65,24.53,26.73,89889259,3.28442
153,000590,-5.02,18.92,18.92,18.92,18.92,19.92,21800,0.009770000000000001
154,000912,-5.022,6.43,6.43,6.43,6.43,6.77,105800,0.018090000000000002
155,000625,-5.083,18.3,18.68,19.1,17.58,19.28,112291238,3.31485
156,600027,-5.305,7.14,7.4,7.48,6.79,7.54,329622585,5.54915
157,002595,-5.495,20.81,22.09,23.0,20.7,22.02,19009585,4.35208
158,000729,-5.753,7.7,7.86,8.03,7.35,8.17,86599006,3.45107
159,601688,-5.788,22.79,23.3,24.15,21.77,24.19,235340417,4.32315
160,000937,-5.872,5.45,5.6,5.75,5.21,5.79,115556412,4.0275
161,601958,-5.889,8.31,8.5,8.62,7.95,8.83,80806999,2.5044
162,601808,-6.008,18.46,18.95,18.95,17.68,19.64,96223020,3.25026
163,601888,-6.01,54.11,53.5,57.0,52.01,57.57,20445521,2.09432
164,000876,-6.02,15.3,15.62,15.93,14.66,16.28,69427950,4.01711
165,600999,-6.14,24.46,25.17,26.22,23.45,26.06,207316016,4.3163
166,000538,-6.158,71.32,74.0,74.2,70.07,76.0,22432662,2.15416
167,601788,-6.179,22.32,23.3,24.18,21.41,23.79,113227771,3.31269
168,601113,-6.231,6.02,6.29,6.49,5.83,6.42,10984286,1.71629
169,000999,-6.322,24.45,25.2,25.65,23.49,26.1,35510568,3.6318900000000003
170,600674,-6.339,9.9,10.27,10.53,9.55,10.57,190827453,4.33488
171,601901,-6.424,10.78,11.25,11.58,10.37,11.52,320311271,5.251
172,000581,-6.628,23.95,24.8,25.19,23.1,25.65,40518610,4.77943
173,600297,-6.783,14.98,15.3,16.13,14.46,16.07,12143513,3.46958
174,600795,-6.792,4.94,5.15,5.25,4.78,5.3,893048627,5.01275
175,600535,-6.808,42.71,44.8,45.83,41.25,45.83,27240975,2.63748
176,002762,-6.818,82.0,79.2,90.0,79.2,88.0,3052421,17.95542
177,603993,-6.82,11.34,11.68,12.14,10.95,12.17,258240951,12.67765
178,600845,-6.855,55.3,57.0,59.4,53.43,59.37,2067300,0.8728400000000001
179,600642,-6.876,7.72,7.92,8.28,7.5,8.29,151043574,3.31815
180,601179,-6.931,7.52,7.8,8.07,7.27,8.08,181299063,4.1611
181,000157,-6.988,5.99,6.22,6.44,5.8,6.44,307333161,4.9087
182,002653,-7.091,20.44,20.4,20.99,19.8,22.0,21299258,4.84487
183,600378,-7.109,13.85,14.0,14.58,13.42,14.91,11250560,3.7856
184,000423,-7.158,43.45,45.8,47.0,43.03,46.8,43510729,6.65587
185,601377,-7.259,12.01,12.76,13.15,11.67,12.95,215357404,4.14149
186,600196,-7.323,24.3,25.5,26.2,23.6,26.22,72125240,3.7848800000000002
187,600708,-7.325,8.73,9.24,9.78,8.48,9.42,33729422,6.63465
188,000338,-7.358,22.79,23.8,24.1,22.15,24.6,95607299,9.13954
189,002415,-7.409,33.24,34.5,35.2,32.5,35.9,104089874,3.30395
190,002594,-7.409,46.99,48.9,49.85,45.68,50.75,43615565,6.1072
191,600233,-7.426,11.22,12.21,12.59,10.91,12.12,15018984,9.10241
192,601699,-7.473,6.81,7.06,7.2,6.62,7.36,115175481,3.85021
193,600637,-7.5,32.93,34.0,35.3,32.04,35.6,85845430,3.9772100000000004
194,601600,-7.535,5.89,6.2,6.26,5.73,6.37,521100302,5.43916
195,000983,-7.692,6.48,6.76,6.87,6.32,7.02,127636751,4.05045
196,601258,-7.711,3.83,4.0,4.08,3.74,4.15,286796292,5.47008
197,000656,-7.857,5.16,5.35,5.88,5.1,5.6,191980485,6.43282
198,600029,-7.974,9.81,10.1,11.1,9.6,10.66,443106104,6.30967
199,600348,-7.984,6.8,7.03,7.12,6.65,7.39,96256532,4.00235
200,000582,-8.011,16.19,16.8,17.4,15.84,17.6,7496949,5.27735
201,002077,-8.11,10.99,10.76,11.5,10.76,11.96,16510636,6.55184
202,000825,-8.144,4.85,5.14,5.18,4.75,5.28,207816153,3.64847
203,601919,-8.149,7.89,8.0,8.28,7.73,8.59,289529748,3.7918000000000003
204,601965,-8.2,9.18,9.84,10.82,9.1,10.0,30547808,3.17816
205,002294,-8.208,26.95,28.5,29.14,26.42,29.36,28901225,6.29416
206,000027,-8.343,7.8,8.18,8.2,7.66,8.51,121608132,8.45955
207,600547,-8.394,17.68,18.4,19.0,17.37,19.3,57088829,4.01166
208,002032,-8.467,20.0,21.36,22.0,20.0,21.85,5762417,1.23536
209,600549,-8.584,18.21,18.88,20.0,17.93,19.92,35678335,4.02429
210,002513,-8.602,12.75,13.2,13.6,12.56,13.95,3857197,1.80987
211,601992,-8.653,8.34,8.78,8.98,8.22,9.13,103871013,3.3384
212,002500,-8.654,14.25,15.0,15.6,14.04,15.6,100402477,4.03471
213,600031,-8.844,6.7,7.1,7.3,6.62,7.35,320783118,4.22433
214,002475,-8.852,27.8,28.09,29.44,27.45,30.5,36080589,3.1383
215,000501,-8.944,16.29,17.01,17.88,16.12,17.89,20445910,4.03126
216,000783,-9.016,12.11,13.03,13.37,11.98,13.31,231143183,4.874
217,600208,-9.02,4.64,4.98,4.98,4.59,5.1,234292702,3.68211
218,000629,-9.068,3.61,3.86,3.91,3.57,3.97,359923894,7.54985
219,601866,-9.118,6.18,6.21,6.49,6.12,6.8,305261755,3.84842
220,000883,-9.135,5.57,5.78,5.96,5.52,6.13,194233252,3.6332
221,600966,-9.216,4.63,5.1,5.15,4.59,5.1,92726763,6.93624
222,000100,-9.273,4.99,5.33,5.43,4.95,5.5,807725490,8.9793
