2015-09-02 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
600000,-2.87,14.89,14.9,15.37,14.72,15.33,0.26,-3.98,255045273.0,1.7091
300321,-3.321,52.4,51.5,56.5,50.11,54.2,4.24,-7.55,724975.0,1.63283
002734,-3.358,30.51,30.02,33.4,30.0,31.57,5.8,-4.97,7145182.0,21.98518
000937,-3.854,4.99,5.0,5.24,4.9,5.19,0.96,-5.59,27251121.0,0.94979
601006,-4.122,9.77,9.75,9.99,9.44,10.19,-1.96,-7.36,111465015.0,0.7497600000000001
000061,-4.482,14.28,14.04,14.9,13.6,14.95,-0.33,-9.03,20180906.0,1.25528
000963,-4.764,70.97,71.47,74.5,70.6,74.52,-0.03,-5.26,3990510.0,0.9193500000000001
300258,-4.87,11.33,11.21,12.41,11.1,11.91,4.2,-6.8,4802859.0,1.92292
601857,-4.995,8.75,8.8,8.98,8.66,9.21,-2.5,-5.97,152899405.0,0.09443000000000001
600615,-5.217,13.08,12.82,13.98,12.42,13.8,1.3,-10.0,5560041.0,2.96339
600109,-5.251,12.09,12.1,12.78,11.76,12.76,0.16,-7.84,124747218.0,4.3973700000000004
600379,-6.617,13.69,13.8,14.8,13.65,14.66,0.95,-6.89,3781855.0,1.60344
600547,-6.838,17.03,17.11,17.85,16.55,18.28,-2.35,-9.46,36875277.0,2.59124
000983,-6.902,5.53,5.6,5.87,5.52,5.94,-1.18,-7.07,39829349.0,1.26395
000989,-7.021,21.19,21.5,22.6,20.88,22.79,-0.83,-8.38,4900147.0,1.64653
603268,-7.098,32.46,32.94,36.3,32.1,34.94,3.89,-8.13,1346629.0,6.12104
600183,-7.525,8.48,8.3,9.6,8.25,9.17,4.69,-10.03,86875235.0,6.105
600317,-9.87,4.84,4.91,5.37,4.83,5.37,0.0,-10.06,59555389.0,1.8087
600149,-9.971,15.62,15.62,18.3,15.62,17.35,5.48,-9.97,103161547.0,27.13635
601069,-9.994,15.85,15.85,17.4,15.85,17.61,-1.19,-9.99,23975768.0,19.02839
603099,-9.995,17.29,17.5,19.85,17.29,19.21,3.33,-9.99,12544864.0,12.21863
600250,-10.0,9.18,9.18,10.22,9.18,10.2,0.2,-10.0,16360345.0,6.32425
300462,-10.005,39.67,40.4,44.57,39.67,44.08,1.11,-10.0,2801999.0,16.27177
002513,-10.033,10.76,10.76,11.97,10.76,11.96,0.08,-10.03,12371135.0,5.80477
