2015-08-02 22:56:37,changepercent,trade,open,high,low,settlement,volume,turnoverratio
600021,-0.933,20.17,19.95,20.7,19.5,20.36,62008255,2.89794
002715,-0.933,38.22,38.79,40.5,36.8,38.58,6089528,11.68571
600096,-0.938,12.67,12.47,13.25,12.31,12.79,26320621,5.04939
300257,-1.019,26.23,26.02,27.19,25.9,26.5,9099955,1.11743
600766,-1.215,14.63,14.5,15.1,13.81,14.81,7456479,3.3298
600367,-1.313,9.77,9.7,10.1,9.52,9.9,9633088,3.30807
300488,-1.603,71.8,70.68,77.77,68.58,72.97,5231033,41.81481
600239,-1.607,7.96,7.96,8.11,7.69,8.09,30516413,2.8507800000000003
600022,-1.695,4.06,4.03,4.21,3.96,4.13,81715371,1.2696
600160,-1.829,11.81,11.73,12.01,11.48,12.03,51903000,2.86612
600764,-1.968,20.42,20.28,21.59,19.23,20.83,13377123,4.05703
600992,-1.987,13.81,13.73,14.29,13.5,14.09,9689476,3.95344
600614,-2.012,29.71,29.71,30.2,28.51,30.32,17045148,3.81528
603698,-2.036,36.57,36.5,38.18,36.0,37.33,6341460,7.7053
600358,-2.081,16.47,16.29,17.39,15.41,16.82,39859418,9.22672
002085,-2.086,47.88,47.05,47.88,44.24,48.9,4813237,1.2942900000000002
300342,-2.125,33.62,33.45,35.48,32.4,34.35,4916181,7.39275
600861,-2.126,14.73,14.9,15.6,13.88,15.05,27769930,8.76562
600855,-2.243,31.81,31.89,33.71,30.8,32.54,24327915,7.36954
600495,-2.385,12.69,12.5,13.48,12.2,13.0,161016986,14.59385
000922,-2.595,12.01,12.0,12.66,11.65,12.33,15709137,5.26384
002580,-2.797,13.9,13.76,14.25,13.28,14.3,7317421,4.90447
600718,-2.866,18.3,18.0,18.95,17.7,18.84,61067326,4.97455
600892,-2.954,41.72,41.66,42.96,40.0,42.99,1222841,1.9464800000000002
601985,-3.134,10.51,10.58,11.19,10.2,10.85,411278016,10.56998
000931,-3.21,9.95,10.07,10.34,9.8,10.28,22035509,4.35042
002729,-3.39,57.0,56.9,58.61,55.08,59.0,473140,2.83657
600898,-3.632,13.0,13.05,13.7,12.73,13.49,17743711,7.02655
000950,-3.802,8.35,8.41,8.92,8.25,8.68,21482306,3.58756
000777,-3.986,28.18,28.77,29.7,27.2,29.35,25262287,6.58986
002258,-4.008,24.67,25.08,26.55,24.61,25.7,5299226,2.6176500000000003
601518,-4.056,5.44,5.55,5.74,5.3,5.67,30110181,2.48188
600871,-4.084,9.16,9.21,9.94,8.93,9.55,82463705,18.32527
600601,-4.381,7.42,7.6,7.87,7.11,7.76,87792471,3.99986
300390,-4.516,29.6,29.0,31.49,29.0,31.0,3622340,7.68663
600133,-4.811,8.31,8.3,8.7,8.0,8.73,38419047,7.14176
600844,-4.911,9.1,9.18,9.53,8.88,9.57,51514052,8.80843
600769,-4.924,10.04,10.25,10.65,9.7,10.56,13185731,3.51641
603088,-5.215,39.62,40.0,41.5,38.67,41.8,3778311,18.89156
002253,-5.678,40.7,41.66,43.88,39.21,43.15,10078725,7.95363
603169,-5.959,18.15,18.51,19.39,17.58,19.3,12258658,7.66166
000971,-9.987,26.86,26.86,29.5,26.86,29.84,13428283,5.53087
600233,-9.995,16.39,16.6,17.99,16.39,18.21,9912462,6.00755
